task:0,task:1,cosine_similarity
Cars,Cars,1.0000001192092896
Cars,DTD,0.236305370926857
Cars,EuroSAT,0.20097163319587708
Cars,GTSRB,0.2586367130279541
Cars,RESISC45,0.19269594550132751
Cars,SUN397,0.19161294400691986
Cars,SVHN,0.16623929142951965
DTD,Cars,0.236305370926857
DTD,DTD,1.0000001192092896
DTD,EuroSAT,0.2182167023420334
DTD,GTSRB,0.26456138491630554
DTD,RESISC45,0.20618410408496857
DTD,SUN397,0.1996430605649948
DTD,SVHN,0.1758171021938324
EuroSAT,Cars,0.20097163319587708
EuroSAT,DTD,0.2182167023420334
EuroSAT,EuroSAT,1.0000001192092896
EuroSAT,GTSRB,0.24535459280014038
EuroSAT,RESISC45,0.21200351417064667
EuroSAT,SUN397,0.16892649233341217
EuroSAT,SVHN,0.18851613998413086
GTSRB,Cars,0.2586367130279541
GTSRB,DTD,0.26456138491630554
GTSRB,EuroSAT,0.24535459280014038
GTSRB,GTSRB,1.0000001192092896
GTSRB,RESISC45,0.21924349665641785
GTSRB,SUN397,0.20924626290798187
GTSRB,SVHN,0.23449191451072693
RESISC45,Cars,0.19269594550132751
RESISC45,DTD,0.20618410408496857
RESISC45,EuroSAT,0.21200351417064667
RESISC45,GTSRB,0.21924349665641785
RESISC45,RESISC45,0.9999999403953552
RESISC45,SUN397,0.16964423656463623
RESISC45,SVHN,0.15059655904769897
SUN397,Cars,0.19161294400691986
SUN397,DTD,0.1996430605649948
SUN397,EuroSAT,0.16892649233341217
SUN397,GTSRB,0.20924626290798187
SUN397,RESISC45,0.16964423656463623
SUN397,SUN397,1.0
SUN397,SVHN,0.1381404548883438
SVHN,Cars,0.16623929142951965
SVHN,DTD,0.1758171021938324
SVHN,EuroSAT,0.18851613998413086
SVHN,GTSRB,0.23449191451072693
SVHN,RESISC45,0.15059655904769897
SVHN,SUN397,0.1381404548883438
SVHN,SVHN,1.0000001192092896
