task:0,task:1,cosine_similarity
Cars,Cars,1.0000001192092896
Cars,DTD,0.197550967335701
Cars,EuroSAT,0.1179218739271164
Cars,GTSRB,0.12245970219373703
Cars,RESISC45,0.1939314603805542
Cars,SUN397,0.3526461124420166
Cars,SVHN,0.08629380911588669
DTD,Cars,0.197550967335701
DTD,DTD,1.0
DTD,EuroSAT,0.22970369458198547
DTD,GTSRB,0.19167286157608032
DTD,RESISC45,0.3534681499004364
DTD,SUN397,0.34122201800346375
DTD,SVHN,0.14161236584186554
EuroSAT,Cars,0.1179218739271164
EuroSAT,DTD,0.22970369458198547
EuroSAT,EuroSAT,1.0000001192092896
EuroSAT,GTSRB,0.3207097053527832
EuroSAT,RESISC45,0.371971070766449
EuroSAT,SUN397,0.20859788358211517
EuroSAT,SVHN,0.2783876657485962
GTSRB,Cars,0.12245970219373703
GTSRB,DTD,0.19167286157608032
GTSRB,EuroSAT,0.3207097053527832
GTSRB,GTSRB,0.9999997615814209
GTSRB,RESISC45,0.22477400302886963
GTSRB,SUN397,0.1769736260175705
GTSRB,SVHN,0.31848713755607605
RESISC45,Cars,0.1939314603805542
RESISC45,DTD,0.3534681499004364
RESISC45,EuroSAT,0.371971070766449
RESISC45,GTSRB,0.22477400302886963
RESISC45,RESISC45,1.0000001192092896
RESISC45,SUN397,0.3549867868423462
RESISC45,SVHN,0.1738768368959427
SUN397,Cars,0.3526461124420166
SUN397,DTD,0.34122201800346375
SUN397,EuroSAT,0.20859788358211517
SUN397,GTSRB,0.1769736260175705
SUN397,RESISC45,0.3549867868423462
SUN397,SUN397,1.0000001192092896
SUN397,SVHN,0.14040593802928925
SVHN,Cars,0.08629380911588669
SVHN,DTD,0.14161236584186554
SVHN,EuroSAT,0.2783876657485962
SVHN,GTSRB,0.31848713755607605
SVHN,RESISC45,0.1738768368959427
SVHN,SUN397,0.14040593802928925
SVHN,SVHN,0.9999999403953552
