dataset:0,dataset:1,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
Cars,DTD,0.800646685735605,0.7292553191489362,0.3711111111111111,0.26247030878859856,0.49857142857142855,0.6087657430730479,0.11508912108174554
Cars,EuroSAT,0.7885835095137421,0.4053191489361702,0.977037037037037,0.3159144893111639,0.44904761904761903,0.6180352644836272,0.13602489244007376
Cars,GTSRB,0.7913194876259172,0.3941489361702128,0.2922222222222222,0.9414885193982581,0.4561904761904762,0.6081108312342569,0.389059618930547
Cars,RESISC45,0.7808730257430668,0.39148936170212767,0.5207407407407407,0.28511480601741884,0.943968253968254,0.6171788413098237,0.12338660110633067
Cars,SUN397,0.7920656634746922,0.41436170212765955,0.3748148148148148,0.30475059382422803,0.5363492063492064,0.7524937027707809,0.12749692685925015
Cars,SVHN,0.7898271359283671,0.3840425531914894,0.3111111111111111,0.3250989707046714,0.4936507936507937,0.6168261964735516,0.9648893669330055
DTD,EuroSAT,0.5757990299713966,0.6776595744680851,0.9766666666666667,0.29524940617577194,0.45841269841269844,0.6082115869017632,0.15972649047326368
DTD,GTSRB,0.557890809600796,0.7015957446808511,0.26814814814814814,0.9275534441805225,0.43682539682539684,0.6011586901763224,0.41253073140749846
DTD,RESISC45,0.5618704141275961,0.6835106382978723,0.5166666666666667,0.2653998416468725,0.9385714285714286,0.6118387909319899,0.1318761524277812
DTD,SUN397,0.5776644695933342,0.7063829787234043,0.31222222222222223,0.277513855898654,0.5157142857142857,0.746448362720403,0.1407882606023356
DTD,SVHN,0.5683372714836463,0.6638297872340425,0.2662962962962963,0.2882818685669042,0.4774603174603175,0.611183879093199,0.9634680393362016
EuroSAT,GTSRB,0.5358786220619326,0.3861702127659574,0.9718518518518519,0.8992082343626286,0.42793650793650795,0.5976826196473551,0.32529194837123543
EuroSAT,RESISC45,0.5388633254570327,0.3819148936170213,0.9733333333333334,0.288756927949327,0.8731746031746032,0.5934005037783375,0.11816226183159188
EuroSAT,SUN397,0.573436139783609,0.41436170212765955,0.98,0.322486144101346,0.4587301587301587,0.742367758186398,0.1455900430239705
EuroSAT,SVHN,0.5501803258301207,0.3893617021276596,0.9644444444444444,0.356215360253365,0.44015873015873014,0.6041309823677582,0.9410341118623233
GTSRB,RESISC45,0.5489366994154956,0.38138297872340426,0.5522222222222222,0.9084718923198734,0.9147619047619048,0.6063476070528967,0.33720036877688997
GTSRB,SUN397,0.5493097873398831,0.400531914893617,0.3233333333333333,0.934283452098179,0.49333333333333335,0.7461460957178842,0.41164720344191763
GTSRB,SVHN,0.5208307424449695,0.325,0.2511111111111111,0.9316706254948536,0.3396825396825397,0.5757178841309823,0.9607790411800861
RESISC45,SUN397,0.5626165899763711,0.39361702127659576,0.5348148148148149,0.3016627078384798,0.9338095238095238,0.74,0.1324139520590043
RESISC45,SVHN,0.5491854246984206,0.3824468085106383,0.4725925925925926,0.31979414093428343,0.9047619047619048,0.6130478589420655,0.9494468346650277
SUN397,SVHN,0.5585126228081084,0.39680851063829786,0.28814814814814815,0.33800475059382423,0.5084126984126984,0.7427204030226701,0.9623924400737554
