dataset:0,dataset:1,dataset:2,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
Cars,DTD,EuroSAT,0.7373461012311902,0.6085106382978723,0.9377777777777778,0.2927949326999208,0.5082539682539683,0.625088161209068,0.1507759680393362
Cars,DTD,GTSRB,0.7425693321726153,0.624468085106383,0.3437037037037037,0.7790182106096596,0.4831746031746032,0.6184382871536523,0.3193377381684081
Cars,DTD,RESISC45,0.7292625295361274,0.6117021276595744,0.4951851851851852,0.27434679334916867,0.876984126984127,0.6248866498740554,0.12676705593116164
Cars,DTD,SUN397,0.7446834970774779,0.625,0.3648148148148148,0.2864608076009501,0.532063492063492,0.7192443324937028,0.12269514443761524
Cars,DTD,SVHN,0.7434398706628529,0.6026595744680852,0.37555555555555553,0.3027711797307997,0.51,0.6263476070528967,0.8884834050399508
Cars,EuroSAT,GTSRB,0.7302574306678273,0.41382978723404257,0.9366666666666666,0.7428345209817894,0.49063492063492065,0.6214609571788413,0.28138444990780576
Cars,EuroSAT,RESISC45,0.7209302325581395,0.40425531914893614,0.9511111111111111,0.29572446555819476,0.8446031746031746,0.6213098236775819,0.13341272280270436
Cars,EuroSAT,SUN397,0.7425693321726153,0.42340425531914894,0.9437037037037037,0.3168646080760095,0.5128571428571429,0.7213098236775819,0.1490857406269207
Cars,EuroSAT,SVHN,0.7307548812336774,0.4085106382978723,0.9225925925925926,0.34639746634996044,0.4976190476190476,0.6267002518891688,0.8390442532267978
Cars,GTSRB,RESISC45,0.7298843427434398,0.3973404255319149,0.5403703703703704,0.7651623119556611,0.8519047619047619,0.6236272040302266,0.2828441917639828
Cars,GTSRB,SUN397,0.7400820793433652,0.41382978723404257,0.3862962962962963,0.7927157561361837,0.5228571428571429,0.7181863979848867,0.33305162876459743
Cars,GTSRB,SVHN,0.7260291008581022,0.38776595744680853,0.33,0.8175771971496437,0.4638095238095238,0.6164735516372796,0.91230024585126
Cars,RESISC45,SUN397,0.7297599801019774,0.40797872340425534,0.5111111111111111,0.3026920031670626,0.8709523809523809,0.7190931989924433,0.13114628149969268
Cars,RESISC45,SVHN,0.7297599801019774,0.4,0.4874074074074074,0.32399049881235154,0.846984126984127,0.630176322418136,0.8579056545789797
Cars,SUN397,SVHN,0.7392115408531277,0.41702127659574467,0.3548148148148148,0.33539192399049883,0.5395238095238095,0.7196977329974811,0.8795712968653965
DTD,EuroSAT,GTSRB,0.5730630518592215,0.5941489361702128,0.9477777777777778,0.7433095803642122,0.48968253968253966,0.6194458438287154,0.29963122311001844
DTD,EuroSAT,RESISC45,0.5713219748787465,0.575531914893617,0.9540740740740741,0.2842438638163104,0.8446031746031746,0.6186901763224182,0.146319913952059
DTD,EuroSAT,SUN397,0.5909712722298222,0.6058510638297873,0.9485185185185185,0.3046714172604909,0.5177777777777778,0.716272040302267,0.163759987707437
DTD,EuroSAT,SVHN,0.5801517224225843,0.5877659574468085,0.9259259259259259,0.3243863816310372,0.49936507936507935,0.625088161209068,0.8460356484326982
DTD,GTSRB,RESISC45,0.5699539858226589,0.597872340425532,0.5088888888888888,0.7547110055423595,0.8542857142857143,0.6210579345088161,0.28887523048555624
DTD,GTSRB,SUN397,0.5766695684616341,0.6132978723404255,0.3337037037037037,0.769833729216152,0.5176190476190476,0.7181360201511335,0.3376613398893669
DTD,GTSRB,SVHN,0.5673423703519462,0.575,0.29555555555555557,0.7937450514647665,0.45634920634920634,0.6156675062972292,0.9154502151198525
DTD,RESISC45,SUN397,0.5785350080835717,0.6026595744680852,0.49777777777777776,0.28749010292953286,0.8631746031746032,0.7169773299748111,0.13571757836508913
DTD,RESISC45,SVHN,0.5765452058201717,0.5808510638297872,0.4925925925925926,0.302375296912114,0.8465079365079365,0.6279093198992444,0.860978795328826
DTD,SUN397,SVHN,0.5838826016664594,0.6047872340425532,0.3322222222222222,0.31203483768804435,0.5266666666666666,0.7186901763224182,0.8812615242778119
EuroSAT,GTSRB,RESISC45,0.5570202711105584,0.4,0.9474074074074074,0.6987331749802058,0.8141269841269841,0.6153652392947103,0.25645359557467734
EuroSAT,GTSRB,SUN397,0.5708245243128964,0.4127659574468085,0.9440740740740741,0.7554235946159936,0.5026984126984126,0.7143073047858942,0.30055316533497234
EuroSAT,GTSRB,SVHN,0.5535381171496082,0.3904255319148936,0.8411111111111111,0.7844813935075218,0.4720634920634921,0.6108816120906801,0.880301167793485
EuroSAT,RESISC45,SUN397,0.572441238651909,0.4021276595744681,0.9533333333333334,0.3068091844813935,0.8268253968253968,0.7094206549118388,0.13775353411186234
EuroSAT,RESISC45,SVHN,0.5622435020519836,0.4021276595744681,0.9377777777777778,0.3397466349960412,0.8058730158730159,0.6188413098236776,0.7930239704978488
EuroSAT,SUN397,SVHN,0.5782862828006466,0.41808510638297874,0.9248148148148149,0.35613618368962785,0.5026984126984126,0.7139546599496222,0.8418100799016595
GTSRB,RESISC45,SUN397,0.5714463375202089,0.399468085106383,0.5403703703703704,0.7677751385589865,0.8438095238095238,0.7139546599496222,0.29498309772587583
GTSRB,RESISC45,SVHN,0.5595075239398085,0.3898936170212766,0.44481481481481483,0.7866983372921615,0.7998412698412698,0.6158186397984886,0.8974723417332514
GTSRB,SUN397,SVHN,0.5605024250715085,0.39893617021276595,0.31222222222222223,0.8135391923990499,0.4831746031746032,0.7075566750629723,0.9091502765826674
RESISC45,SUN397,SVHN,0.5749284914811591,0.40904255319148936,0.4837037037037037,0.33879651623119555,0.8358730158730159,0.7152644836272041,0.8512984019668101
