dataset:0,dataset:1,dataset:2,dataset:3,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
Cars,DTD,EuroSAT,GTSRB,0.704265638602164,0.5654255319148936,0.8692592592592593,0.6267616785431512,0.5161904761904762,0.6271032745591939,0.25653042409342347
Cars,DTD,EuroSAT,RESISC45,0.6975500559631886,0.551595744680851,0.9133333333333333,0.2868566904196358,0.796984126984127,0.6269521410579345,0.14470651505838966
Cars,DTD,EuroSAT,SUN397,0.7113543091655267,0.5675531914893617,0.89,0.301187648456057,0.5357142857142857,0.702367758186398,0.15469422249539028
Cars,DTD,EuroSAT,SVHN,0.705509265016789,0.5627659574468085,0.857037037037037,0.3245447347585115,0.5252380952380953,0.6324937027707809,0.7178472649047326
Cars,DTD,GTSRB,RESISC45,0.7016540231314513,0.5553191489361702,0.49962962962962965,0.6309580364212193,0.7877777777777778,0.6286146095717884,0.249039643515673
Cars,DTD,GTSRB,SUN397,0.7093645069021266,0.5728723404255319,0.3685185185185185,0.6464766429136976,0.5280952380952381,0.701007556675063,0.2748156115550092
Cars,DTD,GTSRB,SVHN,0.7040169133192389,0.55,0.36148148148148146,0.6823436262866192,0.49126984126984125,0.6246347607052897,0.8259449907805777
Cars,DTD,RESISC45,SUN397,0.6989180450192762,0.5659574468085107,0.47555555555555556,0.28820269200316706,0.7944444444444444,0.7018136020151133,0.13033958205285803
Cars,DTD,RESISC45,SVHN,0.7041412759607014,0.5531914893617021,0.4892592592592593,0.3030087094220111,0.7861904761904762,0.6331486146095718,0.7360556238475722
Cars,DTD,SUN397,SVHN,0.7098619574679766,0.5675531914893617,0.39,0.3102137767220903,0.5379365079365079,0.7035264483627204,0.7660571604179471
Cars,EuroSAT,GTSRB,RESISC45,0.6913319238900634,0.4117021276595745,0.91,0.6086302454473476,0.7738095238095238,0.6258942065491184,0.23540258143822987
Cars,EuroSAT,GTSRB,SUN397,0.7068772540728765,0.41595744680851066,0.8781481481481481,0.6374505146476643,0.5273015873015873,0.7015113350125944,0.2654041180086048
Cars,EuroSAT,GTSRB,SVHN,0.6928242755876135,0.40797872340425534,0.8066666666666666,0.6737133808392716,0.5047619047619047,0.6248866498740554,0.7854947756607252
Cars,EuroSAT,RESISC45,SUN397,0.6997885835095138,0.41382978723404257,0.9114814814814814,0.3049089469517023,0.7834920634920635,0.7009068010075566,0.14136447449293177
Cars,EuroSAT,RESISC45,SVHN,0.6953115284168636,0.40904255319148936,0.894074074074074,0.3306413301662708,0.7677777777777778,0.6301259445843829,0.6645666871542717
Cars,EuroSAT,SUN397,SVHN,0.7048874518094764,0.42127659574468085,0.857037037037037,0.34829770387965164,0.5287301587301587,0.7024685138539043,0.7143131530424094
Cars,GTSRB,RESISC45,SUN397,0.7037681880363139,0.4047872340425532,0.5214814814814814,0.640221694378464,0.7825396825396825,0.7003022670025189,0.256299938537185
Cars,GTSRB,RESISC45,SVHN,0.6945653525680886,0.3984042553191489,0.47185185185185186,0.6757719714964371,0.763015873015873,0.6281108312342569,0.8035494775660725
Cars,GTSRB,SUN397,SVHN,0.7012809352070638,0.41382978723404257,0.3655555555555556,0.6982581155977831,0.518095238095238,0.6986901763224181,0.8213736939151813
Cars,RESISC45,SUN397,SVHN,0.7016540231314513,0.4175531914893617,0.4785185185185185,0.3300079176563737,0.783015873015873,0.7042821158690177,0.7312538414259373
DTD,EuroSAT,GTSRB,RESISC45,0.574431040915309,0.5382978723404256,0.9248148148148149,0.6006334125098971,0.7780952380952381,0.623073047858942,0.24627381684081132
DTD,EuroSAT,GTSRB,SUN397,0.5830120631762219,0.5670212765957446,0.8859259259259259,0.6252573238321457,0.5260317460317461,0.6994962216624685,0.275660725261217
DTD,EuroSAT,GTSRB,SVHN,0.5748041288396966,0.5430851063829787,0.8125925925925926,0.6654790182106096,0.5033333333333333,0.6249874055415617,0.7938690842040566
DTD,EuroSAT,RESISC45,SUN397,0.5853749533640095,0.5436170212765957,0.9233333333333333,0.29683293745051464,0.7842857142857143,0.6997481108312342,0.14996926859250154
DTD,EuroSAT,RESISC45,SVHN,0.5818927994030593,0.5340425531914894,0.9085185185185185,0.31646872525732384,0.7690476190476191,0.6286146095717884,0.6841963736939152
DTD,EuroSAT,SUN397,SVHN,0.5928367118517597,0.5590425531914893,0.8711111111111111,0.33048297703879653,0.5293650793650794,0.7018639798488665,0.7255685310387215
DTD,GTSRB,RESISC45,SUN397,0.5821415246859843,0.5563829787234043,0.5107407407407407,0.628424386381631,0.7796825396825396,0.6995969773299748,0.2602181929932391
DTD,GTSRB,RESISC45,SVHN,0.5769182937445592,0.5398936170212766,0.4625925925925926,0.663895486935867,0.7588888888888888,0.6293198992443325,0.8081976029502151
DTD,GTSRB,SUN397,SVHN,0.5789080960079592,0.5553191489361702,0.34296296296296297,0.6826603325415677,0.5117460317460317,0.6989420654911839,0.8253687768899816
DTD,RESISC45,SUN397,SVHN,0.5825146126103719,0.55,0.48148148148148145,0.31274742676167855,0.7774603174603174,0.7032241813602015,0.7377458512599877
EuroSAT,GTSRB,RESISC45,SUN397,0.575425942047009,0.4117021276595745,0.9148148148148149,0.615360253365004,0.7642857142857142,0.6968765743073048,0.24654271665642286
EuroSAT,GTSRB,RESISC45,SVHN,0.5660987439373212,0.4015957446808511,0.882962962962963,0.6504354711005542,0.7415873015873016,0.6227204030226701,0.7575676090964967
EuroSAT,GTSRB,SUN397,SVHN,0.5723168760104465,0.4085106382978723,0.8059259259259259,0.6816310372129849,0.5165079365079365,0.6963727959697733,0.7874539028887523
EuroSAT,RESISC45,SUN397,SVHN,0.5801517224225843,0.41702127659574467,0.9051851851851852,0.33871733966745843,0.7619047619047619,0.6961712846347607,0.676820835894284
GTSRB,RESISC45,SUN397,SVHN,0.5751772167640841,0.40372340425531916,0.4633333333333333,0.6825811559778305,0.7550793650793651,0.6981863979848867,0.8017824216349109
