dataset:0,dataset:1,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
Cars,DTD,0.7990299713965925,0.7324468085106383,0.387037037037037,0.25748218527315914,0.4936507936507937,0.609823677581864,0.11482022126613399
Cars,EuroSAT,0.8026364879990051,0.4031914893617021,0.9740740740740741,0.3152810768012668,0.46476190476190476,0.6189924433249371,0.13744622003687768
Cars,GTSRB,0.7880860589478921,0.3952127659574468,0.2803703703703704,0.9456057007125891,0.4561904761904762,0.6075566750629723,0.39178703134603565
Cars,RESISC45,0.7918169381917672,0.3898936170212766,0.5140740740740741,0.28780680918448137,0.9376190476190476,0.6184886649874055,0.12476951444376153
Cars,SUN397,0.8000248725282925,0.41329787234042553,0.3637037037037037,0.2995249406175772,0.5280952380952381,0.750176322418136,0.12453902888752305
Cars,SVHN,0.79791070762343,0.38563829787234044,0.31592592592592594,0.3258115597783056,0.4982539682539682,0.6162216624685138,0.9611631837738168
DTD,EuroSAT,0.5757990299713966,0.7276595744680852,0.9644444444444444,0.2908946951702296,0.4849206349206349,0.6084130982367758,0.16898432698217578
DTD,GTSRB,0.5535381171496082,0.6962765957446808,0.25666666666666665,0.9334916864608076,0.4357142857142857,0.5966750629722922,0.4191763982790412
DTD,RESISC45,0.5628653152592961,0.7170212765957447,0.5022222222222222,0.2622327790973872,0.9238095238095239,0.6119899244332494,0.13233712354025814
DTD,SUN397,0.5802760850640467,0.7308510638297873,0.30666666666666664,0.2697545526524149,0.5022222222222222,0.7364231738035264,0.1392516902274124
DTD,SVHN,0.5705757990299714,0.7159574468085106,0.2662962962962963,0.2869358669833729,0.48063492063492064,0.6127455919395466,0.9499078057775046
EuroSAT,GTSRB,0.5287899514985698,0.37553191489361704,0.957037037037037,0.9393507521773555,0.43936507936507935,0.5944080604534006,0.3540258143822987
EuroSAT,RESISC45,0.5401069518716578,0.38138297872340426,0.952962962962963,0.29453681710213775,0.9185714285714286,0.5932997481108312,0.12711278426551936
EuroSAT,SUN397,0.5738092277079965,0.41382978723404257,0.9792592592592593,0.3245447347585115,0.4633333333333333,0.7459445843828716,0.14812538414259374
EuroSAT,SVHN,0.5501803258301207,0.3819148936170213,0.9633333333333334,0.35985748218527314,0.44857142857142857,0.604080604534005,0.9451828518746158
GTSRB,RESISC45,0.5440865563984579,0.3723404255319149,0.5333333333333333,0.9322248614410135,0.9060317460317461,0.6002015113350126,0.35544714197910265
GTSRB,SUN397,0.546325083944783,0.3952127659574468,0.3011111111111111,0.9532066508313539,0.4801587301587302,0.736926952141058,0.42071296865396435
GTSRB,SVHN,0.519214028105957,0.3148936170212766,0.2351851851851852,0.9553444180522566,0.32476190476190475,0.5688664987405542,0.9501767055931162
RESISC45,SUN397,0.560626787712971,0.3904255319148936,0.5314814814814814,0.2977830562153603,0.9392063492063492,0.7342065491183879,0.13007068223724647
RESISC45,SVHN,0.5491854246984206,0.376063829787234,0.48962962962962964,0.3261282660332542,0.9203174603174603,0.6077581863979848,0.9442224953902889
SUN397,SVHN,0.5595075239398085,0.3973404255319149,0.29,0.33760886777513854,0.5055555555555555,0.7416624685138539,0.9630454824830977
