dataset:0,dataset:1,dataset:2,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
Cars,DTD,EuroSAT,0.7499067280189031,0.7313829787234043,0.6270370370370371,0.2729216152019002,0.5190476190476191,0.6172292191435769,0.1409035033804548
Cars,DTD,GTSRB,0.7295112548190523,0.7085106382978723,0.3285185185185185,0.5654790182106096,0.4971428571428571,0.6117380352644837,0.2455823601720959
Cars,DTD,RESISC45,0.7500310906603657,0.7058510638297872,0.4025925925925926,0.2704671417260491,0.6853968253968254,0.6155667506297229,0.121158574062692
Cars,DTD,SUN397,0.7970401691331924,0.7202127659574468,0.3911111111111111,0.2595407759303246,0.4944444444444444,0.6246851385390428,0.1150891210817455
Cars,DTD,SVHN,0.7477925631140405,0.6978723404255319,0.3440740740740741,0.2848772763262074,0.5122222222222222,0.6212594458438288,0.6053318992009834
Cars,EuroSAT,GTSRB,0.7509016291506032,0.400531914893617,0.9677777777777776,0.5297703879651623,0.4836507936507936,0.6191435768261965,0.2212277197295636
Cars,EuroSAT,RESISC45,0.7562492227334908,0.4042553191489361,0.9688888888888888,0.3234362628661916,0.6722222222222223,0.618287153652393,0.1485863552550707
Cars,EuroSAT,SUN397,0.7897027732869046,0.4069148936170212,0.9744444444444444,0.3152810768012668,0.4611111111111111,0.6306297229219143,0.1374846342962507
Cars,EuroSAT,SVHN,0.7458027608506405,0.400531914893617,0.9566666666666668,0.3570863024544735,0.496984126984127,0.6211586901763224,0.6043331284572834
Cars,GTSRB,RESISC45,0.7429424200970028,0.3957446808510638,0.3911111111111111,0.9381631037212984,0.6284126984126984,0.6137531486146096,0.3863706207744314
Cars,GTSRB,SUN397,0.7712971023504539,0.4031914893617021,0.3218518518518518,0.921852731591449,0.4841269841269841,0.6513853904282116,0.3861017209588199
Cars,GTSRB,SVHN,0.7291381668946648,0.3845744680851063,0.3048148148148148,0.9463182897862232,0.4476190476190476,0.6094206549118388,0.7142747387830363
Cars,RESISC45,SUN397,0.7823653774406168,0.3941489361702128,0.5140740740740741,0.2813935075217735,0.942063492063492,0.6196977329974811,0.1224262446220036
Cars,RESISC45,SVHN,0.7623429921651536,0.3930851063829787,0.5422222222222223,0.3173396674584323,0.9228571428571428,0.6207052896725441,0.389520590043024
Cars,SUN397,SVHN,0.7642084317870912,0.4154255319148936,0.3848148148148148,0.3300870942201108,0.5531746031746032,0.739294710327456,0.530500921942225
DTD,EuroSAT,GTSRB,0.571695062803134,0.6154255319148936,0.9481481481481482,0.6941409342834521,0.4957142857142857,0.6142569269521411,0.2978641671788568
DTD,EuroSAT,RESISC45,0.5750528541226215,0.6803191489361702,0.9725925925925926,0.3049881235154394,0.5839682539682539,0.6106297229219143,0.1716733251382913
DTD,EuroSAT,SUN397,0.5805248103469718,0.701063829787234,0.9692592592592592,0.2944576405384006,0.4912698412698412,0.6312342569269521,0.1677550706822372
DTD,EuroSAT,SVHN,0.574431040915309,0.624468085106383,0.9596296296296296,0.3395882818685669,0.5025396825396825,0.6134508816120907,0.6697910264290104
DTD,GTSRB,RESISC45,0.559134436015421,0.6797872340425531,0.2974074074074074,0.9204275534441804,0.5103174603174603,0.6051889168765743,0.406499692685925
DTD,GTSRB,SUN397,0.5619947767690586,0.6898936170212766,0.2707407407407407,0.9265241488519398,0.4452380952380952,0.6122418136020151,0.4129532882606023
DTD,GTSRB,SVHN,0.5597562492227335,0.6090425531914894,0.2496296296296296,0.9406175771971496,0.4398412698412698,0.6075062972292191,0.7019053472649047
DTD,RESISC45,SUN397,0.5619947767690586,0.6936170212765957,0.51,0.2632620744259699,0.9350793650793652,0.6113853904282116,0.1314535955746773
DTD,RESISC45,SVHN,0.5708245243128964,0.6452127659574468,0.5277777777777778,0.2931116389548693,0.9166666666666666,0.6172795969773299,0.4257452366318377
DTD,SUN397,SVHN,0.5838826016664594,0.6611702127659574,0.3388888888888889,0.3007917656373713,0.5315873015873016,0.7304282115869017,0.62450061462815
EuroSAT,GTSRB,RESISC45,0.5292874020644198,0.37553191489361704,0.9488888888888889,0.9327790973871734,0.503968253968254,0.5966750629722922,0.3564459127228027
EuroSAT,GTSRB,SUN397,0.5323964681009825,0.38351063829787235,0.9555555555555556,0.934283452098179,0.4434920634920635,0.6011083123425692,0.35006914566687153
EuroSAT,GTSRB,SVHN,0.5213281930108196,0.3638297872340426,0.9340740740740741,0.9429928741092637,0.44142857142857145,0.5876070528967254,0.4242470805162876
EuroSAT,RESISC45,SUN397,0.5386146001741077,0.3797872340425532,0.9585185185185185,0.2913697545526524,0.9082539682539682,0.5958186397984887,0.12361708666256914
EuroSAT,RESISC45,SVHN,0.48414376321353064,0.3281914893617021,0.9277777777777778,0.35043547110055423,0.8741269841269841,0.5352141057934509,0.2906422864167179
EuroSAT,SUN397,SVHN,0.5631140405422211,0.4031914893617021,0.9555555555555556,0.3658749010292953,0.508095238095238,0.7250377833753149,0.572180393362016
GTSRB,RESISC45,SUN397,0.5474443477179455,0.376063829787234,0.5437037037037037,0.9214568487727632,0.9114285714285715,0.6045843828715365,0.34722649047326365
GTSRB,RESISC45,SVHN,0.546325083944783,0.37553191489361704,0.4937037037037037,0.9151227236737925,0.8692063492063492,0.6051385390428211,0.6112861094038107
GTSRB,SUN397,SVHN,0.5551548314886208,0.3984042553191489,0.31592592592592594,0.9117181314330958,0.49603174603174605,0.7277581863979848,0.7021358328211432
RESISC45,SUN397,SVHN,0.5684616341251089,0.4053191489361702,0.5388888888888889,0.3407759303246239,0.8717460317460317,0.7325944584382872,0.595958819913952
