dataset:0,dataset:1,dataset:2,dataset:3,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
Cars,DTD,EuroSAT,GTSRB,0.7803755751772168,0.6734042553191489,0.6455555555555555,0.2914489311163895,0.5288888888888889,0.6158186397984886,0.1456284572833436
Cars,DTD,EuroSAT,RESISC45,0.7808730257430668,0.6904255319148936,0.6411111111111111,0.2790182106096595,0.5149206349206349,0.6186901763224182,0.1407882606023356
Cars,DTD,EuroSAT,SUN397,0.7898271359283671,0.6904255319148936,0.63,0.2721298495645289,0.5155555555555555,0.6081108312342569,0.136639520590043
Cars,DTD,EuroSAT,SVHN,0.772789454048004,0.6638297872340425,0.6325925925925926,0.2885985748218527,0.5304761904761904,0.6079596977329975,0.1445528580208973
Cars,DTD,GTSRB,RESISC45,0.7792563114040543,0.6936170212765957,0.3296296296296296,0.4122723673792557,0.4758730158730159,0.6068513853904283,0.1897664413030116
Cars,DTD,GTSRB,SUN397,0.7933092898893173,0.6909574468085107,0.3566666666666667,0.4017418844022169,0.4982539682539682,0.6010579345088162,0.1804317762753534
Cars,DTD,GTSRB,SVHN,0.7561248600920284,0.6675531914893617,0.307037037037037,0.442042755344418,0.490952380952381,0.5964231738035265,0.2090119852489244
Cars,DTD,RESISC45,SUN397,0.7814948389503793,0.6920212765957446,0.4433333333333333,0.266904196357878,0.6774603174603174,0.601712846347607,0.1194299323909035
Cars,DTD,RESISC45,SVHN,0.7720432781992289,0.6867021276595745,0.3792592592592592,0.2743467933491686,0.6412698412698413,0.607455919395466,0.1142440073755378
Cars,DTD,SUN397,SVHN,0.7731625419723915,0.7015957446808511,0.3233333333333333,0.2836104513064133,0.5044444444444445,0.5983375314861461,0.3582129686539643
Cars,EuroSAT,GTSRB,RESISC45,0.7583633876383534,0.3946808510638298,0.9662962962962964,0.4902612826603325,0.4766666666666667,0.6150629722921914,0.2144283958205285
Cars,EuroSAT,GTSRB,SUN397,0.7522696182066907,0.3888297872340425,0.9703703703703704,0.501187648456057,0.4704761904761905,0.598639798488665,0.2158497234173325
Cars,EuroSAT,GTSRB,SVHN,0.7281432657629648,0.3856382978723404,0.9555555555555556,0.5437054631828978,0.490952380952381,0.6036272040302267,0.3112323294406884
Cars,EuroSAT,RESISC45,SUN397,0.7720432781992289,0.4053191489361702,0.9729629629629628,0.3103721298495645,0.6390476190476191,0.613904282115869,0.1401736324523663
Cars,EuroSAT,RESISC45,SVHN,0.7538863325457033,0.3925531914893617,0.9677777777777776,0.339034045922407,0.6261904761904762,0.6090680100755668,0.1585740626920713
Cars,EuroSAT,SUN397,SVHN,0.7593582887700535,0.3930851063829787,0.9744444444444444,0.3508313539192399,0.4622222222222222,0.6077581863979848,0.2174631223110018
Cars,GTSRB,RESISC45,SUN397,0.7811217510259918,0.3984042553191489,0.42,0.9039588281868568,0.6352380952380953,0.6090680100755668,0.3616318377381684
Cars,GTSRB,RESISC45,SVHN,0.7693073000870538,0.3930851063829787,0.3722222222222222,0.9208234362628662,0.6033333333333334,0.6075566750629723,0.3538721573448063
Cars,GTSRB,SUN397,SVHN,0.7775152344235792,0.3840425531914894,0.2866666666666667,0.9434679334916865,0.4580952380952381,0.6045843828715365,0.5069913952059004
Cars,RESISC45,SUN397,SVHN,0.7714214649919164,0.3914893617021276,0.5351851851851852,0.3084718923198733,0.9352380952380952,0.6125944584382872,0.2206899200983405
DTD,EuroSAT,GTSRB,RESISC45,0.5700783484641214,0.6414893617021277,0.9681481481481482,0.4779889152810768,0.5190476190476191,0.6089672544080604,0.235018438844499
DTD,EuroSAT,GTSRB,SUN397,0.5617460514861335,0.649468085106383,0.9755555555555555,0.48044338875692794,0.4738095238095238,0.5836775818639799,0.2344038106945298
DTD,EuroSAT,GTSRB,SVHN,0.5514239522447457,0.5824468085106383,0.9655555555555555,0.5176563737133808,0.4846031746031746,0.5951133501259446,0.3844499078057775
DTD,EuroSAT,RESISC45,SUN397,0.5738092277079965,0.6648936170212766,0.9744444444444444,0.3003958828186857,0.6066666666666667,0.6022670025188916,0.16552704363859866
DTD,EuroSAT,RESISC45,SVHN,0.5532893918666832,0.6292553191489362,0.9722222222222222,0.3152810768012668,0.6185714285714285,0.5959193954659949,0.15488629379225569
DTD,EuroSAT,SUN397,SVHN,0.5680885462007214,0.6372340425531915,0.9781481481481481,0.33467933491686463,0.4768253968253968,0.5974811083123426,0.37914874001229254
DTD,GTSRB,RESISC45,SUN397,0.5626165899763711,0.6797872340425531,0.3477777777777778,0.8960411718131434,0.623968253968254,0.5968765743073048,0.3802627535341119
DTD,GTSRB,RESISC45,SVHN,0.5545330182813083,0.6617021276595745,0.3233333333333333,0.9104513064133016,0.5853968253968254,0.601007556675063,0.3679701905347265
DTD,GTSRB,SUN397,SVHN,0.5515483148862081,0.6861702127659575,0.25666666666666665,0.9389548693586698,0.43222222222222223,0.5913853904282116,0.4719960049170252
DTD,RESISC45,SUN397,SVHN,0.5669692824275587,0.673936170212766,0.5255555555555556,0.2879651623119557,0.9252380952380952,0.5989924433249371,0.33931315304240933
EuroSAT,GTSRB,RESISC45,SUN397,0.5162293247108568,0.3696808510638298,0.9633333333333334,0.9295328582739509,0.5677777777777778,0.5396977329974811,0.341080208973571
EuroSAT,GTSRB,RESISC45,SVHN,0.5310284790448949,0.3718085106382979,0.9403703703703704,0.907680126682502,0.5871428571428572,0.5932997481108312,0.3833358942839582
EuroSAT,GTSRB,SUN397,SVHN,0.5320233801765949,0.37659574468085105,0.9474074074074074,0.9334916864608076,0.44476190476190475,0.5873047858942065,0.4644283958205286
EuroSAT,RESISC45,SUN397,SVHN,0.5333913692326825,0.3670212765957447,0.9585185185185185,0.3307205067300079,0.8907936507936508,0.5842821158690177,0.21208512599877075
