dataset:0,dataset:1,dataset:2,dataset:3,dataset:4,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
Cars,DTD,EuroSAT,GTSRB,RESISC45,0.7792563114040543,0.6872340425531915,0.5625925925925926,0.318368962787015,0.4507936507936508,0.6043324937027708,0.1617240319606638
Cars,DTD,EuroSAT,GTSRB,SUN397,0.7909463997015297,0.6771276595744681,0.6603703703703704,0.3163103721298496,0.513968253968254,0.5855919395465995,0.1577289489858635
Cars,DTD,EuroSAT,GTSRB,SVHN,0.774530531028479,0.6585106382978724,0.6533333333333333,0.2912114014251781,0.5312698412698412,0.6117884130982367,0.1669867854947756
Cars,DTD,EuroSAT,RESISC45,SUN397,0.7879616963064295,0.6930851063829787,0.6666666666666666,0.2758511480601742,0.5541269841269841,0.5854911838790932,0.1401736324523663
Cars,DTD,EuroSAT,RESISC45,SVHN,0.7857231687601045,0.698936170212766,0.5644444444444444,0.2855106888361045,0.4479365079365079,0.6115869017632242,0.2013675476336816
Cars,DTD,EuroSAT,SUN397,SVHN,0.7768934212162666,0.6781914893617021,0.67,0.2927157561361836,0.5220634920634921,0.5873551637279597,0.2303318992009834
Cars,DTD,GTSRB,RESISC45,SUN397,0.7854744434771794,0.6930851063829787,0.3440740740740741,0.4233570863024545,0.4973015873015873,0.5940050377833753,0.1928011677934849
Cars,DTD,GTSRB,RESISC45,SVHN,0.7834846412137794,0.6952127659574469,0.3022222222222222,0.3932699920823436,0.4206349206349206,0.6031234256926952,0.2577212661339889
Cars,DTD,GTSRB,SUN397,SVHN,0.7888322347966671,0.6803191489361702,0.3496296296296296,0.4304829770387965,0.5006349206349207,0.5980352644836272,0.1880762138905962
Cars,DTD,RESISC45,SUN397,SVHN,0.7771421464991917,0.673936170212766,0.4233333333333333,0.2752177355502771,0.6898412698412698,0.5861460957178841,0.2093961278426551
Cars,EuroSAT,GTSRB,RESISC45,SUN397,0.7634622559383162,0.3877659574468085,0.9655555555555556,0.4702296120348377,0.4741269841269841,0.6005541561712846,0.2091656422864167
Cars,EuroSAT,GTSRB,RESISC45,SVHN,0.7482900136798906,0.3808510638297872,0.9555555555555556,0.4844022169437846,0.413968253968254,0.5939546599496222,0.3085433312845728
Cars,EuroSAT,GTSRB,SUN397,SVHN,0.7623429921651536,0.3856382978723404,0.965925925925926,0.4608867775138558,0.4747619047619048,0.5958186397984887,0.1866548862937922
Cars,EuroSAT,RESISC45,SUN397,SVHN,0.7762716080089541,0.3941489361702128,0.9674074074074074,0.3300870942201108,0.623968253968254,0.6007556675062973,0.1421711739397664
Cars,GTSRB,RESISC45,SUN397,SVHN,0.7824897400820794,0.3973404255319149,0.4214814814814814,0.9060174188440222,0.6373015873015873,0.6067506297229219,0.346419791026429
DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.5642333043153837,0.676595744680851,0.971851851851852,0.4391132224861441,0.4607936507936508,0.5905793450881612,0.2252612169637369
DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.5626165899763711,0.6595744680851063,0.9714814814814816,0.4543942992874109,0.423015873015873,0.6012594458438287,0.3121158574062692
DTD,EuroSAT,GTSRB,SUN397,SVHN,0.5600049745056584,0.674468085106383,0.9707407407407408,0.4477434679334917,0.4785714285714286,0.5891183879093199,0.2014443761524277
DTD,EuroSAT,RESISC45,SUN397,SVHN,0.5612486009202835,0.6638297872340425,0.9733333333333334,0.310055423594616,0.596031746031746,0.5945088161209068,0.1554240934234788
DTD,GTSRB,RESISC45,SUN397,SVHN,0.560875512995896,0.6872340425531915,0.3348148148148148,0.898258115597783,0.5858730158730159,0.5984886649874055,0.3458819913952059
EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5328939186668324,0.3792553191489362,0.9707407407407408,0.9010292953285828,0.5346031746031746,0.581712846347607,0.2929087277197296
