scaling_factor,dataset:0,dataset:1,dataset:2,dataset:3,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
0.0,Cars,DTD,EuroSAT,GTSRB,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
0.05,Cars,DTD,EuroSAT,GTSRB,0.5807735356298968,0.4441489361702128,0.3674074074074074,0.336104513064133,0.4893650793650794,0.6205541561712846,0.1153580208973571
0.1,Cars,DTD,EuroSAT,GTSRB,0.6193259544832732,0.475531914893617,0.5533333333333333,0.3916864608076009,0.5149206349206349,0.6273047858942066,0.1513521819299323
0.15,Cars,DTD,EuroSAT,GTSRB,0.6499191642830494,0.5085106382978724,0.6859259259259259,0.4627078384798099,0.5214285714285715,0.6298740554156171,0.1891902274124154
0.2,Cars,DTD,EuroSAT,GTSRB,0.6783982091779629,0.5393617021276595,0.7988888888888889,0.5441013460015836,0.5207936507936508,0.6297732997481108,0.224339274738783
0.25,Cars,DTD,EuroSAT,GTSRB,0.704265638602164,0.5654255319148936,0.8692592592592593,0.6267616785431512,0.5161904761904762,0.6271032745591939,0.2565304240934234
0.3,Cars,DTD,EuroSAT,GTSRB,0.7240392985947022,0.5882978723404255,0.9185185185185184,0.7050673000791766,0.4996825396825397,0.6215617128463476,0.293600184388445
0.35,Cars,DTD,EuroSAT,GTSRB,0.7410769804750653,0.6031914893617021,0.9418518518518518,0.7789390340459224,0.4846031746031746,0.6114861460957178,0.3315534726490473
0.4,Cars,DTD,EuroSAT,GTSRB,0.7523939808481532,0.6148936170212767,0.9518518518518518,0.8318289786223277,0.4617460317460317,0.6,0.3628226797787339
0.45,Cars,DTD,EuroSAT,GTSRB,0.758985200845666,0.6207446808510638,0.957037037037037,0.8689627870150436,0.4406349206349206,0.5828211586901764,0.3900968039336202
0.5,Cars,DTD,EuroSAT,GTSRB,0.7628404427310036,0.6207446808510638,0.9596296296296296,0.8931116389548693,0.4107936507936507,0.5637783375314861,0.4072295636140135
0.55,Cars,DTD,EuroSAT,GTSRB,0.7613480910334536,0.6090425531914894,0.9618518518518518,0.9121140142517816,0.3788888888888889,0.538337531486146,0.4154886293792256
0.6000000000000001,Cars,DTD,EuroSAT,GTSRB,0.7556274095261784,0.5909574468085106,0.9585185185185184,0.9233570863024544,0.3458730158730159,0.5087657430730479,0.4176014136447449
0.65,Cars,DTD,EuroSAT,GTSRB,0.7419475189653029,0.5696808510638298,0.9544444444444444,0.9276326207442596,0.3214285714285714,0.4713853904282116,0.4119929317762753
0.7000000000000001,Cars,DTD,EuroSAT,GTSRB,0.7255316502922522,0.5457446808510639,0.9488888888888888,0.9305621536025336,0.2934920634920634,0.4298236775818639,0.4037338660110633
0.75,Cars,DTD,EuroSAT,GTSRB,0.6984205944534262,0.526595744680851,0.9362962962962964,0.9262074425969912,0.2701587301587301,0.386095717884131,0.388560233558697
0.8,Cars,DTD,EuroSAT,GTSRB,0.666583758239025,0.5053191489361702,0.9192592592592592,0.9240696753760886,0.2479365079365079,0.3401511335012595,0.3687768899815611
0.8500000000000001,Cars,DTD,EuroSAT,GTSRB,0.6220619325954483,0.4797872340425532,0.9037037037037036,0.9180522565320663,0.2238095238095238,0.2937531486146095,0.3448832206515058
0.9,Cars,DTD,EuroSAT,GTSRB,0.5694565352568088,0.4542553191489362,0.8685185185185185,0.9068091844813936,0.205079365079365,0.2479093198992443,0.3183389674247081
0.95,Cars,DTD,EuroSAT,GTSRB,0.4985698296231812,0.4271276595744681,0.8322222222222222,0.8935075217735551,0.1879365079365079,0.2064987405541561,0.2920636140135218
1.0,Cars,DTD,EuroSAT,GTSRB,0.4183559258798657,0.3984042553191489,0.79,0.8771179730799683,0.1698412698412698,0.1710327455919395,0.2618700061462815
0.0,Cars,DTD,EuroSAT,RESISC45,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
0.05,Cars,DTD,EuroSAT,RESISC45,0.5822658873274469,0.4430851063829787,0.3833333333333333,0.2838479809976247,0.5447619047619048,0.623727959697733,0.1024124154886293
0.1,Cars,DTD,EuroSAT,RESISC45,0.6203208556149733,0.4803191489361702,0.58,0.2901029295328582,0.6304761904761905,0.6334005037783376,0.118738475722188
0.15,Cars,DTD,EuroSAT,RESISC45,0.6540231314513121,0.5074468085106383,0.7203703703703703,0.2874109263657957,0.6904761904761905,0.6337531486146095,0.1328749231714812
0.2,Cars,DTD,EuroSAT,RESISC45,0.6815072752145256,0.5345744680851063,0.8474074074074074,0.286381631037213,0.7425396825396825,0.6332493702770781,0.1399815611555009
0.25,Cars,DTD,EuroSAT,RESISC45,0.6975500559631886,0.551595744680851,0.9133333333333332,0.2868566904196358,0.796984126984127,0.6269521410579345,0.1447065150583896
0.3,Cars,DTD,EuroSAT,RESISC45,0.7121004850143017,0.5691489361702128,0.9377777777777778,0.2871733966745843,0.8357142857142857,0.6190428211586901,0.1480869698832206
0.35,Cars,DTD,EuroSAT,RESISC45,0.721054595199602,0.5824468085106383,0.9551851851851852,0.288756927949327,0.856984126984127,0.610176322418136,0.1505454824830977
0.4,Cars,DTD,EuroSAT,RESISC45,0.7282676284044273,0.5920212765957447,0.96,0.2897862232779097,0.8706349206349207,0.6007556675062973,0.1495467117393976
0.45,Cars,DTD,EuroSAT,RESISC45,0.7339883099117025,0.598404255319149,0.9625925925925926,0.2873317498020586,0.8731746031746032,0.5855919395465995,0.1465119852489244
0.5,Cars,DTD,EuroSAT,RESISC45,0.7332421340629275,0.5973404255319149,0.9614814814814816,0.2828186856690419,0.8725396825396825,0.5651889168765744,0.1404425322679778
0.55,Cars,DTD,EuroSAT,RESISC45,0.7291381668946648,0.5893617021276596,0.9607407407407408,0.2737133808392716,0.8673015873015874,0.5431738035264484,0.1341810079901659
0.6000000000000001,Cars,DTD,EuroSAT,RESISC45,0.7199353314264395,0.5840425531914893,0.9574074074074074,0.2612826603325415,0.8576190476190476,0.5138035264483627,0.1255377996312231
0.65,Cars,DTD,EuroSAT,RESISC45,0.705011814450939,0.573936170212766,0.9507407407407408,0.2467141726049089,0.85,0.4809571788413098,0.1173939766441303
0.7000000000000001,Cars,DTD,EuroSAT,RESISC45,0.6843676159681632,0.551063829787234,0.9418518518518518,0.2276326207442597,0.8361904761904762,0.4419647355163728,0.1074446834665027
0.75,Cars,DTD,EuroSAT,RESISC45,0.6570078348464121,0.5340425531914894,0.9281481481481482,0.2101346001583531,0.8206349206349206,0.4015617128463476,0.0986862323294406
0.8,Cars,DTD,EuroSAT,RESISC45,0.6163412510881731,0.5053191489361702,0.9111111111111112,0.1898653998416468,0.8028571428571428,0.3592947103274559,0.0920405654578979
0.8500000000000001,Cars,DTD,EuroSAT,RESISC45,0.5651038428056212,0.4781914893617021,0.8837037037037037,0.1659540775930324,0.7811111111111111,0.3097732997481108,0.0860095267363245
0.9,Cars,DTD,EuroSAT,RESISC45,0.5011814450938938,0.4473404255319149,0.8429629629629629,0.1460015835312747,0.7617460317460317,0.2624685138539043,0.0815918869084204
0.95,Cars,DTD,EuroSAT,RESISC45,0.4251958711603034,0.425,0.7981481481481482,0.1342042755344418,0.7414285714285714,0.2152141057934508,0.0788260602335587
1.0,Cars,DTD,EuroSAT,RESISC45,0.3510757368486507,0.400531914893617,0.7314814814814815,0.122486144101346,0.7117460317460318,0.177632241813602,0.0755608481868469
