scaling_factor,dataset:0,dataset:1,dataset:2,dataset:3,dataset:4,dataset:5,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
0.0,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
0.05,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.5904738216639721,0.4468085106382978,0.4296296296296296,0.3354711005542359,0.5628571428571428,0.6437783375314862,0.1210433312845728
0.1,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.6313891307051361,0.4803191489361702,0.6259259259259259,0.3893111638954869,0.6420634920634921,0.666095717884131,0.1645666871542716
0.15,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.6624797910707624,0.5037234042553191,0.774074074074074,0.4593824228028503,0.6949206349206349,0.6804534005037783,0.2042870313460356
0.2,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.6823778137047631,0.5202127659574468,0.8755555555555555,0.5362628661916072,0.7407936507936508,0.6866498740554157,0.2442378610940381
0.25,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.6987936823778137,0.5287234042553192,0.9188888888888888,0.6176563737133809,0.7761904761904762,0.6897732997481109,0.2808850645359557
0.3,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.7035194627533888,0.5372340425531915,0.93,0.6863024544734758,0.7984126984126985,0.6867002518891687,0.3057006760909649
0.35,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.706752891431414,0.5313829787234042,0.9318518518518518,0.7340459224069675,0.8057142857142857,0.6785894206549118,0.315419483712354
0.4,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.7000373087924388,0.5212765957446809,0.9277777777777778,0.7634996041171813,0.8015873015873016,0.6606549118387909,0.3126536570374923
0.45,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.680388011441363,0.5079787234042553,0.917037037037037,0.7731591448931117,0.7906349206349207,0.633904282115869,0.3020129071911493
0.5,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.6531525929610745,0.4909574468085106,0.9025925925925926,0.7751385589865399,0.7731746031746032,0.592544080604534,0.2814228641671789
0.55,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.612859097127223,0.4627659574468085,0.8733333333333333,0.7657165479018211,0.75,0.535264483627204,0.2560310387215734
0.6000000000000001,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.5504290511130456,0.426595744680851,0.8251851851851851,0.7455265241488519,0.7182539682539683,0.4622670025188917,0.2282575291948371
0.65,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.4852630269866932,0.3835106382978723,0.7707407407407407,0.7157561361836896,0.6888888888888889,0.383727959697733,0.1982944068838353
