scaling_factor,dataset:0,dataset:1,dataset:2,dataset:3,dataset:4,dataset:5,dataset:6,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
0.0,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.05,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5917174480785972,0.4473404255319149,0.4425925925925926,0.3405384006334125,0.570952380952381,0.6461460957178842,0.18169944683466502
0.1,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.6367367242880239,0.4787234042553192,0.6296296296296297,0.4069675376088678,0.6436507936507937,0.6670528967254408,0.3605562384757222
0.15000000000000002,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.6663350329561,0.49946808510638296,0.7662962962962963,0.4931908155186065,0.686984126984127,0.6783375314861461,0.5705285802089736
0.2,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.6818803631389131,0.5106382978723404,0.8477777777777777,0.5770387965162312,0.7241269841269842,0.6811586901763225,0.6975261216963737
0.25,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.6908344733242134,0.5202127659574468,0.8662962962962963,0.6613618368962787,0.7507936507936508,0.6808060453400504,0.776160110633067
0.30000000000000004,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.6893421216266633,0.5101063829787233,0.8625925925925926,0.7222486144101345,0.7552380952380953,0.6716372795969773,0.8256760909649662
0.35000000000000003,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.678646934460888,0.4978723404255319,0.8462962962962963,0.7565320665083135,0.743968253968254,0.6515869017632242,0.8544099569760295
0.4,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.6510384280562119,0.4728723404255319,0.8211111111111111,0.7694378463974664,0.729047619047619,0.6150629722921914,0.8659726490473264
0.45,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.6114911080711354,0.4398936170212766,0.7733333333333333,0.7646872525732383,0.703968253968254,0.557984886649874,0.864858635525507
0.5,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5544086556398458,0.4026595744680851,0.717037037037037,0.7482977038796517,0.6719047619047619,0.48670025188916877,0.8529502151198525
0.55,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.48439248849645566,0.35638297872340424,0.6351851851851852,0.7181314330958036,0.6306349206349207,0.40821158690176323,0.8323985863552551
0.6000000000000001,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.3979604526800149,0.326063829787234,0.55,0.6786223277909739,0.5804761904761905,0.3234256926952141,0.8009373079287031
0.65,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.2990921527173237,0.28936170212765955,0.4711111111111111,0.6328582739509105,0.5222222222222223,0.24191435768261965,0.7580669944683467
0.7000000000000001,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.20743688595945778,0.2531914893617021,0.3888888888888889,0.5788598574821853,0.4596825396825397,0.1765743073047859,0.7110863552550707
0.75,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.12946150976246734,0.22393617021276596,0.31407407407407406,0.5270783847980998,0.3879365079365079,0.12322418136020151,0.6576905347264905
0.8,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.0746175848775028,0.19574468085106383,0.24851851851851853,0.4637371338083927,0.32634920634920633,0.08493702770780856,0.5978027043638598
0.8500000000000001,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.042283298097251586,0.17872340425531916,0.20148148148148148,0.39398258115597784,0.2561904761904762,0.05763224181360201,0.5336508912108174
0.9,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.023131451312025868,0.15531914893617021,0.17666666666666667,0.3231195566112431,0.20682539682539683,0.040503778337531486,0.468000921942225
0.9500000000000001,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.013555527919413009,0.1356382978723404,0.16074074074074074,0.2627870150435471,0.1595238095238095,0.028967254408060455,0.40292716656422867
1.0,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.009078472826762841,0.11542553191489362,0.14888888888888888,0.211243072050673,0.12603174603174602,0.02105793450881612,0.34845574677320224
