scaling_factor,k,dataset:0,dataset:1,dataset:2,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
0.0,0.25,Cars,DTD,EuroSAT,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
0.25,0.25,Cars,DTD,EuroSAT,0.6224350205198358,0.498936170212766,0.5577777777777778,0.2916072842438638,0.5115873015873016,0.6258942065491184,0.1156653349723417
0.5,0.25,Cars,DTD,EuroSAT,0.6923268250217635,0.5771276595744681,0.8381481481481482,0.2951702296120348,0.5136507936507937,0.6293198992443325,0.1419022741241548
0.75,0.25,Cars,DTD,EuroSAT,0.7472951125481905,0.6404255319148936,0.9555555555555556,0.2945368171021377,0.483015873015873,0.6191939546599496,0.1591502765826674
1.0,0.25,Cars,DTD,EuroSAT,0.7788832234796667,0.6978723404255319,0.978148148148148,0.2995249406175772,0.4284126984126984,0.6002518891687657,0.1737092808850645
0.0,0.5,Cars,DTD,EuroSAT,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
0.25,0.5,Cars,DTD,EuroSAT,0.6351200099490113,0.5069148936170212,0.6222222222222222,0.2926365795724465,0.5174603174603175,0.6275566750629723,0.1192762753534111
0.5,0.5,Cars,DTD,EuroSAT,0.7082452431289641,0.5872340425531914,0.9044444444444444,0.2941409342834521,0.5101587301587301,0.6269017632241813,0.1418638598647818
0.75,0.5,Cars,DTD,EuroSAT,0.7567466732993409,0.6569148936170213,0.9688888888888888,0.2945368171021377,0.4612698412698413,0.6130478589420655,0.1548862937922556
1.0,0.5,Cars,DTD,EuroSAT,0.7809973883845293,0.6877659574468085,0.9837037037037036,0.2960411718131433,0.3955555555555555,0.5781360201511335,0.1643746158574062
0.0,0.75,Cars,DTD,EuroSAT,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
