scaling_factor,k,dataset:0,dataset:1,dataset:2,dataset:3,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
0.0,0.25,Cars,DTD,EuroSAT,GTSRB,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
0.25,0.25,Cars,DTD,EuroSAT,GTSRB,0.6184554159930357,0.4898936170212766,0.5481481481481482,0.3855898653998416,0.5093650793650794,0.626448362720403,0.1453211432083589
0.5,0.25,Cars,DTD,EuroSAT,GTSRB,0.6847407038925507,0.5648936170212766,0.8396296296296296,0.5443388756927949,0.513015873015873,0.6279596977329975,0.2180009219422249
0.75,0.25,Cars,DTD,EuroSAT,GTSRB,0.7373461012311902,0.622872340425532,0.9492592592592592,0.7102929532858274,0.476031746031746,0.6193954659949622,0.2825368776889981
1.0,0.25,Cars,DTD,EuroSAT,GTSRB,0.7622186295236911,0.6606382978723404,0.9725925925925926,0.8317498020585906,0.4233333333333333,0.5929471032745592,0.3498386601106331
0.0,0.5,Cars,DTD,EuroSAT,GTSRB,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
0.25,0.5,Cars,DTD,EuroSAT,GTSRB,0.626414625046636,0.4920212765957447,0.6044444444444445,0.3931116389548693,0.5192063492063492,0.627808564231738,0.1523509526736324
0.5,0.5,Cars,DTD,EuroSAT,GTSRB,0.6910831986071384,0.5686170212765957,0.8781481481481481,0.555027711797308,0.5123809523809524,0.6271032745591939,0.2234557467732022
0.75,0.5,Cars,DTD,EuroSAT,GTSRB,0.7383410023628902,0.625,0.9566666666666668,0.7129057798891528,0.4636507936507936,0.6100755667506297,0.2914489858635525
1.0,0.5,Cars,DTD,EuroSAT,GTSRB,0.7608506404676035,0.6398936170212766,0.9766666666666668,0.8307996832937451,0.4038095238095238,0.5771284634760705,0.3522587584511371
0.0,0.75,Cars,DTD,EuroSAT,GTSRB,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
0.25,0.75,Cars,DTD,EuroSAT,GTSRB,0.6188285039174232,0.4845744680851064,0.5811111111111111,0.3809976247030879,0.5166666666666667,0.6268010075566751,0.1469729563614013
0.5,0.75,Cars,DTD,EuroSAT,GTSRB,0.680139286158438,0.5531914893617021,0.8481481481481481,0.522486144101346,0.5193650793650794,0.629823677581864,0.2094345421020282
0.75,0.75,Cars,DTD,EuroSAT,GTSRB,0.7277701778385773,0.5994680851063829,0.9511111111111112,0.6654790182106096,0.4817460317460317,0.6168765743073048,0.269898586355255
1.0,0.75,Cars,DTD,EuroSAT,GTSRB,0.7533888819798532,0.6324468085106383,0.9722222222222222,0.7847980997624703,0.436984126984127,0.5937531486146096,0.3297864167178856
0.0,1.0,Cars,DTD,EuroSAT,GTSRB,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
0.25,1.0,Cars,DTD,EuroSAT,GTSRB,0.6096256684491979,0.4723404255319149,0.5318518518518518,0.3685669041963579,0.5117460317460317,0.6265491183879093,0.1389443761524277
