scaling_factor,k,dataset:0,dataset:1,dataset:2,dataset:3,dataset:4,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
0.0,0.25,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
0.25,0.25,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.613356547693073,0.4808510638297872,0.5785185185185185,0.3652414885193982,0.6363492063492063,0.63088161209068,0.1410955746773202
0.5,0.25,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.6677030220121876,0.5324468085106383,0.8537037037037037,0.4957244655581947,0.7687301587301587,0.6295717884130982,0.2040949600491702
0.75,0.25,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.7014052978485263,0.574468085106383,0.95,0.6263657957244656,0.8579365079365079,0.6145088161209068,0.2562231100184388
1.0,0.25,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.7189404302947394,0.5856382978723405,0.9655555555555556,0.7179730799683294,0.8765079365079365,0.5807052896725441,0.2972495390288875
0.0,0.5,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
0.25,0.5,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.6174605148613357,0.4781914893617021,0.6029629629629629,0.3659540775930324,0.6504761904761904,0.629823677581864,0.146319913952059
0.5,0.5,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.6723044397463002,0.526595744680851,0.8759259259259259,0.4851148060174188,0.7806349206349207,0.626750629722922,0.2010602335586969
0.75,0.5,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.6990424076607387,0.5590425531914893,0.9485185185185184,0.5998416468725257,0.8598412698412699,0.6086649874055415,0.2480024585125999
1.0,0.5,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.7097375948265141,0.5654255319148936,0.9629629629629628,0.679889152810768,0.8738095238095238,0.5713350125944584,0.2801551936078672
0.0,0.75,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
0.25,0.75,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.6119885586369854,0.4686170212765957,0.5725925925925925,0.359224069675376,0.6323809523809524,0.6296221662468514,0.1401736324523663
0.5,0.75,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.6639721427683124,0.5143617021276595,0.8407407407407408,0.4576405384006334,0.7488888888888889,0.6286649874055416,0.188959741856177
0.75,0.75,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.692699912946151,0.5409574468085107,0.9403703703703704,0.5630245447347585,0.844920634920635,0.6160201511335013,0.2301782421634911
1.0,0.75,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.706752891431414,0.5547872340425531,0.9585185185185184,0.6452098178939034,0.8725396825396825,0.5921914357682619,0.2620236631837738
0.0,1.0,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
0.25,1.0,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.6036562616589977,0.4611702127659574,0.5337037037037037,0.3509897070467141,0.6085714285714285,0.6298740554156171,0.1328365089121082
