scaling_factor,k,dataset:0,dataset:1,dataset:2,dataset:3,dataset:4,dataset:5,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
0.0,0.25,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,0.25,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.6123616465613729,0.4718085106382979,0.5588888888888889,0.3568487727632621,0.6334920634920634,0.6678085642317381,0.13763829133374308
0.5,0.25,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.6621067031463749,0.5138297872340426,0.8322222222222222,0.4596991290577989,0.7465079365079365,0.6993954659949622,0.20244314689612783
0.75,0.25,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.6871035940803383,0.5367021276595745,0.9307407407407408,0.5918448139350753,0.822063492063492,0.7115365239294711,0.25902735095267365
1.0,0.25,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.6922024623803009,0.5484042553191489,0.955925925925926,0.691132224861441,0.8423809523809523,0.7047858942065491,0.288260602335587
0.0,0.5,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,0.5,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.6154707125979356,0.4675531914893617,0.5762962962962963,0.3556611243072051,0.6379365079365079,0.6666498740554156,0.14121081745543945
0.5,0.5,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.6669568461634126,0.5111702127659574,0.8440740740740741,0.4494061757719715,0.746031746031746,0.6945088161209068,0.19817916410571604
0.75,0.5,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.6885959457778883,0.5297872340425532,0.932962962962963,0.5613618368962787,0.819047619047619,0.7047858942065491,0.2420482483097726
1.0,0.5,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.6909588359656759,0.5276595744680851,0.9511111111111111,0.6516231195566112,0.8352380952380952,0.6934508816120907,0.26544253226797787
0.0,0.75,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,0.75,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.6119885586369854,0.4622340425531915,0.5503703703703704,0.34782264449722883,0.6195238095238095,0.6608060453400504,0.13602489244007376
0.5,0.75,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.6604899888073623,0.5015957446808511,0.7955555555555556,0.4270783847980998,0.7215873015873016,0.6892191435768262,0.18500307314074985
