scaling_factor,k,dataset:0,dataset:1,dataset:2,dataset:3,dataset:4,dataset:5,dataset:6,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
0.0,0.25,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,0.25,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.6092525805248103,0.4622340425531915,0.5488888888888889,0.3563737133808393,0.6215873015873016,0.6653400503778337,0.2644821757836509
0.5,0.25,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.6561372963561746,0.5037234042553191,0.7881481481481482,0.4613618368962787,0.7246031746031746,0.6944584382871537,0.6410955746773203
0.75,0.25,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.6775276706877255,0.5223404255319148,0.8918518518518519,0.5783847980997625,0.7868253968253969,0.7008564231738035,0.844998463429625
1.0,0.25,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.6729262529536127,0.523936170212766,0.9148148148148149,0.6800475059382423,0.8011111111111111,0.6860453400503779,0.9132221880762139
0.0,0.5,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,0.5,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.611864195995523,0.46063829787234045,0.5596296296296296,0.3528899445764054,0.6222222222222222,0.6634256926952141,0.27420098340503996
0.5,0.5,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.6591219997512747,0.4930851063829787,0.7862962962962963,0.4551068883610451,0.7138095238095238,0.6879596977329975,0.6311078672403196
0.75,0.5,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.6771545827633378,0.5143617021276595,0.8877777777777778,0.5597783056215361,0.7768253968253969,0.6922418136020151,0.8171097111247695
1.0,0.5,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.6689466484268126,0.5101063829787233,0.9088888888888889,0.656848772763262,0.7953968253968254,0.6795465994962216,0.8956668715427166
0.0,0.75,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,0.75,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.6081333167516478,0.4574468085106383,0.5355555555555556,0.34671417260490894,0.6071428571428571,0.6587405541561713,0.23943607867240319
0.5,0.75,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.652282054470837,0.4888297872340426,0.7414814814814815,0.434916864608076,0.6934920634920635,0.6836775818639799,0.5490165949600492
0.75,0.75,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.6761596816316379,0.5111702127659574,0.8640740740740741,0.5306413301662708,0.7542857142857143,0.6900755667506298,0.7438153042409342
1.0,0.75,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.6800149235169755,0.5148936170212766,0.9,0.6225653206650832,0.790952380952381,0.6870528967254408,0.8500307314074985
0.0,1.0,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,1.0,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5970650416614849,0.45,0.4948148148148148,0.3431512272367379,0.5912698412698413,0.6531989924433249,0.20858942839582054
0.5,1.0,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.6435766695684616,0.47925531914893615,0.6874074074074074,0.41512272367379255,0.672063492063492,0.6786901763224181,0.4577443146896128
0.75,1.0,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.6700659121999751,0.5058510638297873,0.8307407407407408,0.5049089469517023,0.7285714285714285,0.6873551637279597,0.6824293177627535
1.0,1.0,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.6838701654023132,0.5223404255319148,0.8918518518518519,0.5923990498812352,0.7760317460317461,0.688816120906801,0.8015519360786724
