dataset:0,dataset:1,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
Cars,DTD,0.6214401193881358,0.46063829787234045,0.2285185185185185,0.2808392715756136,0.48857142857142855,0.6277581863979849,0.09488322065150584
Cars,EuroSAT,0.6168387016540231,0.4196808510638298,0.587037037037037,0.2796516231195566,0.49507936507936506,0.6260453400503778,0.09288567916410571
Cars,GTSRB,0.6162168884467106,0.4117021276595745,0.21407407407407408,0.4117181314330958,0.4831746031746032,0.6222670025188917,0.12161954517516903
Cars,RESISC45,0.6226837458027609,0.42021276595744683,0.25851851851851854,0.2576405384006334,0.6001587301587301,0.6287657430730479,0.1010679164105716
Cars,SUN397,0.6225593831612983,0.4207446808510638,0.24037037037037037,0.2759303246239113,0.4982539682539682,0.6445843828715365,0.0999539028887523
Cars,SVHN,0.6189528665588857,0.41436170212765955,0.2740740740740741,0.2927949326999208,0.4922222222222222,0.6239798488664987,0.46861555009219424
DTD,EuroSAT,0.5484392488496456,0.46170212765957447,0.5525925925925926,0.2821852731591449,0.49126984126984125,0.6219647355163728,0.0951521204671174
DTD,GTSRB,0.545578908096008,0.4648936170212766,0.20296296296296296,0.41480601741884404,0.48365079365079366,0.6188413098236776,0.12453902888752305
DTD,RESISC45,0.5474443477179455,0.46914893617021275,0.25296296296296295,0.2649247822644497,0.6023809523809524,0.6242821158690176,0.10360325752919483
DTD,SUN397,0.5555279194130084,0.4622340425531915,0.2311111111111111,0.2791765637371338,0.49682539682539684,0.6437783375314862,0.10202827289489859
DTD,SVHN,0.5485636114911081,0.46063829787234045,0.23962962962962964,0.2918448139350752,0.4901587301587302,0.621007556675063,0.4630838967424708
EuroSAT,GTSRB,0.5448327322472329,0.41436170212765955,0.5596296296296296,0.3991290577988915,0.48698412698412696,0.6166246851385391,0.11827750460971112
EuroSAT,RESISC45,0.5464494465862455,0.4271276595744681,0.6118518518518519,0.27498020585906574,0.5955555555555555,0.6228715365239295,0.09937768899815612
EuroSAT,SUN397,0.5524188533764457,0.425,0.5818518518518518,0.28020585906571654,0.5012698412698413,0.6393954659949622,0.09976183159188691
EuroSAT,SVHN,0.547071259793558,0.41702127659574467,0.5674074074074074,0.2951702296120348,0.4942857142857143,0.6187909319899244,0.47076674861708667
GTSRB,RESISC45,0.5411018530033578,0.42021276595744683,0.2348148148148148,0.40942201108471893,0.6041269841269842,0.6209068010075567,0.1316840811309158
GTSRB,SUN397,0.5516726775276707,0.41914893617021276,0.20925925925925926,0.4051464766429137,0.4942857142857143,0.6394458438287154,0.13214505224339274
GTSRB,SVHN,0.544584006964308,0.41329787234042553,0.2462962962962963,0.4115597783056215,0.4801587301587302,0.6146599496221663,0.5087968653964352
RESISC45,SUN397,0.5556522820544708,0.42925531914893617,0.2611111111111111,0.2554235946159937,0.6017460317460317,0.6421662468513853,0.109980024585126
RESISC45,SVHN,0.5457032707374705,0.42021276595744683,0.2659259259259259,0.2770387965162312,0.6063492063492063,0.6201511335012595,0.4960049170251998
SUN397,SVHN,0.5525432160179082,0.4223404255319149,0.2607407407407407,0.2898653998416469,0.49777777777777776,0.6395969773299748,0.48820682237246465
