dataset:0,dataset:1,dataset:2,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
Cars,DTD,EuroSAT,0.6001741076980475,0.44840425531914896,0.472962962962963,0.2793349168646081,0.4934920634920635,0.6270528967254408,0.09419176398279042
Cars,DTD,GTSRB,0.5978112175102599,0.44893617021276594,0.21296296296296297,0.36864608076009503,0.4846031746031746,0.6248866498740554,0.1114781807006761
Cars,DTD,RESISC45,0.600049745056585,0.4473404255319149,0.2514814814814815,0.2714172604908947,0.5676190476190476,0.6278589420654912,0.09983866011063307
Cars,DTD,SUN397,0.6026613605272976,0.45,0.23,0.27901821060965953,0.49444444444444446,0.6401511335012594,0.0992240319606638
Cars,DTD,SVHN,0.60029847033951,0.4441489361702128,0.24518518518518517,0.2886777513855899,0.49174603174603176,0.6271032745591939,0.24189459127228027
Cars,EuroSAT,GTSRB,0.5994279318492725,0.42021276595744683,0.48148148148148145,0.3620744259699129,0.49142857142857144,0.6233753148614609,0.10913491087891826
Cars,EuroSAT,RESISC45,0.6024126352443726,0.4271276595744681,0.4951851851851852,0.271021377672209,0.5657142857142857,0.6264987405541562,0.0977258758451137
Cars,EuroSAT,SUN397,0.601044646188285,0.425,0.4837037037037037,0.2762470308788599,0.49952380952380954,0.636977329974811,0.09768746158574063
Cars,EuroSAT,SVHN,0.5991792065663475,0.4186170212765957,0.4785185185185185,0.2897070467141726,0.49444444444444446,0.6226196473551637,0.25288106945298094
Cars,GTSRB,RESISC45,0.6001741076980475,0.4228723404255319,0.23666666666666666,0.36152019002375296,0.5644444444444444,0.6263476070528967,0.11677934849416104
Cars,GTSRB,SUN397,0.60079592090536,0.41914893617021276,0.22518518518518518,0.3642913697545527,0.49396825396825395,0.6385390428211587,0.11654886293792256
Cars,GTSRB,SVHN,0.5964432284541724,0.41436170212765955,0.23962962962962964,0.37474267616785434,0.4866666666666667,0.6204534005037783,0.2815765212046712
Cars,RESISC45,SUN397,0.6025369978858351,0.42606382978723406,0.25333333333333335,0.26476642913697546,0.5652380952380952,0.639345088161209,0.1038721573448064
Cars,RESISC45,SVHN,0.601044646188285,0.42127659574468085,0.27037037037037037,0.27490102929532856,0.5668253968253968,0.6248362720403022,0.25695298094652735
Cars,SUN397,SVHN,0.6036562616589977,0.42127659574468085,0.25296296296296295,0.2857482185273159,0.49682539682539684,0.6371284634760706,0.2520743700061463
DTD,EuroSAT,GTSRB,0.5491854246984206,0.4531914893617021,0.4688888888888889,0.36452889944576405,0.49047619047619045,0.620654911838791,0.11074830977258758
DTD,EuroSAT,RESISC45,0.5501803258301207,0.45691489361702126,0.49,0.2754552652414885,0.5644444444444444,0.6238287153652393,0.09910878918254457
DTD,EuroSAT,SUN397,0.5537868424325333,0.44627659574468087,0.4685185185185185,0.2803642121931908,0.49793650793650795,0.6375314861460957,0.09918561770129072
DTD,EuroSAT,SVHN,0.5498072379057332,0.44680851063829785,0.47074074074074074,0.29160728424386384,0.4926984126984127,0.6216624685138539,0.2552243392747388
DTD,GTSRB,RESISC45,0.547319985076483,0.45053191489361705,0.22740740740740742,0.3644497228820269,0.5623809523809524,0.623073047858942,0.11873847572218807
DTD,GTSRB,SUN397,0.5512995896032832,0.451063829787234,0.21074074074074073,0.36642913697545526,0.4928571428571429,0.6371284634760706,0.11827750460971112
DTD,GTSRB,SVHN,0.5495585126228081,0.45053191489361705,0.2237037037037037,0.3726049089469517,0.48507936507936505,0.6189420654911839,0.2895282728948986
DTD,RESISC45,SUN397,0.5557766446959334,0.45053191489361705,0.2477777777777778,0.2695170229612035,0.5666666666666667,0.6388916876574308,0.10506299938537185
DTD,RESISC45,SVHN,0.5504290511130456,0.45,0.2625925925925926,0.2773555027711797,0.5676190476190476,0.6228715365239295,0.2597572218807621
DTD,SUN397,SVHN,0.5515483148862081,0.451063829787234,0.2414814814814815,0.286381631037213,0.49777777777777776,0.6363727959697733,0.25453288260602336
EuroSAT,GTSRB,RESISC45,0.5469468971520955,0.42659574468085104,0.49333333333333335,0.35748218527315917,0.5604761904761905,0.6209068010075567,0.11543484941610326
EuroSAT,GTSRB,SUN397,0.5499316005471956,0.4218085106382979,0.48148148148148145,0.35890736342042756,0.4946031746031746,0.6334508816120907,0.11547326367547633
EuroSAT,GTSRB,SVHN,0.5462007213033205,0.41808510638297874,0.48444444444444446,0.3711005542359462,0.49126984126984125,0.6166750629722922,0.2904886293792256
EuroSAT,RESISC45,SUN397,0.5532893918666832,0.43138297872340425,0.49444444444444446,0.2704671417260491,0.5680952380952381,0.6348614609571789,0.10302704363859864
EuroSAT,RESISC45,SVHN,0.547568710359408,0.4207446808510638,0.4951851851851852,0.2841646872525732,0.5666666666666667,0.6211083123425692,0.26939920098340503
EuroSAT,SUN397,SVHN,0.5516726775276707,0.4218085106382979,0.4774074074074074,0.2879651623119557,0.49936507936507935,0.6343073047858943,0.266479717271051
GTSRB,RESISC45,SUN397,0.5493097873398831,0.42446808510638295,0.23037037037037036,0.3587490102929533,0.566984126984127,0.6360201511335013,0.12342501536570374
GTSRB,RESISC45,SVHN,0.5457032707374705,0.4196808510638298,0.2574074074074074,0.3658749010292953,0.5646031746031746,0.6186901763224182,0.30028426551936077
GTSRB,SUN397,SVHN,0.5519214028105957,0.42340425531914894,0.24,0.3695170229612035,0.49507936507936506,0.6339546599496222,0.2949062692071297
RESISC45,SUN397,SVHN,0.5537868424325333,0.423936170212766,0.26555555555555554,0.2716547901821061,0.569047619047619,0.636272040302267,0.26820835894283956
