dataset:0,dataset:1,dataset:2,dataset:3,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
Cars,DTD,EuroSAT,GTSRB,0.5874891182688721,0.44042553191489364,0.41814814814814816,0.344972288202692,0.4911111111111111,0.6245340050377833,0.10556238475722188
Cars,DTD,EuroSAT,RESISC45,0.5904738216639721,0.44840425531914896,0.43703703703703706,0.2725257323832146,0.5453968253968254,0.6271536523929471,0.09787953288260602
Cars,DTD,EuroSAT,SUN397,0.5910956348712847,0.43936170212765957,0.4255555555555556,0.2772763262074426,0.49603174603174605,0.6353148614609572,0.097380147510756
Cars,DTD,EuroSAT,SVHN,0.5883596567591096,0.4398936170212766,0.4311111111111111,0.28630245447347585,0.4946031746031746,0.624080604534005,0.18035494775660726
Cars,DTD,GTSRB,RESISC45,0.5886083820420346,0.4409574468085106,0.23185185185185186,0.3431512272367379,0.5465079365079365,0.6261964735516373,0.11097879532882605
Cars,DTD,GTSRB,SUN397,0.5904738216639721,0.4372340425531915,0.22074074074074074,0.34631828978622325,0.4922222222222222,0.6360201511335013,0.11067148125384142
Cars,DTD,GTSRB,SVHN,0.587986568834722,0.4430851063829787,0.22740740740740742,0.3518606492478226,0.4873015873015873,0.6227707808564231,0.20202059004302397
Cars,DTD,RESISC45,SUN397,0.5934585250590723,0.4441489361702128,0.24444444444444444,0.2713380839271576,0.549047619047619,0.6372795969773299,0.10172095881991396
Cars,DTD,RESISC45,SVHN,0.5899763710981222,0.44574468085106383,0.25851851851851854,0.2768012668250198,0.5501587301587302,0.6258942065491184,0.18438844499078058
Cars,DTD,SUN397,SVHN,0.5909712722298222,0.4420212765957447,0.24333333333333335,0.28368962787015045,0.4949206349206349,0.6364231738035264,0.18227566072526122
Cars,EuroSAT,GTSRB,RESISC45,0.5897276458151971,0.4223404255319149,0.44407407407407407,0.33832145684877274,0.5438095238095239,0.62544080604534,0.10974953902888752
Cars,EuroSAT,GTSRB,SUN397,0.5897276458151971,0.42127659574468085,0.4311111111111111,0.34156769596199527,0.4953968253968254,0.6341057934508816,0.10940381069452981
Cars,EuroSAT,GTSRB,SVHN,0.587737843551797,0.4186170212765957,0.4348148148148148,0.3491686460807601,0.4922222222222222,0.621712846347607,0.20482483097725876
Cars,EuroSAT,RESISC45,SUN397,0.5925879865688347,0.42606382978723406,0.4411111111111111,0.2697545526524149,0.5458730158730158,0.6357682619647356,0.10053011677934849
Cars,EuroSAT,RESISC45,SVHN,0.5896032831737346,0.425,0.4474074074074074,0.27988915281076804,0.5504761904761905,0.6249370277078086,0.1894975414874001
Cars,EuroSAT,SUN397,SVHN,0.5905981843054346,0.4218085106382979,0.4362962962962963,0.28511480601741884,0.49857142857142855,0.6333501259445844,0.1880762138905962
Cars,GTSRB,RESISC45,SUN397,0.5927123492102973,0.4218085106382979,0.2374074074074074,0.3382422802850356,0.5465079365079365,0.6359697732997481,0.11520436385986478
Cars,GTSRB,RESISC45,SVHN,0.587240392985947,0.4207446808510638,0.2551851851851852,0.3430720506730008,0.5455555555555556,0.6232745591939547,0.20981868469575907
