dataset:0,dataset:1,dataset:2,dataset:3,dataset:4,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
Cars,DTD,EuroSAT,GTSRB,RESISC45,0.5820171620445218,0.44148936170212766,0.39814814814814814,0.32826603325415676,0.532063492063492,0.6251385390428211,0.10656115550092195
Cars,DTD,EuroSAT,GTSRB,SUN397,0.5830120631762219,0.43670212765957445,0.38592592592592595,0.33198733174980205,0.4942857142857143,0.6337027707808565,0.1062922556853104
Cars,DTD,EuroSAT,GTSRB,SVHN,0.5805248103469718,0.4351063829787234,0.3937037037037037,0.33760886777513854,0.4934920634920635,0.6227204030226701,0.16963736939151813
Cars,DTD,EuroSAT,RESISC45,SUN397,0.5852505907225469,0.4409574468085106,0.4051851851851852,0.2709422011084719,0.5358730158730158,0.6349622166246851,0.0996081745543946
Cars,DTD,EuroSAT,RESISC45,SVHN,0.5835095137420718,0.4425531914893617,0.40925925925925927,0.2793349168646081,0.5357142857142857,0.6249874055415617,0.15815150583896742
Cars,DTD,EuroSAT,SUN397,SVHN,0.5837582390249969,0.43457446808510636,0.397037037037037,0.2844813935075218,0.49793650793650795,0.6327455919395466,0.15807467732022126
Cars,DTD,GTSRB,RESISC45,SUN397,0.5848775027981594,0.4398936170212766,0.23333333333333334,0.3276326207442597,0.5385714285714286,0.6354659949622167,0.11047940995697603
Cars,DTD,GTSRB,RESISC45,SVHN,0.5813953488372093,0.43936170212765957,0.24333333333333335,0.3334916864608076,0.5333333333333333,0.6243828715365239,0.17393976644130302
Cars,DTD,GTSRB,SUN397,SVHN,0.5840069643079219,0.43829787234042555,0.2325925925925926,0.3367379255740301,0.49396825396825395,0.632896725440806,0.17294099569760296
Cars,DTD,RESISC45,SUN397,SVHN,0.5856236786469344,0.4430851063829787,0.2551851851851852,0.27529691211401425,0.5379365079365079,0.6356675062972292,0.16064843269821757
Cars,EuroSAT,GTSRB,RESISC45,SUN397,0.5840069643079219,0.42606382978723406,0.4051851851851852,0.3243072050673001,0.535079365079365,0.6332997481108312,0.10967271051014137
Cars,EuroSAT,GTSRB,RESISC45,SVHN,0.5806491729884343,0.42127659574468085,0.41185185185185186,0.3318289786223278,0.5344444444444445,0.623022670025189,0.17497695144437614
Cars,EuroSAT,GTSRB,SUN397,SVHN,0.5835095137420718,0.4228723404255319,0.39666666666666667,0.33475851148060176,0.4946031746031746,0.631536523929471,0.17455439459127228
Cars,EuroSAT,RESISC45,SUN397,SVHN,0.5851262280810844,0.42446808510638295,0.41555555555555557,0.2773555027711797,0.5373015873015873,0.6333501259445844,0.16268438844499078
Cars,GTSRB,RESISC45,SUN397,SVHN,0.5831364258176843,0.4218085106382979,0.24962962962962962,0.328424386381631,0.5374603174603174,0.6337027707808565,0.1786263060848187
DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.5517970401691332,0.4425531914893617,0.3959259259259259,0.3261282660332542,0.5347619047619048,0.6318387909319899,0.11044099569760295
DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.5498072379057332,0.43936170212765957,0.39925925925925926,0.33380839271575613,0.5349206349206349,0.622367758186398,0.17624462200368776
DTD,EuroSAT,GTSRB,SUN397,SVHN,0.5508021390374331,0.43829787234042555,0.38814814814814813,0.3359461599366588,0.4946031746031746,0.6299748110831235,0.17547633681622618
DTD,EuroSAT,RESISC45,SUN397,SVHN,0.5525432160179082,0.44468085106382976,0.40703703703703703,0.2794140934283452,0.5392063492063492,0.6320403022670025,0.16314535955746773
DTD,GTSRB,RESISC45,SUN397,SVHN,0.5509265016788957,0.44042553191489364,0.24481481481481482,0.3300079176563737,0.5365079365079365,0.6326448362720403,0.17958666256914566
EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5499316005471956,0.4228723404255319,0.41185185185185186,0.3307205067300079,0.5360317460317461,0.6304282115869018,0.18058543331284574
