dataset:0,dataset:1,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
Cars,DTD,0.641213779380674,0.5196808510638298,0.29962962962962963,0.28186856690419637,0.506984126984127,0.6136523929471033,0.10341118623232944
Cars,EuroSAT,0.6483024499440369,0.40904255319148936,0.8388888888888889,0.2752177355502771,0.5114285714285715,0.6259445843828715,0.09054240934234788
Cars,GTSRB,0.6459395597562492,0.41702127659574467,0.1985185185185185,0.5566904196357878,0.5142857142857142,0.6212594458438288,0.1777043638598648
Cars,RESISC45,0.6428304937196866,0.4196808510638298,0.22925925925925925,0.24813935075217736,0.7034920634920635,0.6124937027707809,0.11278426551936079
Cars,SUN397,0.6582514612610372,0.4175531914893617,0.29,0.2794140934283452,0.5173015873015873,0.6516372795969774,0.11044099569760295
Cars,SVHN,0.6486755378684244,0.4095744680851064,0.21074074074074073,0.313618368962787,0.5165079365079365,0.6241813602015114,0.7912953288260602
DTD,EuroSAT,0.5434647431911453,0.500531914893617,0.797037037037037,0.276326207442597,0.5,0.6070025188916877,0.09688076213890597
DTD,GTSRB,0.5341375450814575,0.4952127659574468,0.21592592592592594,0.5139350752177355,0.503968253968254,0.6081612090680101,0.17593730792870313
DTD,RESISC45,0.5399825892301953,0.4856382978723404,0.2574074074074074,0.2702296120348377,0.6738095238095239,0.6065491183879094,0.11785494775660725
DTD,SUN397,0.5488123367740331,0.525,0.2733333333333333,0.28297703879651626,0.49587301587301585,0.6318387909319899,0.10959588199139521
DTD,SVHN,0.5284168635741823,0.4925531914893617,0.18185185185185185,0.2960411718131433,0.5004761904761905,0.6027707808564232,0.7895282728948986
EuroSAT,GTSRB,0.5423454794179828,0.4127659574468085,0.7633333333333333,0.5016627078384798,0.4992063492063492,0.6086649874055415,0.14401505838967424
EuroSAT,RESISC45,0.5411018530033578,0.41914893617021276,0.7444444444444445,0.27117973079968327,0.6593650793650794,0.6133501259445844,0.1047940995697603
EuroSAT,SUN397,0.5526675786593708,0.41382978723404257,0.8355555555555556,0.26967537608867775,0.5046031746031746,0.6425188916876574,0.10122157344806391
EuroSAT,SVHN,0.5406044024375077,0.4095744680851064,0.7211111111111111,0.2897070467141726,0.4946031746031746,0.6119395465994962,0.7008297480024586
GTSRB,RESISC45,0.5229449073498321,0.3797872340425532,0.2581481481481481,0.5413301662707839,0.6752380952380952,0.5951133501259446,0.18945912722802705
GTSRB,SUN397,0.5519214028105957,0.4223404255319149,0.18925925925925927,0.5537608867775139,0.516984126984127,0.6505793450881612,0.1869622003687769
GTSRB,SVHN,0.5358786220619326,0.3941489361702128,0.22925925925925925,0.5376088677751386,0.5015873015873016,0.6023173803526448,0.7153119237861094
RESISC45,SUN397,0.5454545454545454,0.42340425531914894,0.23851851851851852,0.23626286619160727,0.7096825396825397,0.631536523929471,0.11966041794714198
RESISC45,SVHN,0.5420967541350579,0.40425531914893614,0.18962962962962962,0.2795724465558195,0.6784126984126985,0.5962216624685138,0.7798094652735095
SUN397,SVHN,0.5555279194130084,0.40904255319148936,0.21074074074074073,0.3007125890736342,0.5082539682539683,0.6513350125944585,0.7884910878918254
