dataset:0,dataset:1,dataset:2,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
Cars,DTD,EuroSAT,0.5495585126228081,0.4053191489361702,0.2577777777777778,0.2467933491686461,0.4322222222222222,0.6095717884130982,0.0777888752304855
Cars,DTD,GTSRB,0.5413505782862827,0.4047872340425532,0.1788888888888888,0.3268408551068884,0.4374603174603174,0.6060453400503778,0.0890058389674247
Cars,DTD,RESISC45,0.5408531277204328,0.4117021276595745,0.184074074074074,0.2583531274742676,0.4679365079365079,0.6185390428211587,0.0965350338045482
Cars,DTD,SUN397,0.5544086556398458,0.4069148936170212,0.1866666666666666,0.2718923198733175,0.4266666666666667,0.6135516372795969,0.0812845728334357
Cars,DTD,SVHN,0.5511752269618206,0.4074468085106383,0.2085185185185185,0.260965954077593,0.4206349206349206,0.6065491183879094,0.1268054701905347
Cars,EuroSAT,GTSRB,0.5391120507399577,0.400531914893617,0.2151851851851851,0.3157561361836896,0.4415873015873016,0.6094710327455919,0.0940765212046711
Cars,EuroSAT,RESISC45,0.5331426439497575,0.4175531914893617,0.2348148148148148,0.2398258115597783,0.4753968253968254,0.6164231738035264,0.0947679778733866
Cars,EuroSAT,SUN397,0.5442109190399204,0.4090425531914893,0.2748148148148148,0.2374505146476642,0.4392063492063492,0.612191435768262,0.0820912722802704
Cars,EuroSAT,SVHN,0.5494341499813457,0.399468085106383,0.2259259259259259,0.2501979414093428,0.4315873015873016,0.6083123425692695,0.1268822987092809
Cars,GTSRB,RESISC45,0.5393607760228827,0.4,0.1922222222222222,0.3178939034045922,0.446984126984127,0.6086146095717884,0.0965350338045482
Cars,GTSRB,SUN397,0.5387389628155702,0.4,0.1914814814814814,0.3156769596199525,0.4415873015873016,0.6090680100755668,0.0971112476951444
Cars,GTSRB,SVHN,0.5448327322472329,0.3946808510638298,0.2022222222222222,0.3062549485352335,0.4211111111111111,0.6026196473551637,0.1335663798401966
Cars,RESISC45,SUN397,0.5418480288521328,0.4053191489361702,0.1992592592592592,0.2526524148851939,0.4693650793650794,0.6209068010075567,0.1019898586355255
Cars,RESISC45,SVHN,0.5442109190399204,0.4037234042553191,0.2066666666666666,0.23729216152019,0.4561904761904762,0.6146095717884131,0.1547326367547633
Cars,SUN397,SVHN,0.545330182813083,0.3962765957446808,0.2137037037037037,0.2491686460807601,0.433015873015873,0.6083627204030226,0.1293408113091579
DTD,EuroSAT,GTSRB,0.5295361273473449,0.4101063829787234,0.2114814814814815,0.3154394299287411,0.443015873015873,0.6092695214105793,0.0898893669330055
DTD,EuroSAT,RESISC45,0.5318990175351325,0.4170212765957446,0.2362962962962963,0.2377672209026128,0.4750793650793651,0.6163224181360202,0.0936923786109403
DTD,EuroSAT,SUN397,0.5366247979107076,0.4164893617021276,0.264074074074074,0.2433095803642121,0.4466666666666666,0.6141561712846347,0.0835510141364474
DTD,EuroSAT,SVHN,0.5434647431911453,0.4101063829787234,0.2366666666666666,0.2514647664291369,0.4341269841269841,0.6096221662468514,0.1268438844499078
DTD,GTSRB,RESISC45,0.5333913692326825,0.4053191489361702,0.1792592592592592,0.3224069675376089,0.4552380952380952,0.611536523929471,0.0991472034419176
DTD,GTSRB,SUN397,0.5360029847033951,0.4074468085106383,0.17444444444444446,0.3268408551068884,0.43761904761904763,0.6062468513853905,0.08896742470805163
DTD,GTSRB,SVHN,0.5363760726277826,0.39787234042553193,0.17962962962962964,0.3137767220902613,0.4193650793650794,0.6017632241813602,0.1422480024585126
DTD,RESISC45,SUN397,0.5401069518716578,0.4106382978723404,0.18925925925925927,0.256215360253365,0.4696825396825397,0.6189420654911839,0.09853257529194837
DTD,RESISC45,SVHN,0.5425942047009078,0.40425531914893614,0.19666666666666666,0.24045922406967538,0.4558730158730159,0.6157682619647356,0.154079594345421
DTD,SUN397,SVHN,0.5469468971520955,0.4047872340425532,0.2,0.25376088677751385,0.42603174603174604,0.6132997481108312,0.1348340503995083
EuroSAT,GTSRB,RESISC45,0.5287899514985698,0.40797872340425534,0.2285185185185185,0.3121931908155186,0.45174603174603173,0.6112342569269521,0.09764904732636755
EuroSAT,GTSRB,SUN397,0.5270488745180948,0.4095744680851064,0.23962962962962964,0.30807600950118763,0.44666666666666666,0.6079596977329975,0.0938460356484327
EuroSAT,GTSRB,SVHN,0.5333913692326825,0.39893617021276595,0.21592592592592594,0.30403800475059384,0.43142857142857144,0.6046851385390428,0.13771511985248924
EuroSAT,RESISC45,SUN397,0.5289143141400323,0.41648936170212764,0.2437037037037037,0.2356294536817102,0.473015873015873,0.614911838790932,0.09207897971727105
EuroSAT,RESISC45,SVHN,0.5389876880984952,0.41117021276595744,0.22148148148148147,0.23515439429928742,0.46444444444444444,0.6153652392947103,0.14866318377381685
EuroSAT,SUN397,SVHN,0.5379927869667952,0.41117021276595744,0.24185185185185185,0.242596991290578,0.43714285714285717,0.6148614609571789,0.12922556853103873
GTSRB,RESISC45,SUN397,0.5328939186668324,0.400531914893617,0.1874074074074074,0.31646872525732384,0.45571428571428574,0.6128463476070529,0.10360325752919483
GTSRB,RESISC45,SVHN,0.534510633005845,0.4031914893617021,0.19111111111111112,0.3046714172604909,0.4444444444444444,0.6095214105793451,0.1392516902274124
GTSRB,SUN397,SVHN,0.535008083571695,0.3984042553191489,0.2,0.30435471100554234,0.4301587301587302,0.6065491183879094,0.14236324523663182
RESISC45,SUN397,SVHN,0.5408531277204328,0.4031914893617021,0.20333333333333334,0.23365003958828187,0.45634920634920634,0.616926952141058,0.15638444990780578
