dataset:0,dataset:1,dataset:2,dataset:3,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
Cars,DTD,EuroSAT,GTSRB,0.5399825892301953,0.4042553191489361,0.207037037037037,0.3165479018210609,0.4363492063492064,0.6085642317380353,0.0879302397049784
Cars,DTD,EuroSAT,RESISC45,0.5378684243253327,0.4196808510638298,0.2237037037037037,0.244972288202692,0.4753968253968254,0.6168765743073048,0.0931545789797172
Cars,DTD,EuroSAT,SUN397,0.5494341499813457,0.4090425531914893,0.2581481481481481,0.2465558194774346,0.4349206349206349,0.611183879093199,0.0789028887523048
Cars,DTD,EuroSAT,SVHN,0.547071259793558,0.4085106382978723,0.2355555555555555,0.2543151227236738,0.4287301587301587,0.6107304785894206,0.1258451137062077
Cars,DTD,GTSRB,RESISC45,0.5367491605521701,0.4053191489361702,0.1729629629629629,0.3273950910530483,0.4426984126984127,0.6067506297229219,0.0908497234173325
Cars,DTD,GTSRB,SUN397,0.5401069518716578,0.4058510638297872,0.1725925925925926,0.3267616785431512,0.4346031746031746,0.6064987405541562,0.08819913952059
Cars,DTD,GTSRB,SVHN,0.5438378311155329,0.3973404255319149,0.1914814814814814,0.3174980205859066,0.4261904761904762,0.603727959697733,0.127458512599877
Cars,DTD,RESISC45,SUN397,0.5440865563984579,0.4117021276595745,0.1774074074074074,0.2589073634204275,0.4638095238095238,0.6181863979848866,0.0938844499078057
Cars,DTD,RESISC45,SVHN,0.5529163039422957,0.4058510638297872,0.1874074074074074,0.244972288202692,0.4453968253968254,0.6147103274559194,0.1528887523048555
Cars,DTD,SUN397,SVHN,0.5516726775276707,0.4069148936170212,0.2025925925925926,0.2585114806017419,0.4223809523809523,0.6103274559193954,0.130838967424708
Cars,EuroSAT,GTSRB,RESISC45,0.534510633005845,0.4053191489361702,0.2237037037037037,0.3131433095803642,0.446031746031746,0.6093198992443325,0.094499078057775
Cars,EuroSAT,GTSRB,SUN397,0.5454545454545454,0.4053191489361702,0.2222222222222222,0.3115597783056215,0.4396825396825397,0.6095717884130982,0.0921173939766441
Cars,EuroSAT,GTSRB,SVHN,0.5438378311155329,0.399468085106383,0.2148148148148148,0.303562945368171,0.4269841269841269,0.6038287153652393,0.1367163491087892
Cars,EuroSAT,RESISC45,SUN397,0.53376445715707,0.4159574468085106,0.2348148148148148,0.2397466349960411,0.4750793650793651,0.6161712846347607,0.0945374923171481
Cars,EuroSAT,RESISC45,SVHN,0.5414749409277453,0.4085106382978723,0.2188888888888888,0.2352335708630245,0.4644444444444444,0.6147607052896725,0.1497771972956361
Cars,EuroSAT,SUN397,SVHN,0.5506777763959706,0.40585106382978725,0.23333333333333334,0.24418052256532066,0.43063492063492065,0.6122921914357683,0.13030116779348494
Cars,GTSRB,RESISC45,SUN397,0.5376196990424077,0.399468085106383,0.18962962962962962,0.3156769596199525,0.4450793650793651,0.6107808564231738,0.09949293177627536
Cars,GTSRB,RESISC45,SVHN,0.5361273473448576,0.400531914893617,0.1937037037037037,0.3026128266033254,0.44047619047619047,0.6065491183879094,0.14628149969268592
Cars,GTSRB,SUN397,SVHN,0.5438378311155329,0.39574468085106385,0.1988888888888889,0.30332541567695964,0.4222222222222222,0.6058438287153652,0.1402504609711125
Cars,RESISC45,SUN397,SVHN,0.546822534510633,0.4015957446808511,0.20407407407407407,0.2334916864608076,0.4496825396825397,0.6167254408060453,0.16057160417947142
DTD,EuroSAT,GTSRB,RESISC45,0.5336400945156076,0.40797872340425534,0.19740740740740742,0.3178147268408551,0.45650793650793653,0.6119395465994962,0.10003073140749846
DTD,EuroSAT,GTSRB,SUN397,0.53326700659122,0.41329787234042553,0.20555555555555555,0.31322248614410136,0.43793650793650796,0.6087657430730479,0.08819913952059004
DTD,EuroSAT,GTSRB,SVHN,0.5362517099863201,0.40425531914893614,0.19037037037037038,0.30997624703087884,0.4220634920634921,0.6018639798488665,0.1444760295021512
DTD,EuroSAT,RESISC45,SUN397,0.5325208307424449,0.41702127659574467,0.23666666666666666,0.2381631037212985,0.4758730158730159,0.6165239294710327,0.0940381069452981
DTD,EuroSAT,RESISC45,SVHN,0.5392364133814203,0.4106382978723404,0.21407407407407408,0.23594615993665874,0.4638095238095238,0.6151133501259446,0.14900891210817455
DTD,EuroSAT,SUN397,SVHN,0.5450814575301579,0.4095744680851064,0.21666666666666667,0.25043547110055425,0.4288888888888889,0.6159697732997481,0.13137676705593115
DTD,GTSRB,RESISC45,SUN397,0.5352568088546201,0.40372340425531916,0.17296296296296296,0.32660332541567694,0.44476190476190475,0.607455919395466,0.0920021511985249
DTD,GTSRB,RESISC45,SVHN,0.5378684243253327,0.40691489361702127,0.18259259259259258,0.30245447347585114,0.44317460317460317,0.6072040302267002,0.1550783650891211
DTD,GTSRB,SUN397,SVHN,0.5362517099863201,0.40106382978723404,0.1814814814814815,0.3136975455265241,0.42158730158730157,0.603727959697733,0.1407882606023356
DTD,RESISC45,SUN397,SVHN,0.5422211167765203,0.4031914893617021,0.19925925925925925,0.2360253365003959,0.4541269841269841,0.6170780856423174,0.15772894898586357
EuroSAT,GTSRB,RESISC45,SUN397,0.5304066658375823,0.40638297872340423,0.21555555555555556,0.3133808392715756,0.45555555555555555,0.613198992443325,0.10099108789182544
EuroSAT,GTSRB,RESISC45,SVHN,0.5341375450814575,0.4047872340425532,0.19777777777777777,0.2955661124307205,0.44333333333333336,0.6089168765743073,0.1580362630608482
EuroSAT,GTSRB,SUN397,SVHN,0.5326451933839075,0.40691489361702127,0.22814814814814816,0.29960411718131436,0.4315873015873016,0.6091183879093199,0.14071143208358944
EuroSAT,RESISC45,SUN397,SVHN,0.5404800397960453,0.4095744680851064,0.20703703703703705,0.23357086302454474,0.46,0.6165743073047859,0.15400276582667485
GTSRB,RESISC45,SUN397,SVHN,0.5331426439497575,0.4047872340425532,0.18037037037037038,0.3060965954077593,0.45174603174603173,0.613198992443325,0.1309157959434542
