dataset:0,dataset:1,dataset:2,dataset:3,dataset:4,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
Cars,DTD,EuroSAT,GTSRB,RESISC45,0.5357542594204701,0.4132978723404255,0.2018518518518518,0.3171021377672209,0.4452380952380952,0.6097732997481108,0.0895820528580209
Cars,DTD,EuroSAT,GTSRB,SUN397,0.535008083571695,0.4095744680851064,0.1911111111111111,0.3203483768804434,0.4361904761904762,0.6092191435768262,0.0878918254456054
Cars,DTD,EuroSAT,GTSRB,SVHN,0.5418480288521328,0.4069148936170212,0.1937037037037037,0.308313539192399,0.4206349206349206,0.6018136020151134,0.1425937307928703
Cars,DTD,EuroSAT,RESISC45,SUN397,0.5382415122497202,0.4186170212765957,0.2262962962962963,0.2441805225653206,0.4761904761904761,0.6171284634760705,0.0936539643515673
Cars,DTD,EuroSAT,RESISC45,SVHN,0.5430916552667578,0.4117021276595745,0.2055555555555555,0.2386381631037213,0.4588888888888889,0.6153148614609572,0.1517747387830362
Cars,DTD,EuroSAT,SUN397,SVHN,0.5512995896032832,0.4095744680851064,0.2155555555555555,0.2563737133808392,0.4247619047619048,0.6124433249370277,0.1286493546404425
Cars,DTD,GTSRB,RESISC45,SUN397,0.5374953364009452,0.4026595744680851,0.1818518518518518,0.3219319081551861,0.4522222222222222,0.6122921914357683,0.0978411186232329
Cars,DTD,GTSRB,RESISC45,SVHN,0.5374953364009452,0.4127659574468085,0.1644444444444444,0.3128266033254157,0.4404761904761904,0.6072544080604534,0.1436693300553165
Cars,DTD,GTSRB,SUN397,SVHN,0.5443352816813829,0.4015957446808511,0.177037037037037,0.3136975455265241,0.4185714285714286,0.603375314861461,0.1403657037492317
Cars,DTD,RESISC45,SUN397,SVHN,0.5418480288521328,0.4042553191489361,0.1948148148148148,0.2399049881235154,0.4536507936507936,0.6156675062972292,0.1548094652735095
Cars,EuroSAT,GTSRB,RESISC45,SUN397,0.5317746548936699,0.4074468085106383,0.2285185185185185,0.3097387173396674,0.4528571428571428,0.6130478589420655,0.0985709895513214
Cars,EuroSAT,GTSRB,RESISC45,SVHN,0.5343862703643826,0.4042553191489361,0.2122222222222222,0.2999208234362628,0.4425396825396825,0.608816120906801,0.1443223724646588
Cars,EuroSAT,GTSRB,SUN397,SVHN,0.5439621937569954,0.3973404255319149,0.2074074074074074,0.3042755344418052,0.4241269841269841,0.6034760705289672,0.1365626920712968
Cars,EuroSAT,RESISC45,SUN397,SVHN,0.5440865563984579,0.4111702127659574,0.2096296296296296,0.2365795724465558,0.4593650793650793,0.6147103274559194,0.1535417947141979
Cars,GTSRB,RESISC45,SUN397,SVHN,0.5310284790448949,0.4037234042553191,0.1844444444444444,0.2964370546318289,0.4522222222222222,0.6080604534005037,0.1517363245236631
DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.53227210545952,0.4122340425531915,0.2166666666666666,0.3126682501979414,0.4538095238095238,0.6132997481108312,0.0975338045482483
DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.5435891058326079,0.43138297872340425,0.6262962962962964,0.4742676167854315,0.6095238095238096,0.6051889168765743,0.615818992009834
DTD,EuroSAT,GTSRB,SUN397,SVHN,0.5469468971520955,0.4340425531914894,0.6477777777777778,0.461520190023753,0.5157142857142857,0.6242821158690176,0.6265749846342963
DTD,EuroSAT,RESISC45,SUN397,SVHN,0.5519214028105957,0.4654255319148936,0.6425925925925926,0.2913697545526524,0.6053968253968254,0.615264483627204,0.6937231100184389
DTD,GTSRB,RESISC45,SUN397,SVHN,0.5406044024375077,0.4228723404255319,0.25,0.5231987331749802,0.6271428571428571,0.6201007556675063,0.7095497848801475
EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5452058201716204,0.40691489361702127,0.5214814814814814,0.47513855898654,0.628095238095238,0.6257934508816121,0.6457052858020897
