scaling_factor,dataset:0,dataset:1,dataset:2,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
0.0,Cars,DTD,EuroSAT,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
0.05,Cars,DTD,EuroSAT,0.5491854246984206,0.4101063829787234,0.2488888888888888,0.2688044338875693,0.456984126984127,0.6142065491183879,0.0900814382298709
0.1,Cars,DTD,EuroSAT,0.5596318865812709,0.4164893617021276,0.2803703703703704,0.272209026128266,0.4644444444444444,0.6167254408060453,0.0909265519360786
0.15,Cars,DTD,EuroSAT,0.5668449197860963,0.425,0.3114814814814814,0.2747426761678543,0.4717460317460317,0.6192443324937028,0.0918484941610325
0.2,Cars,DTD,EuroSAT,0.5789080960079592,0.4313829787234042,0.367037037037037,0.2770387965162312,0.4796825396825396,0.6210579345088161,0.092578365089121
0.25,Cars,DTD,EuroSAT,0.587986568834722,0.4356382978723404,0.4214814814814814,0.2785431512272367,0.4853968253968254,0.6237783375314861,0.0928856791641057
0.3,Cars,DTD,EuroSAT,0.5964432284541724,0.4457446808510638,0.4581481481481481,0.278701504354711,0.4906349206349206,0.6258438287153653,0.0936539643515673
0.35,Cars,DTD,EuroSAT,0.6030344484516851,0.450531914893617,0.48,0.2803642121931908,0.496031746031746,0.6276070528967255,0.0943454210202827
0.4,Cars,DTD,EuroSAT,0.6104962069394354,0.4542553191489362,0.5088888888888888,0.2811559778305622,0.4979365079365079,0.6287153652392947,0.0946527350952673
0.45,Cars,DTD,EuroSAT,0.6159681631637856,0.4563829787234043,0.5311111111111111,0.2831353919239905,0.4998412698412698,0.6289672544080604,0.0951137062077443
0.5,Cars,DTD,EuroSAT,0.6216888446710608,0.4632978723404255,0.5577777777777778,0.2840855106888361,0.5006349206349207,0.6287657430730479,0.0955362630608481
0.55,Cars,DTD,EuroSAT,0.626165899763711,0.4686170212765957,0.5907407407407408,0.283452098178939,0.5036507936507937,0.6292695214105793,0.0961508912108174
0.6000000000000001,Cars,DTD,EuroSAT,0.6293993284417361,0.475531914893617,0.6214814814814815,0.2828186856690419,0.5052380952380953,0.6290680100755668,0.0966886908420405
0.65,Cars,DTD,EuroSAT,0.6354930978733988,0.4808510638297872,0.6562962962962963,0.2836896278701504,0.506031746031746,0.629168765743073,0.0970728334357713
0.7000000000000001,Cars,DTD,EuroSAT,0.6383534386270364,0.4845744680851064,0.6907407407407408,0.2832145684877276,0.5082539682539683,0.6282619647355163,0.0973417332513829
0.75,Cars,DTD,EuroSAT,0.6390996144758114,0.4882978723404255,0.7192592592592593,0.2820269200316706,0.5088888888888888,0.6270528967254408,0.0969575906576521
0.8,Cars,DTD,EuroSAT,0.6417112299465241,0.4882978723404255,0.7422222222222222,0.2805225653206651,0.5084126984126984,0.626095717884131,0.0967655193607867
0.8500000000000001,Cars,DTD,EuroSAT,0.6445715707001617,0.4898936170212766,0.7588888888888888,0.2801266825019794,0.51,0.6251889168765743,0.0969960049170252
0.9,Cars,DTD,EuroSAT,0.6449446586245492,0.4914893617021276,0.7718518518518519,0.2794140934283452,0.5106349206349207,0.6236272040302266,0.0963813767670559
