scaling_factor,k,dataset:0,dataset:1,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
0.0,0.25,Cars,DTD,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,0.25,Cars,DTD,0.5366247979107076,0.400531914893617,0.21851851851851853,0.2634996041171813,0.4477777777777778,0.6109319899244332,0.08900583896742471
0.5,0.25,Cars,DTD,0.5367491605521701,0.4,0.21851851851851853,0.26365795724465557,0.44761904761904764,0.6107808564231738,0.08900583896742471
0.75,0.25,Cars,DTD,0.5368735231936327,0.400531914893617,0.21851851851851853,0.2637371338083927,0.44746031746031745,0.6106801007556675,0.08892901044867856
1.0,0.25,Cars,DTD,0.5365004352692451,0.399468085106383,0.21851851851851853,0.26365795724465557,0.4473015873015873,0.6107808564231738,0.0888521819299324
0.0,0.5,Cars,DTD,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,0.5,Cars,DTD,0.5336400945156076,0.39787234042553193,0.21925925925925926,0.2612034837688044,0.44904761904761903,0.6099244332493703,0.08915949600491703
0.5,0.5,Cars,DTD,0.5323964681009825,0.39680851063829786,0.21962962962962962,0.26096595407759304,0.45031746031746034,0.6090680100755668,0.08923632452366319
0.75,0.5,Cars,DTD,0.5292874020644198,0.3941489361702128,0.21777777777777776,0.25946159936658747,0.4514285714285714,0.6086649874055415,0.0893899815611555
1.0,0.5,Cars,DTD,0.5263026986693198,0.39148936170212767,0.21925925925925926,0.25827395091053046,0.4531746031746032,0.6079596977329975,0.08923632452366319
0.0,0.75,Cars,DTD,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,0.75,Cars,DTD,0.5331426439497575,0.39787234042553193,0.21962962962962962,0.2615993665874901,0.44952380952380955,0.6099244332493703,0.08965888137676706
0.5,0.75,Cars,DTD,0.5297848526302699,0.3941489361702128,0.22185185185185186,0.26025336500395885,0.4523809523809524,0.6095214105793451,0.09042716656422864
0.75,0.75,Cars,DTD,0.5269245118766323,0.39574468085106385,0.22111111111111112,0.258590657165479,0.4552380952380952,0.6093198992443325,0.09119545175169022
1.0,0.75,Cars,DTD,0.5233179952742196,0.3941489361702128,0.2222222222222222,0.2570863024544735,0.4573015873015873,0.6079596977329975,0.0916180086047941
0.0,1.0,Cars,DTD,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,1.0,Cars,DTD,0.5331426439497575,0.3984042553191489,0.21888888888888888,0.261520190023753,0.44904761904761903,0.6100251889168766,0.08962046711739398
0.5,1.0,Cars,DTD,0.5300335779131948,0.3962765957446808,0.22074074074074074,0.2608867775138559,0.45174603174603173,0.6094710327455919,0.0903119237861094
0.75,1.0,Cars,DTD,0.5277950503668698,0.3962765957446808,0.21962962962962962,0.25977830562153603,0.4541269841269841,0.6096221662468514,0.09084972341733251
1.0,1.0,Cars,DTD,0.5236910831986071,0.39361702127659576,0.2222222222222222,0.2581155977830562,0.45666666666666667,0.6088664987405542,0.09138752304855563
