scaling_factor,k,dataset:0,dataset:1,dataset:2,dataset:3,dataset:4,dataset:5,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
0.0,0.25,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,0.25,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.5369978858350951,0.39893617021276595,0.21925925925925926,0.26397466349960413,0.4471428571428571,0.610831234256927,0.08912108174554395
0.5,0.25,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.5368735231936327,0.39893617021276595,0.21851851851851853,0.263895486935867,0.44666666666666666,0.6110831234256927,0.08919791026429011
0.75,0.25,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.5363760726277826,0.3984042553191489,0.21888888888888888,0.26429136975455264,0.446984126984127,0.6112846347607053,0.08923632452366319
1.0,0.25,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.5365004352692451,0.40106382978723404,0.21888888888888888,0.2642121931908155,0.4465079365079365,0.6110831234256927,0.08923632452366319
0.0,0.5,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,0.5,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.5341375450814575,0.3946808510638298,0.21814814814814815,0.2607284243863816,0.44555555555555554,0.6082115869017632,0.08758451137062077
0.5,0.5,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.5328939186668324,0.3925531914893617,0.21555555555555556,0.2587490102929533,0.4453968253968254,0.604735516372796,0.0866241548862938
0.75,0.5,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.531525929610745,0.3893617021276596,0.21592592592592594,0.25415676959619954,0.44587301587301587,0.6022166246851386,0.08535648432698217
1.0,0.5,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.5292874020644198,0.3840425531914894,0.21444444444444444,0.2501187648456057,0.4442857142857143,0.5983879093198993,0.0843961278426552
0.0,0.75,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,0.75,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.534510633005845,0.39574468085106385,0.21851851851851853,0.25914489311163896,0.44396825396825396,0.6085138539042821,0.08839121081745543
0.5,0.75,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.5328939186668324,0.39148936170212767,0.2174074074074074,0.25748218527315914,0.4419047619047619,0.6062972292191435,0.08762292562999385
0.75,0.75,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.5312772043278199,0.3882978723404255,0.21407407407407408,0.25304829770387965,0.43936507936507935,0.6034256926952141,0.08704671173939767
1.0,0.75,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.5286655888571073,0.38457446808510637,0.21222222222222223,0.2484560570071259,0.4365079365079365,0.5999496221662468,0.0866241548862938
0.0,1.0,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,1.0,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.5353811714960826,0.3962765957446808,0.21888888888888888,0.2595407759303246,0.4444444444444444,0.6087153652392947,0.0882759680393362
0.5,1.0,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.5338888197985325,0.3941489361702128,0.21814814814814815,0.25795724465558195,0.44301587301587303,0.606448362720403,0.08758451137062077
0.75,1.0,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.5326451933839075,0.3893617021276596,0.21592592592592594,0.25534441805225655,0.44063492063492066,0.6044836272040303,0.08704671173939767
1.0,1.0,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.5296604899888073,0.38670212765957446,0.21185185185185185,0.2505146476642914,0.4384126984126984,0.6012594458438287,0.08624001229256299
0.0,0.25,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,0.25,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.5371222484765577,0.3984042553191489,0.21888888888888888,0.263895486935867,0.446984126984127,0.6110831234256927,0.08862169637369391
0.5,0.25,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.5374953364009452,0.39893617021276595,0.21814814814814815,0.263895486935867,0.4477777777777778,0.610831234256927,0.08835279655808236
0.75,0.25,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.5377440616838701,0.4015957446808511,0.21888888888888888,0.26318289786223276,0.44904761904761903,0.6107808564231738,0.08816072526121696
1.0,0.25,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.5384902375326452,0.4015957446808511,0.22,0.2629453681710214,0.44936507936507936,0.6108816120906801,0.08819913952059004
0.0,0.5,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,0.5,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.5356298967790076,0.3962765957446808,0.21777777777777776,0.2608867775138559,0.446984126984127,0.6080100755667507,0.08624001229256299
0.5,0.5,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.5347593582887701,0.3920212765957447,0.21666666666666667,0.2592240696753761,0.4471428571428571,0.606448362720403,0.08397357098955133
