scaling_factor,k,dataset:0,dataset:1,dataset:2,dataset:3,dataset:4,dataset:5,dataset:6,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
0.0,0.25,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,0.25,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5539112050739958,0.4175531914893617,0.2785185185185185,0.3019794140934283,0.49,0.6188916876574307,0.11804701905347265
0.5,0.25,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5668449197860963,0.4324468085106383,0.37074074074074076,0.3292161520190024,0.5233333333333333,0.626750629722922,0.16906115550092193
0.75,0.25,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5810222609128218,0.4478723404255319,0.4525925925925926,0.35130641330166273,0.5519047619047619,0.6306297229219143,0.2572218807621389
1.0,0.25,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.587986568834722,0.4553191489361702,0.51,0.3737133808392716,0.5785714285714286,0.6317884130982367,0.39247848801475105
0.0,0.5,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,0.5,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5526675786593708,0.41329787234042553,0.26925925925925925,0.29311163895486936,0.4831746031746032,0.6180856423173804,0.10951905347264905
0.5,0.5,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5644820295983086,0.42606382978723406,0.32592592592592595,0.31512272367379257,0.5119047619047619,0.6250377833753149,0.1411339889366933
0.75,0.5,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5779131948762591,0.43936170212765957,0.4074074074074074,0.33507521773555027,0.536984126984127,0.6290680100755668,0.18815304240934236
1.0,0.5,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5853749533640095,0.4473404255319149,0.4603703703703704,0.35281076801266825,0.5585714285714286,0.6316876574307305,0.2596035648432698
0.0,0.75,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,0.75,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5527919413008332,0.41329787234042553,0.2688888888888889,0.2931908155186065,0.4831746031746032,0.6181863979848866,0.10940381069452981
0.5,0.75,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5644820295983086,0.42606382978723406,0.3251851851851852,0.31488519398258114,0.5120634920634921,0.6251889168765743,0.14090350338045482
0.75,0.75,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5777888322347967,0.4398936170212766,0.4066666666666667,0.3351543942992874,0.5373015873015873,0.62911838790932,0.18715427166564227
1.0,0.75,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.585499316005472,0.44680851063829785,0.46,0.35233570863024544,0.5585714285714286,0.6317380352644836,0.2581438229870928
0.0,1.0,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,1.0,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5529163039422957,0.41329787234042553,0.26814814814814814,0.29311163895486936,0.4831746031746032,0.6180856423173804,0.10932698217578365
0.5,1.0,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5643576669568462,0.42659574468085104,0.3233333333333333,0.3144101346001584,0.5115873015873016,0.6248362720403022,0.14055777504609712
0.75,1.0,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5775401069518716,0.4398936170212766,0.4062962962962963,0.3351543942992874,0.536984126984127,0.6288664987405541,0.18634757221880763
1.0,1.0,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.585499316005472,0.4473404255319149,0.4585185185185185,0.35209817893903406,0.5580952380952381,0.6317380352644836,0.2569913952059004
