dataset:0,dataset:1,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
Cars,DTD,0.6240517348588484,0.4957446808510638,0.23777777777777778,0.2870942201108472,0.5020634920634921,0.6241309823677582,0.0936539643515673
Cars,EuroSAT,0.6204452182564357,0.4175531914893617,0.5892592592592593,0.292874109263658,0.49523809523809526,0.6269521410579345,0.09177166564228642
Cars,GTSRB,0.6194503171247357,0.41329787234042553,0.22,0.4701504354711006,0.49396825396825395,0.6231234256926952,0.13468039336201598
Cars,RESISC45,0.6220619325954483,0.42127659574468085,0.31333333333333335,0.2620744259699129,0.6495238095238095,0.631183879093199,0.10494775660725261
Cars,SUN397,0.6326327571197612,0.42446808510638295,0.27111111111111114,0.27901821060965953,0.5111111111111111,0.6624685138539043,0.10659956976029503
Cars,SVHN,0.6190772292003482,0.41648936170212764,0.2437037037037037,0.29334916864608074,0.48507936507936505,0.6219143576826196,0.46780885064535954
DTD,EuroSAT,0.547071259793558,0.5,0.6040740740740741,0.2950910530482977,0.4857142857142857,0.6179345088161209,0.08950522433927474
DTD,GTSRB,0.5346349956473075,0.5074468085106383,0.2285185185185185,0.503562945368171,0.5071428571428571,0.6114861460957178,0.15012292562999385
DTD,RESISC45,0.5323964681009825,0.5031914893617021,0.2785185185185185,0.28099762470308787,0.6730158730158731,0.617984886649874,0.1092501536570375
DTD,SUN397,0.5514239522447457,0.5101063829787233,0.2222222222222222,0.28883610451306413,0.508095238095238,0.6547607052896726,0.10648432698217579
DTD,SVHN,0.5435891058326079,0.49627659574468086,0.22296296296296297,0.3008709422011085,0.4784126984126984,0.6096725440806046,0.5728334357713584
EuroSAT,GTSRB,0.5404800397960453,0.41702127659574467,0.6666666666666666,0.4711797307996833,0.4938095238095238,0.6155667506297229,0.11539643515673018
EuroSAT,RESISC45,0.5378684243253327,0.423936170212766,0.7144444444444444,0.2779889152810768,0.6409523809523809,0.6235768261964736,0.09615089121081745
EuroSAT,SUN397,0.5478174356423331,0.4276595744680851,0.61,0.28590657165479016,0.49857142857142855,0.6507808564231738,0.10241241548862938
EuroSAT,SVHN,0.5425942047009078,0.4228723404255319,0.5951851851851852,0.3038004750593824,0.48,0.615264483627204,0.5494007375537799
GTSRB,RESISC45,0.5346349956473075,0.4218085106382979,0.33666666666666667,0.4904196357878068,0.6547619047619048,0.6219647355163728,0.15926551936078673
GTSRB,SUN397,0.5498072379057332,0.425,0.22666666666666666,0.47268408551068886,0.51,0.6529471032745592,0.1574216349108789
GTSRB,SVHN,0.5391120507399577,0.42021276595744683,0.2285185185185185,0.4980997624703088,0.48523809523809525,0.6131486146095718,0.7108558696988322
RESISC45,SUN397,0.5449570948886955,0.43138297872340425,0.2974074074074074,0.2642121931908155,0.6657142857142857,0.6572292191435768,0.1190842040565458
RESISC45,SVHN,0.5435891058326079,0.42659574468085104,0.2696296296296296,0.2759303246239113,0.6358730158730159,0.6198488664987406,0.5936923786109404
SUN397,SVHN,0.5552791941300833,0.42446808510638295,0.24222222222222223,0.29073634204275534,0.49603174603174605,0.6492191435768262,0.5449062692071297
