dataset:0,dataset:1,dataset:2,dataset:3,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
Cars,DTD,EuroSAT,GTSRB,0.5784106454421092,0.44840425531914896,0.4444444444444444,0.36832937450514647,0.5007936507936508,0.6269017632241813,0.10567762753534111
Cars,DTD,EuroSAT,RESISC45,0.5827633378932968,0.45691489361702126,0.47814814814814816,0.2828978622327791,0.5723809523809524,0.6305793450881612,0.09822526121696373
Cars,DTD,EuroSAT,SUN397,0.587240392985947,0.45159574468085106,0.4159259259259259,0.28669833729216154,0.5026984126984126,0.6439294710327456,0.09784111862323294
Cars,DTD,EuroSAT,SVHN,0.5810222609128218,0.4526595744680851,0.42962962962962964,0.29762470308788597,0.49317460317460315,0.6257430730478589,0.1642977873386601
Cars,DTD,GTSRB,RESISC45,0.5781619201591842,0.4542553191489362,0.28629629629629627,0.3604908946951702,0.5765079365079365,0.6294710327455919,0.1164720344191764
Cars,DTD,GTSRB,SUN397,0.5832607884591469,0.4531914893617021,0.2362962962962963,0.3604117181314331,0.5084126984126984,0.645088161209068,0.11316840811309158
Cars,DTD,GTSRB,SVHN,0.5781619201591842,0.4478723404255319,0.24259259259259258,0.37648456057007124,0.4961904761904762,0.6224181360201512,0.21239244007375538
Cars,DTD,RESISC45,SUN397,0.5840069643079219,0.46063829787234045,0.2740740740740741,0.27268408551068885,0.5812698412698413,0.6484130982367758,0.10452519975414874
Cars,DTD,RESISC45,SVHN,0.5811466235542843,0.46117021276595743,0.2674074074074074,0.28186856690419637,0.5684126984126984,0.6268513853904282,0.17236478180700676
Cars,DTD,SUN397,SVHN,0.586494217137172,0.4521276595744681,0.24185185185185185,0.29002375296912114,0.5003174603174603,0.6418136020151134,0.1667178856791641
Cars,EuroSAT,GTSRB,RESISC45,0.5764208431787091,0.423936170212766,0.49962962962962965,0.35233570863024544,0.5622222222222222,0.6275566750629723,0.11270743700061463
Cars,EuroSAT,GTSRB,SUN397,0.5806491729884343,0.41702127659574467,0.43444444444444447,0.3541567695961995,0.5014285714285714,0.6409068010075567,0.11205439459127228
Cars,EuroSAT,GTSRB,SVHN,0.5765452058201717,0.4207446808510638,0.44851851851851854,0.36801266825019796,0.4926984126984127,0.6216624685138539,0.2101259987707437
Cars,EuroSAT,RESISC45,SUN397,0.5815197114786718,0.42659574468085104,0.47074074074074074,0.2779889152810768,0.5668253968253968,0.6445340050377834,0.10433312845728335
Cars,EuroSAT,RESISC45,SVHN,0.5781619201591842,0.42127659574468085,0.4711111111111111,0.28669833729216154,0.559047619047619,0.6252392947103275,0.17259526736324524
Cars,EuroSAT,SUN397,SVHN,0.5828877005347594,0.4207446808510638,0.41703703703703704,0.2927949326999208,0.4976190476190476,0.637632241813602,0.16998309772587583
Cars,GTSRB,RESISC45,SUN397,0.5836338763835344,0.42819148936170215,0.28185185185185185,0.34069675376088676,0.5631746031746032,0.643727959697733,0.12112015980331899
Cars,GTSRB,RESISC45,SVHN,0.5765452058201717,0.42340425531914894,0.2848148148148148,0.35882818685669043,0.5549206349206349,0.6239294710327455,0.2249154886293792
Cars,GTSRB,SUN397,SVHN,0.584255689590847,0.42606382978723406,0.25,0.36009501187648457,0.4980952380952381,0.6380352644836272,0.21189305470190534
Cars,RESISC45,SUN397,SVHN,0.586245491854247,0.43031914893617024,0.27666666666666667,0.277513855898654,0.5615873015873016,0.6418639798488665,0.17355562384757223
DTD,EuroSAT,GTSRB,RESISC45,0.5480661609252581,0.4595744680851064,0.5148148148148148,0.37276326207442595,0.5736507936507936,0.6249370277078086,0.11574216349108789
DTD,EuroSAT,GTSRB,SUN397,0.5501803258301207,0.45585106382978724,0.4474074074074074,0.36682501979414095,0.506984126984127,0.6388916876574308,0.11259219422249539
DTD,EuroSAT,GTSRB,SVHN,0.546076358661858,0.45159574468085106,0.44925925925925925,0.38305621536025336,0.4955555555555556,0.6198992443324937,0.23121542716656424
DTD,EuroSAT,RESISC45,SUN397,0.5527919413008332,0.46382978723404256,0.48,0.28210609659540775,0.5788888888888889,0.6425188916876574,0.1034880147510756
DTD,EuroSAT,RESISC45,SVHN,0.5471956224350205,0.46170212765957447,0.46703703703703703,0.2934283452098179,0.5668253968253968,0.6235264483627204,0.18665488629379226
DTD,EuroSAT,SUN397,SVHN,0.5520457654520582,0.45585106382978724,0.42185185185185187,0.29635787806809183,0.49793650793650795,0.6351133501259446,0.18085433312845728
DTD,GTSRB,RESISC45,SUN397,0.5501803258301207,0.4654255319148936,0.28814814814814815,0.36033254156769595,0.5785714285714286,0.642367758186398,0.12423171481253842
DTD,GTSRB,RESISC45,SVHN,0.5462007213033205,0.46170212765957447,0.28814814814814815,0.3760886777513856,0.5680952380952381,0.6217632241813602,0.25595421020282727
DTD,GTSRB,SUN397,SVHN,0.5512995896032832,0.4574468085106383,0.24333333333333335,0.3753760886777514,0.5,0.6359697732997481,0.23417332513829134
