dataset:0,dataset:1,dataset:2,dataset:3,dataset:4,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
Cars,DTD,EuroSAT,GTSRB,RESISC45,0.571943788086059,0.4473404255319149,0.4551851851851852,0.342042755344418,0.5541269841269841,0.6300755667506297,0.10859711124769514
Cars,DTD,EuroSAT,GTSRB,SUN397,0.574182315632384,0.44627659574468087,0.4033333333333333,0.3424386381631037,0.5041269841269841,0.6394962216624686,0.10729102642901045
Cars,DTD,EuroSAT,GTSRB,SVHN,0.5707001616714339,0.44468085106382976,0.4148148148148148,0.35629453681710216,0.4961904761904762,0.6239798488664987,0.1687922556853104
Cars,DTD,EuroSAT,RESISC45,SUN397,0.5776644695933342,0.451063829787234,0.43296296296296294,0.2789390340459224,0.5593650793650794,0.6435264483627204,0.10149047326367548
Cars,DTD,EuroSAT,RESISC45,SVHN,0.5755503046884716,0.44893617021276594,0.41703703703703704,0.28772763262074424,0.553968253968254,0.6270528967254408,0.14977719729563613
Cars,DTD,EuroSAT,SUN397,SVHN,0.5762964805372466,0.44574468085106383,0.3888888888888889,0.2925574030087094,0.5,0.636977329974811,0.14697295636140134
Cars,DTD,GTSRB,RESISC45,SUN397,0.5771670190274841,0.4553191489361702,0.27666666666666667,0.3340459224069675,0.5617460317460318,0.6425692695214106,0.1149738783036263
Cars,DTD,GTSRB,RESISC45,SVHN,0.5705757990299714,0.44893617021276594,0.2788888888888889,0.34750593824228027,0.5531746031746032,0.6257934508816121,0.1782037492317148
Cars,DTD,GTSRB,SUN397,SVHN,0.574679766198234,0.44680851063829785,0.2437037037037037,0.34861441013460015,0.5007936507936508,0.6370277078085642,0.17182698217578365
Cars,DTD,RESISC45,SUN397,SVHN,0.5784106454421092,0.45372340425531915,0.26481481481481484,0.2804433887569279,0.5568253968253968,0.639647355163728,0.1511216963736939
Cars,EuroSAT,GTSRB,RESISC45,SUN397,0.5730630518592215,0.42340425531914894,0.4444444444444444,0.33087885985748217,0.5488888888888889,0.6392947103274559,0.11309157959434542
Cars,EuroSAT,GTSRB,RESISC45,SVHN,0.5697052605397339,0.4218085106382979,0.447037037037037,0.3452098178939034,0.5442857142857143,0.6239798488664987,0.17682083589428396
Cars,EuroSAT,GTSRB,SUN397,SVHN,0.572441238651909,0.42127659574468085,0.40296296296296297,0.3450514647664291,0.49777777777777776,0.6350125944584383,0.17255685310387217
Cars,EuroSAT,RESISC45,SUN397,SVHN,0.574431040915309,0.4228723404255319,0.4203703703703704,0.28368962787015045,0.5468253968253968,0.6381360201511335,0.15292716656422864
Cars,GTSRB,RESISC45,SUN397,SVHN,0.5759233926128591,0.425,0.2788888888888889,0.3363420427553444,0.5484126984126985,0.6366750629722921,0.17843423478795328
DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.5509265016788957,0.45159574468085106,0.45555555555555555,0.34410134600158354,0.5604761904761905,0.6378841309823677,0.1146281499692686
DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.547071259793558,0.45,0.44333333333333336,0.35700712589073635,0.5522222222222222,0.6231234256926952,0.18715427166564227
DTD,EuroSAT,GTSRB,SUN397,SVHN,0.547568710359408,0.45,0.41,0.35589865399841647,0.4996825396825397,0.6328463476070529,0.18073909035033806
DTD,EuroSAT,RESISC45,SUN397,SVHN,0.5508021390374331,0.4521276595744681,0.4059259259259259,0.28725257323832143,0.5555555555555556,0.6366246851385391,0.15888137676705594
DTD,GTSRB,RESISC45,SUN397,SVHN,0.5505534137545082,0.4526595744680851,0.27814814814814814,0.34623911322248613,0.5577777777777778,0.6358690176322418,0.19111094038106946
EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5478174356423331,0.423936170212766,0.447037037037037,0.34513064133016624,0.5507936507936508,0.6338539042821159,0.18826828518746158
