dataset:0,dataset:1,dataset:2,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
Cars,DTD,EuroSAT,0.6096256684491979,0.4781914893617021,0.8544444444444445,0.289390340459224,0.4796825396825396,0.6096725440806046,0.080439459127228
Cars,DTD,GTSRB,0.5942047009078473,0.4478723404255319,0.2233333333333333,0.7386381631037213,0.4979365079365079,0.5924433249370277,0.2068607867240319
Cars,DTD,RESISC45,0.6098743937321228,0.4861702127659574,0.2718518518518518,0.2809184481393507,0.7284126984126984,0.5945088161209068,0.1103257529194837
Cars,DTD,SUN397,0.6323840318368362,0.5579787234042554,0.2248148148148148,0.2797307996832937,0.5123809523809524,0.6136020151133501,0.1030654578979717
Cars,DTD,SVHN,0.6196990424076607,0.4829787234042553,0.1607407407407407,0.3050673000791765,0.469047619047619,0.5580352644836272,0.7798862937922557
Cars,EuroSAT,GTSRB,0.6246735480661609,0.4218085106382979,0.4077777777777778,0.6618368962787015,0.5111111111111111,0.6166750629722922,0.154079594345421
Cars,EuroSAT,RESISC45,0.6353687352319364,0.4170212765957446,0.7096296296296296,0.279889152810768,0.6825396825396826,0.6112846347607053,0.0947679778733866
Cars,EuroSAT,SUN397,0.6383534386270364,0.4079787234042553,0.912962962962963,0.2718131433095803,0.4692063492063492,0.6165743073047859,0.0799016594960049
Cars,EuroSAT,SVHN,0.6032831737346102,0.4101063829787234,0.7074074074074074,0.3125890736342043,0.4807936507936508,0.6149622166246851,0.5966886908420406
Cars,GTSRB,RESISC45,0.5965675910956348,0.3877659574468085,0.3262962962962963,0.6857482185273159,0.6704761904761904,0.5808564231738035,0.1935694529809465
Cars,GTSRB,SUN397,0.6066409650540977,0.4079787234042553,0.2388888888888889,0.763895486935867,0.4982539682539682,0.627455919395466,0.1925322679778734
Cars,GTSRB,SVHN,0.6390996144758114,0.4031914893617021,0.2422222222222222,0.6258907363420427,0.5219047619047619,0.6036272040302267,0.6595344191763983
Cars,RESISC45,SUN397,0.6317622186295236,0.4117021276595745,0.3311111111111111,0.2622327790973872,0.7930158730158731,0.6090176322418136,0.1131299938537185
Cars,RESISC45,SVHN,0.6134809103345356,0.3957446808510638,0.2211111111111111,0.2760095011876484,0.7034920634920635,0.5640302267002519,0.795520897357099
Cars,SUN397,SVHN,0.642706131078224,0.4058510638297872,0.1985185185185185,0.3042755344418052,0.5092063492063492,0.6305793450881612,0.8279041180086048
DTD,EuroSAT,GTSRB,0.531525929610745,0.4558510638297872,0.4092592592592592,0.6457640538400633,0.5053968253968254,0.5987405541561713,0.1752458512599877
DTD,EuroSAT,RESISC45,0.5290386767814949,0.4707446808510638,0.7185185185185186,0.2938242280285035,0.6334920634920634,0.6005037783375314,0.0974953902888752
DTD,EuroSAT,SUN397,0.5386146001741077,0.4734042553191489,0.9114814814814814,0.2853523357086302,0.4749206349206349,0.6198992443324937,0.0829748002458512
DTD,EuroSAT,SVHN,0.5404800397960453,0.4340425531914894,0.7314814814814815,0.3111638954869358,0.4673015873015873,0.6072040302267002,0.5931545789797172
DTD,GTSRB,RESISC45,0.4771794552916304,0.425531914893617,0.2903703703703704,0.6947743467933492,0.6317460317460317,0.5684130982367758,0.2123156115550092
DTD,GTSRB,SUN397,0.5170998632010944,0.4553191489361702,0.2381481481481481,0.7511480601741884,0.5047619047619047,0.6077581863979848,0.2147357098955132
DTD,GTSRB,SVHN,0.5217012809352071,0.4648936170212766,0.1918518518518518,0.6212984956452889,0.5053968253968254,0.5716372795969773,0.6178933620159803
DTD,RESISC45,SUN397,0.5223230941425195,0.4867021276595745,0.2818518518518518,0.2856690419635788,0.7477777777777778,0.6183375314861461,0.1196220036877689
DTD,RESISC45,SVHN,0.521950006218132,0.4271276595744681,0.2111111111111111,0.2848772763262074,0.6971428571428572,0.5765743073047859,0.807198832206515
DTD,SUN397,SVHN,0.5358786220619326,0.4861702127659574,0.1644444444444444,0.2959619952494062,0.4831746031746032,0.6196977329974811,0.8138444990780578
EuroSAT,GTSRB,RESISC45,0.4708369605770426,0.3632978723404255,0.4496296296296296,0.5828186856690419,0.7490476190476191,0.5776322418136021,0.1790104486785494
EuroSAT,GTSRB,SUN397,0.5435891058326079,0.4234042553191489,0.6337037037037037,0.5281868566904196,0.5014285714285714,0.6307304785894207,0.1328365089121082
EuroSAT,GTSRB,SVHN,0.5376196990424077,0.4234042553191489,0.5574074074074075,0.5592240696753761,0.4977777777777777,0.6080100755667507,0.610940381069453
EuroSAT,RESISC45,SUN397,0.5301579405546574,0.4164893617021276,0.7292592592592593,0.2754552652414885,0.6834920634920635,0.6224685138539043,0.0966886908420405
EuroSAT,RESISC45,SVHN,0.5045392364133814,0.3718085106382979,0.5774074074074074,0.2641330166270784,0.7441269841269841,0.5764231738035265,0.680700676090965
EuroSAT,SUN397,SVHN,0.5407287650789703,0.41436170212765955,0.7340740740740741,0.3069675376088678,0.47,0.6211586901763224,0.6190842040565457
GTSRB,RESISC45,SUN397,0.4821539609501306,0.37659574468085105,0.3403703703703704,0.6863024544734758,0.6950793650793651,0.6018136020151134,0.20025353411186234
GTSRB,RESISC45,SVHN,0.5149856982962319,0.38670212765957446,0.3359259259259259,0.5515439429928741,0.7223809523809523,0.5855415617128463,0.6203134603564844
GTSRB,SUN397,SVHN,0.5449570948886955,0.4095744680851064,0.2414814814814815,0.633729216152019,0.5234920634920635,0.6402518891687657,0.6495467117393977
RESISC45,SUN397,SVHN,0.5316502922522074,0.40691489361702127,0.22925925925925925,0.27086302454473477,0.7261904761904762,0.6108816120906801,0.8155347264904733
