dataset:0,dataset:1,dataset:2,dataset:3,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
Cars,DTD,EuroSAT,GTSRB,0.6066409650540977,0.4468085106382978,0.4785185185185185,0.6079968329374505,0.5214285714285715,0.616977329974811,0.1434004302397049
Cars,DTD,EuroSAT,RESISC45,0.6127347344857604,0.4569148936170212,0.7222222222222222,0.289944576405384,0.6211111111111111,0.6092191435768262,0.0930777504609711
Cars,DTD,EuroSAT,SUN397,0.6168387016540231,0.4606382978723404,0.89,0.2904196357878068,0.4798412698412698,0.6087657430730479,0.0802858020897357
Cars,DTD,EuroSAT,SVHN,0.5554035567715458,0.4271276595744681,0.7240740740740741,0.3133808392715756,0.4749206349206349,0.6099748110831235,0.5947679778733866
Cars,DTD,GTSRB,RESISC45,0.5821415246859843,0.4287234042553191,0.2892592592592592,0.6930324623911323,0.6080952380952381,0.5875566750629723,0.2029041180086048
Cars,DTD,GTSRB,SUN397,0.5920905360029847,0.4478723404255319,0.2325925925925926,0.7424386381631037,0.5071428571428571,0.6136523929471033,0.2092424708051628
Cars,DTD,GTSRB,SVHN,0.5927123492102973,0.4462765957446808,0.2111111111111111,0.6246239113222486,0.5295238095238095,0.5843828715365239,0.6430931161647203
Cars,DTD,RESISC45,SUN397,0.6106205695808979,0.4739361702127659,0.2907407407407407,0.2783847980997624,0.7404761904761905,0.6089168765743073,0.1106330669944683
Cars,DTD,RESISC45,SVHN,0.6070140529784852,0.4313829787234042,0.2022222222222222,0.2910530482977039,0.6673015873015873,0.5710831234256927,0.7968653964351567
Cars,DTD,SUN397,SVHN,0.6137296356174605,0.4617021276595744,0.1792592592592592,0.3077593032462391,0.5007936507936508,0.618287153652393,0.8066226183159189
Cars,EuroSAT,GTSRB,RESISC45,0.573187414500684,0.3877659574468085,0.4625925925925926,0.5809976247030879,0.7266666666666667,0.5890680100755668,0.1713660110633067
Cars,EuroSAT,GTSRB,SUN397,0.612112921278448,0.4276595744680851,0.4825925925925926,0.62486144101346,0.518095238095238,0.627455919395466,0.1447065150583896
Cars,EuroSAT,GTSRB,SVHN,0.6077602288272603,0.4159574468085106,0.4748148148148148,0.598178939034046,0.5261904761904762,0.6119899244332494,0.6057160417947142
