dataset:0,dataset:1,dataset:2,dataset:3,dataset:4,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
Cars,DTD,EuroSAT,GTSRB,RESISC45,0.5897276458151971,0.4382978723404255,0.4555555555555555,0.5844022169437847,0.6568253968253969,0.6004030226700252,0.1697141979102643
Cars,DTD,EuroSAT,GTSRB,SUN397,0.6009202835468226,0.4462765957446808,0.5481481481481482,0.5758511480601742,0.5222222222222223,0.6221158690176323,0.1379840196681008
Cars,DTD,EuroSAT,GTSRB,SVHN,0.6092525805248103,0.426595744680851,0.3429629629629629,0.6460807600950119,0.5276190476190477,0.6074055415617129,0.5883143822987092
Cars,DTD,EuroSAT,RESISC45,SUN397,0.5886083820420346,0.449468085106383,0.7577777777777778,0.2916864608076009,0.6292063492063492,0.6057430730478589,0.0900430239704978
Cars,DTD,EuroSAT,RESISC45,SVHN,0.5200845665961945,0.4058510638297872,0.587037037037037,0.2849564528899446,0.6707936507936508,0.5944584382871536,0.6691379840196681
Cars,DTD,EuroSAT,SUN397,SVHN,0.5488123367740331,0.4281914893617021,0.7188888888888889,0.3106888361045131,0.4747619047619048,0.6194458438287154,0.5991087891825445
Cars,DTD,GTSRB,RESISC45,SUN397,0.5825146126103719,0.425,0.287037037037037,0.7016627078384798,0.5923809523809523,0.6131486146095718,0.2027120467117394
Cars,DTD,GTSRB,RESISC45,SVHN,0.5955726899639349,0.423936170212766,0.2711111111111111,0.5809184481393508,0.616984126984127,0.5866498740554156,0.6477412415488629
Cars,DTD,GTSRB,SUN397,SVHN,0.6083820420345728,0.4345744680851063,0.227037037037037,0.6151227236737925,0.5328571428571428,0.5984382871536524,0.6674093423478795
Cars,DTD,RESISC45,SUN397,SVHN,0.6016664593955976,0.4281914893617021,0.2133333333333333,0.2932699920823436,0.6595238095238095,0.6029219143576826,0.792178856791641
Cars,EuroSAT,GTSRB,RESISC45,SUN397,0.5831364258176843,0.4058510638297872,0.472962962962963,0.5931908155186065,0.6988888888888889,0.6045340050377834,0.1710202827289489
Cars,EuroSAT,GTSRB,RESISC45,SVHN,0.5966919537370974,0.4063829787234042,0.4277777777777777,0.566904196357878,0.6604761904761904,0.6003022670025189,0.5540872771972957
Cars,EuroSAT,GTSRB,SUN397,SVHN,0.6178336027857232,0.4170212765957446,0.4874074074074074,0.5912905779889153,0.5290476190476191,0.6137027707808564,0.6030654578979717
Cars,EuroSAT,RESISC45,SUN397,SVHN,0.5622435020519836,0.3962765957446808,0.5885185185185186,0.2804433887569279,0.696031746031746,0.5890176322418136,0.6487015980331899
Cars,GTSRB,RESISC45,SUN397,SVHN,0.6134809103345356,0.400531914893617,0.2996296296296296,0.5770387965162312,0.6434920634920634,0.5899244332493703,0.6347956361401352
DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.5067777639597065,0.4031914893617021,0.4633333333333333,0.5768012668250198,0.7104761904761905,0.6030730478589421,0.1806238475722188
DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.5295361273473449,0.4361702127659574,0.3903703703703703,0.5765637371338084,0.6050793650793651,0.5873047858942065,0.5963813767670559
DTD,EuroSAT,GTSRB,SUN397,SVHN,0.5420967541350579,0.4446808510638297,0.4944444444444444,0.5743467933491686,0.5174603174603175,0.6111335012594459,0.615818992009834
DTD,EuroSAT,RESISC45,SUN397,SVHN,0.5291630394229574,0.4079787234042553,0.605925925925926,0.2868566904196358,0.6623809523809524,0.5941561712846347,0.6636447449293178
DTD,GTSRB,RESISC45,SUN397,SVHN,0.5300335779131948,0.4202127659574468,0.292962962962963,0.586935866983373,0.6484126984126984,0.6042317380352645,0.6305316533497234
EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5275463250839448,0.4074468085106383,0.46555555555555556,0.5042755344418052,0.6815873015873016,0.6015113350125945,0.6178549477566072
