scaling_factor,dataset:0,dataset:1,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
0.0,Cars,DTD,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
0.05,Cars,DTD,0.5411018530033578,0.4037234042553191,0.2192592592592592,0.2651623119556611,0.4498412698412698,0.6112846347607053,0.0893899815611555
0.1,Cars,DTD,0.5479417982837955,0.4101063829787234,0.2188888888888888,0.2673000791765637,0.4522222222222222,0.6141561712846347,0.0896204671173939
0.15,Cars,DTD,0.5566471831861709,0.4175531914893617,0.2196296296296296,0.269279493269992,0.4568253968253968,0.6151133501259446,0.0899277811923786
0.2,Cars,DTD,0.5638602163909961,0.425531914893617,0.2177777777777777,0.2717339667458432,0.4622222222222222,0.6181863979848866,0.0903503380454824
0.25,Cars,DTD,0.571695062803134,0.4361702127659574,0.2196296296296296,0.2744259699129058,0.4668253968253968,0.62,0.0905424093423478
0.3,Cars,DTD,0.5838826016664594,0.4446808510638297,0.2207407407407407,0.2771179730799683,0.4753968253968254,0.6245340050377833,0.0908113091579594
0.35,Cars,DTD,0.5928367118517597,0.4542553191489362,0.2237037037037037,0.2805225653206651,0.4842857142857142,0.6263979848866499,0.0918869084204056
0.4,Cars,DTD,0.6044024375077727,0.4680851063829787,0.2262962962962963,0.2837688044338876,0.4903174603174603,0.6279596977329975,0.0921173939766441
0.45,Cars,DTD,0.6124860092028355,0.4808510638297872,0.2329629629629629,0.2857482185273159,0.4968253968253968,0.6268513853904282,0.0928472649047326
0.5,Cars,DTD,0.6240517348588484,0.4957446808510638,0.2377777777777777,0.2870942201108472,0.5020634920634921,0.6241309823677582,0.0936539643515673
0.55,Cars,DTD,0.6321353065539113,0.5085106382978724,0.2411111111111111,0.2870942201108472,0.5050793650793651,0.621007556675063,0.0945759065765212
0.6000000000000001,Cars,DTD,0.6390996144758114,0.5260638297872341,0.2362962962962963,0.2844022169437846,0.5076190476190476,0.6158690176322418,0.094960049170252
0.65,Cars,DTD,0.6433279442855366,0.5356382978723404,0.2362962962962963,0.2811559778305622,0.5104761904761905,0.608463476070529,0.0963429625076828
0.7000000000000001,Cars,DTD,0.6440741201343116,0.5441489361702128,0.2259259259259259,0.2781472684085511,0.5077777777777778,0.5998488664987406,0.0969575906576521
0.75,Cars,DTD,0.6445715707001617,0.550531914893617,0.2114814814814815,0.275771971496437,0.5011111111111111,0.5889672544080604,0.0973033189920098
0.8,Cars,DTD,0.6408406914562865,0.5622340425531915,0.1981481481481481,0.2725257323832146,0.4947619047619047,0.578639798488665,0.0968807621389059
0.8500000000000001,Cars,DTD,0.6333789329685362,0.5659574468085107,0.1966666666666666,0.2702296120348377,0.4774603174603175,0.5683627204030227,0.0958435771358328
0.9,Cars,DTD,0.6277826141027235,0.5654255319148936,0.1896296296296296,0.2661916072842438,0.459047619047619,0.5553148614609572,0.0940765212046711
0.95,Cars,DTD,0.6147245367491605,0.5563829787234043,0.1822222222222222,0.2623911322248614,0.4363492063492064,0.5390428211586902,0.0927704363859864
1.0,Cars,DTD,0.5910956348712847,0.548936170212766,0.1766666666666666,0.2576405384006334,0.4088888888888889,0.5205037783375315,0.091118623232944
0.0,Cars,EuroSAT,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
