scaling_factor,dataset:0,dataset:1,dataset:2,dataset:3,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
0.0,Cars,DTD,EuroSAT,GTSRB,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
0.05,Cars,DTD,EuroSAT,GTSRB,0.5420967541350579,0.4053191489361702,0.2322222222222222,0.2741884402216943,0.4525396825396825,0.6122418136020151,0.0907728948985863
0.1,Cars,DTD,EuroSAT,GTSRB,0.5505534137545082,0.4148936170212766,0.2555555555555555,0.2942992874109263,0.4611111111111111,0.6150125944584383,0.0926936078672403
0.15,Cars,DTD,EuroSAT,GTSRB,0.5600049745056584,0.4276595744680851,0.2959259259259259,0.3197149643705463,0.4725396825396825,0.6190931989924433,0.0954210202827289
0.2,Cars,DTD,EuroSAT,GTSRB,0.5685859967665713,0.4372340425531915,0.3862962962962963,0.3435471100554236,0.489047619047619,0.6234760705289673,0.0997234173325138
0.25,Cars,DTD,EuroSAT,GTSRB,0.5784106454421092,0.4484042553191489,0.4444444444444444,0.3683293745051464,0.5007936507936508,0.6269017632241813,0.1056776275353411
0.3,Cars,DTD,EuroSAT,GTSRB,0.5867429424200971,0.4638297872340425,0.4962962962962963,0.3949326999208234,0.5126984126984127,0.6287657430730479,0.1114013521819299
0.35,Cars,DTD,EuroSAT,GTSRB,0.5978112175102599,0.4787234042553192,0.534074074074074,0.4247822644497229,0.5222222222222223,0.627455919395466,0.1155885064535955
0.4,Cars,DTD,EuroSAT,GTSRB,0.6021639099614475,0.4877659574468085,0.5566666666666666,0.4502771179730799,0.5290476190476191,0.6207556675062972,0.1171634910878918
0.45,Cars,DTD,EuroSAT,GTSRB,0.6070140529784852,0.4984042553191489,0.5762962962962963,0.4684085510688836,0.5290476190476191,0.6103778337531486,0.1156269207129686
0.5,Cars,DTD,EuroSAT,GTSRB,0.612610371844298,0.5047872340425532,0.567037037037037,0.4757719714964371,0.5222222222222223,0.599345088161209,0.1086355255070682
0.55,Cars,DTD,EuroSAT,GTSRB,0.6086307673174979,0.5042553191489362,0.5103703703703704,0.4673000791765637,0.5065079365079365,0.5801007556675063,0.1008758451137062
0.6000000000000001,Cars,DTD,EuroSAT,GTSRB,0.6026613605272976,0.4968085106382979,0.444074074074074,0.4492478226444972,0.4773015873015873,0.5615113350125944,0.0919253226797787
0.65,Cars,DTD,EuroSAT,GTSRB,0.5898520084566596,0.4835106382978723,0.3796296296296296,0.4220902612826603,0.4349206349206349,0.5387405541561713,0.0866241548862938
0.7000000000000001,Cars,DTD,EuroSAT,GTSRB,0.5720681507275215,0.4606382978723404,0.3025925925925926,0.3849564528899445,0.3850793650793651,0.5129471032745592,0.0892363245236631
0.75,Cars,DTD,EuroSAT,GTSRB,0.5406044024375077,0.4313829787234042,0.2266666666666666,0.3508313539192399,0.332063492063492,0.4798992443324937,0.0946143208358942
0.8,Cars,DTD,EuroSAT,GTSRB,0.492600422832981,0.3946808510638298,0.1344444444444444,0.3146476642913697,0.2826984126984126,0.4428715365239294,0.0905039950829748
0.8500000000000001,Cars,DTD,EuroSAT,GTSRB,0.4353936077602288,0.3515957446808511,0.0829629629629629,0.2806809184481393,0.2341269841269841,0.3979848866498741,0.0752151198524892
0.9,Cars,DTD,EuroSAT,GTSRB,0.3668697923143887,0.3127659574468085,0.064074074074074,0.2389548693586698,0.1923809523809523,0.34816120906801,0.068338967424708
0.95,Cars,DTD,EuroSAT,GTSRB,0.2913816689466484,0.2712765957446808,0.0559259259259259,0.19944576405384,0.1574603174603174,0.2945088161209068,0.0675322679778733
1.0,Cars,DTD,EuroSAT,GTSRB,0.2183807984081582,0.2441489361702127,0.0651851851851851,0.1666666666666666,0.1236507936507936,0.2410075566750629,0.0680700676090965
0.0,Cars,DTD,EuroSAT,RESISC45,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
0.05,Cars,DTD,EuroSAT,RESISC45,0.5423454794179828,0.4069148936170212,0.2362962962962963,0.2661916072842438,0.4592063492063492,0.6130982367758187,0.0903119237861094
0.1,Cars,DTD,EuroSAT,RESISC45,0.5511752269618206,0.4175531914893617,0.2711111111111111,0.2713380839271576,0.48,0.6167758186397985,0.0915411800860479
0.15,Cars,DTD,EuroSAT,RESISC45,0.5595075239398085,0.4271276595744681,0.3144444444444444,0.275771971496437,0.5092063492063492,0.6225188916876574,0.0936539643515673
0.2,Cars,DTD,EuroSAT,RESISC45,0.5702027111055838,0.4425531914893617,0.4140740740740741,0.2765637371338084,0.536984126984127,0.6286649874055416,0.0961124769514443
0.25,Cars,DTD,EuroSAT,RESISC45,0.5827633378932968,0.4569148936170212,0.4781481481481481,0.2828978622327791,0.5723809523809524,0.6305793450881612,0.0982252612169637
0.3,Cars,DTD,EuroSAT,RESISC45,0.5888571073249595,0.4696808510638298,0.5259259259259259,0.2882818685669042,0.6014285714285714,0.6280604534005038,0.1007221880762138
0.35,Cars,DTD,EuroSAT,RESISC45,0.5969406790200223,0.475,0.5537037037037037,0.2904196357878068,0.6226984126984128,0.624080604534005,0.102258758451137
0.4,Cars,DTD,EuroSAT,RESISC45,0.6039049869419226,0.474468085106383,0.5844444444444444,0.2895486935866983,0.638095238095238,0.6148614609571789,0.1009142593730792
0.45,Cars,DTD,EuroSAT,RESISC45,0.6070140529784852,0.4792553191489361,0.6033333333333334,0.2840855106888361,0.6484126984126984,0.6020654911838791,0.0980716041794714
0.5,Cars,DTD,EuroSAT,RESISC45,0.6072627782614103,0.4781914893617021,0.61,0.2809184481393507,0.6417460317460317,0.5850377833753149,0.0938076213890596
0.55,Cars,DTD,EuroSAT,RESISC45,0.599552294490735,0.4654255319148936,0.595925925925926,0.2794932699920823,0.6138095238095238,0.5642821158690177,0.0890442532267977
0.6000000000000001,Cars,DTD,EuroSAT,RESISC45,0.5888571073249595,0.4441489361702128,0.544074074074074,0.2741092636579572,0.5784126984126984,0.5399496221662469,0.0840888137676705
0.65,Cars,DTD,EuroSAT,RESISC45,0.5689590846909588,0.4218085106382979,0.4274074074074074,0.2604908946951702,0.5217460317460317,0.5109823677581864,0.0852028272894898
0.7000000000000001,Cars,DTD,EuroSAT,RESISC45,0.5425942047009078,0.3845744680851063,0.302962962962963,0.240855106888361,0.4525396825396825,0.4760201511335012,0.1054855562384757
0.75,Cars,DTD,EuroSAT,RESISC45,0.5042905111304564,0.3473404255319149,0.1914814814814814,0.2091053048297703,0.3804761904761904,0.4321914357682619,0.1500460971112477
0.8,Cars,DTD,EuroSAT,RESISC45,0.4603904986941922,0.298936170212766,0.1329629629629629,0.1765637371338083,0.309047619047619,0.3755163727959698,0.1759373079287031
0.8500000000000001,Cars,DTD,EuroSAT,RESISC45,0.3877627160800895,0.2563829787234042,0.1188888888888888,0.1463182897862232,0.2501587301587301,0.3155163727959698,0.1823524892440073
0.9,Cars,DTD,EuroSAT,RESISC45,0.3079219002611615,0.2111702127659574,0.1137037037037037,0.1133808392715756,0.1915873015873015,0.2541561712846347,0.1773202212661339
0.95,Cars,DTD,EuroSAT,RESISC45,0.2290759855739335,0.1920212765957447,0.1144444444444444,0.0840063341250989,0.1436507936507936,0.1970277078085642,0.1689074984634296
1.0,Cars,DTD,EuroSAT,RESISC45,0.1560751150354433,0.1638297872340425,0.1048148148148148,0.064528899445764,0.1025396825396825,0.1483123425692695,0.1546558082360172
0.0,Cars,DTD,EuroSAT,SUN397,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
0.05,Cars,DTD,EuroSAT,SUN397,0.5435891058326079,0.4069148936170212,0.2329629629629629,0.2667458432304038,0.4547619047619047,0.6142569269521411,0.0900046097111247
0.1,Cars,DTD,EuroSAT,SUN397,0.5519214028105957,0.4143617021276595,0.257037037037037,0.2721298495645289,0.4644444444444444,0.6197984886649874,0.091118623232944
0.15,Cars,DTD,EuroSAT,SUN397,0.5627409526178336,0.426063829787234,0.2907407407407407,0.2794932699920823,0.4763492063492063,0.6276070528967255,0.0927320221266134
0.2,Cars,DTD,EuroSAT,SUN397,0.5733117771421465,0.4404255319148936,0.3674074074074074,0.2836104513064133,0.493015873015873,0.636272040302267,0.0950368776889981
0.25,Cars,DTD,EuroSAT,SUN397,0.587240392985947,0.451595744680851,0.4159259259259259,0.2866983372921615,0.5026984126984126,0.6439294710327456,0.0978411186232329
0.3,Cars,DTD,EuroSAT,SUN397,0.6006715582638975,0.4654255319148936,0.4525925925925926,0.2889944576405384,0.5123809523809524,0.6500755667506297,0.1013368162261831
0.35,Cars,DTD,EuroSAT,SUN397,0.6111180201467479,0.4797872340425532,0.4848148148148148,0.2900237529691211,0.5120634920634921,0.6508816120906801,0.1035648432698217
0.4,Cars,DTD,EuroSAT,SUN397,0.6178336027857232,0.4978723404255319,0.5085185185185185,0.2871733966745843,0.5117460317460317,0.6461460957178842,0.1030654578979717
0.45,Cars,DTD,EuroSAT,SUN397,0.6240517348588484,0.5053191489361702,0.5207407407407407,0.2815518606492478,0.5119047619047619,0.6412090680100756,0.0999154886293792
0.5,Cars,DTD,EuroSAT,SUN397,0.6257928118393234,0.5101063829787233,0.5140740740740741,0.2768804433887569,0.5028571428571429,0.6324937027707809,0.0960740626920712
0.55,Cars,DTD,EuroSAT,SUN397,0.6234299216515359,0.5111702127659574,0.502962962962963,0.2708630245447347,0.490952380952381,0.6220151133501259,0.0899277811923786
0.6000000000000001,Cars,DTD,EuroSAT,SUN397,0.6169630642954856,0.5138297872340426,0.4774074074074074,0.2660332541567696,0.4709523809523809,0.6077581863979848,0.0835894283958205
0.65,Cars,DTD,EuroSAT,SUN397,0.6045268001492352,0.4978723404255319,0.4022222222222222,0.2547110055423595,0.4393650793650793,0.5887153652392947,0.0796711739397664
0.7000000000000001,Cars,DTD,EuroSAT,SUN397,0.5825146126103719,0.4845744680851064,0.29,0.2412509897070467,0.392063492063492,0.5638790931989924,0.083358942839582
0.75,Cars,DTD,EuroSAT,SUN397,0.5435891058326079,0.4579787234042553,0.1862962962962963,0.2228820269200316,0.3296825396825397,0.5309319899244332,0.1093269821757836
0.8,Cars,DTD,EuroSAT,SUN397,0.4786718069891804,0.4207446808510638,0.1211111111111111,0.1981789390340459,0.2703174603174603,0.4933501259445844,0.1261524277811923
0.8500000000000001,Cars,DTD,EuroSAT,SUN397,0.4025618704141276,0.3835106382978723,0.0914814814814814,0.1699129057798891,0.2173015873015873,0.4414609571788413,0.1290719114935464
0.9,Cars,DTD,EuroSAT,SUN397,0.3223479666708121,0.3361702127659574,0.0692592592592592,0.1405384006334125,0.1766666666666666,0.3811586901763224,0.1276121696373694
0.95,Cars,DTD,EuroSAT,SUN397,0.2408904365128715,0.2920212765957446,0.0681481481481481,0.1189231987331749,0.1369841269841269,0.3195465994962216,0.1238475722188076
1.0,Cars,DTD,EuroSAT,SUN397,0.1668946648426812,0.2537234042553191,0.0814814814814814,0.095882818685669,0.1071428571428571,0.2525944584382871,0.1216579594345421
0.0,Cars,DTD,EuroSAT,SVHN,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
