scaling_factor,dataset:0,dataset:1,dataset:2,dataset:3,dataset:4,dataset:5,dataset:6,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
0.0,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.05,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5452058201716204,0.4095744680851064,0.23814814814814814,0.2804433887569279,0.46714285714285714,0.6160201511335013,0.09668869084204057
0.1,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5565228205447084,0.42872340425531913,0.2885185185185185,0.3011084718923199,0.5025396825396825,0.6263979848866499,0.11539643515673018
0.15000000000000002,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5684616341251089,0.44574468085106383,0.3874074074074074,0.33079968329374504,0.5428571428571428,0.6360705289672544,0.15162108174554395
0.2,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5828877005347594,0.46063829787234045,0.4551851851851852,0.36033254156769595,0.5815873015873015,0.6402518891687657,0.21093269821757837
0.25,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5925879865688347,0.46861702127659577,0.48592592592592593,0.3817102137767221,0.613015873015873,0.6358186397984886,0.3234480639213276
0.30000000000000004,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5969406790200223,0.4601063829787234,0.48962962962962964,0.3979414093428345,0.626031746031746,0.6220654911838791,0.42263368162261833
0.35000000000000003,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5964432284541724,0.4521276595744681,0.41185185185185186,0.402375296912114,0.6225396825396825,0.6058942065491184,0.4183312845728334
0.4,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5893545578908096,0.4329787234042553,0.35777777777777775,0.39778305621536025,0.5955555555555555,0.5834760705289672,0.3786877688998156
0.45,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5728143265762965,0.39787234042553193,0.2748148148148148,0.3784639746634996,0.5260317460317461,0.5523425692695214,0.32794253226797787
0.5,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5447083696057704,0.3638297872340426,0.18555555555555556,0.3409342834520982,0.43603174603174605,0.5102770780856423,0.28534111862323297
0.55,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.48874518094764335,0.3101063829787234,0.13703703703703704,0.2951702296120348,0.32206349206349205,0.4470025188916877,0.2512676705593116
0.6000000000000001,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.4098992662604154,0.2632978723404255,0.13148148148148148,0.24885193982581155,0.22111111111111112,0.36574307304785897,0.2264520590043024
0.65,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.32657629648053726,0.21223404255319148,0.11888888888888889,0.20625494853523357,0.15365079365079365,0.26957178841309826,0.20463275968039335
0.7000000000000001,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.23666210670314639,0.17819148936170212,0.11037037037037037,0.1653206650831354,0.1034920634920635,0.1842317380352645,0.17839582052858022
0.75,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.12386519089665464,0.13829787234042554,0.11481481481481481,0.12723673792557402,0.06841269841269841,0.11249370277078086,0.15772894898586357
0.8,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.057206815072752146,0.10851063829787234,0.11777777777777777,0.10102929532858274,0.06396825396825397,0.059042821158690174,0.1383681622618316
0.8500000000000001,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.019276209426688222,0.08829787234042553,0.12037037037037036,0.08590657165479018,0.052698412698412696,0.029168765743073047,0.1153580208973571
0.9,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.008456659619450317,0.07180851063829788,0.11370370370370371,0.07173396674584323,0.04587301587301587,0.015818639798488666,0.10686846957590658
0.9500000000000001,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.007088670563362766,0.06542553191489361,0.11259259259259259,0.06809184481393507,0.04492063492063492,0.009672544080604533,0.1255377996312231
1.0,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.00559631886581271,0.04840425531914894,0.08592592592592592,0.05946159936658749,0.03,0.0072544080604534005,0.14293945912722802
