scaling_factor,k,dataset:0,dataset:1,dataset:2,dataset:3,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
0.0,0.25,Cars,DTD,EuroSAT,GTSRB,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
0.25,0.25,Cars,DTD,EuroSAT,GTSRB,0.5415993035692078,0.4106382978723404,0.2277777777777777,0.2781472684085511,0.4547619047619047,0.6134508816120907,0.0900814382298709
0.5,0.25,Cars,DTD,EuroSAT,GTSRB,0.5480661609252581,0.426595744680851,0.2407407407407407,0.308867775138559,0.466031746031746,0.6164735516372796,0.0923094652735095
0.75,0.25,Cars,DTD,EuroSAT,GTSRB,0.5469468971520955,0.4484042553191489,0.2514814814814815,0.3458432304038005,0.4788888888888888,0.6184886649874055,0.0950368776889981
1.0,0.25,Cars,DTD,EuroSAT,GTSRB,0.547568710359408,0.475531914893617,0.3133333333333333,0.3799683293745051,0.4923809523809523,0.6167254408060453,0.0996465888137676
0.0,0.5,Cars,DTD,EuroSAT,GTSRB,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
0.25,0.5,Cars,DTD,EuroSAT,GTSRB,0.545330182813083,0.4191489361702127,0.2462962962962963,0.2996832937450515,0.4619047619047619,0.6148110831234257,0.0932314074984634
0.5,0.5,Cars,DTD,EuroSAT,GTSRB,0.5565228205447084,0.4484042553191489,0.3533333333333333,0.3572446555819477,0.4834920634920635,0.6232241813602015,0.1021819299323909
0.75,0.5,Cars,DTD,EuroSAT,GTSRB,0.5667205571446338,0.4856382978723404,0.447037037037037,0.4134600158353127,0.5015873015873016,0.6220151133501259,0.1197372464658881
1.0,0.5,Cars,DTD,EuroSAT,GTSRB,0.5665961945031712,0.5170212765957447,0.5003703703703704,0.4675376088677751,0.5085714285714286,0.6045340050377834,0.1318377381684081
0.0,0.75,Cars,DTD,EuroSAT,GTSRB,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
0.25,0.75,Cars,DTD,EuroSAT,GTSRB,0.5449570948886955,0.4159574468085106,0.2511111111111111,0.2974663499604117,0.4628571428571428,0.6147607052896725,0.0927320221266134
0.5,0.75,Cars,DTD,EuroSAT,GTSRB,0.5565228205447084,0.4446808510638297,0.3655555555555556,0.3501979414093428,0.4871428571428571,0.6243828715365239,0.1010679164105716
0.75,0.75,Cars,DTD,EuroSAT,GTSRB,0.5628653152592961,0.4702127659574468,0.4640740740740741,0.4118764845605701,0.5103174603174603,0.6235264483627204,0.1149354640442532
1.0,0.75,Cars,DTD,EuroSAT,GTSRB,0.5653525680885462,0.5026595744680851,0.512962962962963,0.4693586698337292,0.5182539682539683,0.6107304785894206,0.1249231714812538
0.0,1.0,Cars,DTD,EuroSAT,GTSRB,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
0.25,1.0,Cars,DTD,EuroSAT,GTSRB,0.544584006964308,0.4138297872340425,0.2444444444444444,0.2909738717339667,0.4593650793650793,0.6139546599496222,0.0922326367547633
0.5,1.0,Cars,DTD,EuroSAT,GTSRB,0.5563984579032458,0.4377659574468085,0.33,0.3369754552652415,0.4798412698412698,0.6214105793450881,0.0978411186232329
0.75,1.0,Cars,DTD,EuroSAT,GTSRB,0.5646063922397712,0.4574468085106383,0.4407407407407407,0.3859857482185273,0.5023809523809524,0.6224181360201512,0.1086355255070682
1.0,1.0,Cars,DTD,EuroSAT,GTSRB,0.5705757990299714,0.4904255319148936,0.5025925925925926,0.4423594615993665,0.5158730158730159,0.6176826196473552,0.1210817455439459
0.0,0.25,Cars,DTD,EuroSAT,RESISC45,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
0.25,0.25,Cars,DTD,EuroSAT,RESISC45,0.5401069518716578,0.4101063829787234,0.2318518518518518,0.2704671417260491,0.463968253968254,0.6142065491183879,0.089658881376767
0.5,0.25,Cars,DTD,EuroSAT,RESISC45,0.5450814575301579,0.4335106382978723,0.2633333333333333,0.279889152810768,0.4976190476190476,0.6208564231738035,0.0905039950829748
0.75,0.25,Cars,DTD,EuroSAT,RESISC45,0.5427185673423703,0.4601063829787234,0.3118518518518518,0.292319873317498,0.5377777777777778,0.6219647355163728,0.0915411800860479
1.0,0.25,Cars,DTD,EuroSAT,RESISC45,0.5325208307424449,0.4845744680851064,0.4007407407407407,0.300633412509897,0.5825396825396826,0.6164231738035264,0.0916948371235402
0.0,0.5,Cars,DTD,EuroSAT,RESISC45,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
0.25,0.5,Cars,DTD,EuroSAT,RESISC45,0.5474443477179455,0.4207446808510638,0.2637037037037037,0.2742676167854315,0.4793650793650794,0.6181360201511334,0.091118623232944
0.5,0.5,Cars,DTD,EuroSAT,RESISC45,0.5582638975251835,0.449468085106383,0.3925925925925926,0.2856690419635788,0.5380952380952381,0.6264987405541562,0.094499078057775
0.75,0.5,Cars,DTD,EuroSAT,RESISC45,0.5669692824275587,0.4898936170212766,0.4962962962962963,0.2993665874901029,0.5944444444444444,0.6261460957178842,0.1000691456668715
1.0,0.5,Cars,DTD,EuroSAT,RESISC45,0.5628653152592961,0.5117021276595745,0.5396296296296297,0.3066508313539192,0.6112698412698413,0.6104282115869017,0.1041026429010448
0.0,0.75,Cars,DTD,EuroSAT,RESISC45,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
0.25,0.75,Cars,DTD,EuroSAT,RESISC45,0.5466981718691705,0.4170212765957446,0.2648148148148148,0.2712589073634204,0.4803174603174603,0.6173803526448363,0.0909649661954517
0.5,0.75,Cars,DTD,EuroSAT,RESISC45,0.5597562492227335,0.4468085106382978,0.384074074074074,0.2798099762470308,0.5347619047619048,0.6262468513853904,0.0934618930547019
0.75,0.75,Cars,DTD,EuroSAT,RESISC45,0.5682129088421838,0.4829787234042553,0.5022222222222222,0.2894695170229612,0.5925396825396826,0.6278589420654912,0.0957667486170866
1.0,0.75,Cars,DTD,EuroSAT,RESISC45,0.5693321726153463,0.4973404255319149,0.5562962962962963,0.2936658749010293,0.621904761904762,0.6140050377833753,0.0959204056545789
0.0,1.0,Cars,DTD,EuroSAT,RESISC45,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
0.25,1.0,Cars,DTD,EuroSAT,RESISC45,0.5449570948886955,0.4143617021276595,0.2577777777777778,0.2688836104513064,0.4747619047619048,0.6153652392947103,0.0906576521204671
0.5,1.0,Cars,DTD,EuroSAT,RESISC45,0.5555279194130084,0.4404255319148936,0.3477777777777778,0.2771971496437054,0.5233333333333333,0.6241309823677582,0.0923478795328826
0.75,1.0,Cars,DTD,EuroSAT,RESISC45,0.5672180077104838,0.4664893617021277,0.4740740740740741,0.2866191607284243,0.5774603174603175,0.6292695214105793,0.0950368776889981
1.0,1.0,Cars,DTD,EuroSAT,RESISC45,0.572938689217759,0.4920212765957447,0.5451851851851852,0.2950118764845605,0.6207936507936508,0.6246851385390428,0.0990319606637984
0.0,0.25,Cars,DTD,EuroSAT,SUN397,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
0.25,0.25,Cars,DTD,EuroSAT,SUN397,0.5422211167765203,0.4111702127659574,0.2274074074074074,0.2693586698337292,0.4580952380952381,0.6154659949622167,0.0900046097111247
0.5,0.25,Cars,DTD,EuroSAT,SUN397,0.5486879741325705,0.4297872340425532,0.2381481481481481,0.2814726840855107,0.4722222222222222,0.6235264483627204,0.091118623232944
0.75,0.25,Cars,DTD,EuroSAT,SUN397,0.5514239522447457,0.4553191489361702,0.2537037037037037,0.295882818685669,0.4925396825396825,0.631183879093199,0.0929240934234787
1.0,0.25,Cars,DTD,EuroSAT,SUN397,0.5527919413008332,0.4781914893617021,0.32,0.3098970704671417,0.5084126984126984,0.6342065491183879,0.0957283343577135
0.0,0.5,Cars,DTD,EuroSAT,SUN397,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
0.25,0.5,Cars,DTD,EuroSAT,SUN397,0.5493097873398831,0.4186170212765957,0.2492592592592592,0.2755344418052256,0.4636507936507936,0.6194458438287154,0.0916564228641671
0.5,0.5,Cars,DTD,EuroSAT,SUN397,0.5633627658251461,0.450531914893617,0.3492592592592592,0.2919239904988123,0.4885714285714285,0.6331989924433249,0.0963813767670559
0.75,0.5,Cars,DTD,EuroSAT,SUN397,0.5781619201591842,0.4888297872340426,0.4288888888888889,0.2992082343626286,0.5061904761904762,0.640705289672544,0.1032575291948371
1.0,0.5,Cars,DTD,EuroSAT,SUN397,0.5838826016664594,0.525,0.4603703703703704,0.2943784639746635,0.5120634920634921,0.631183879093199,0.1052934849416103
0.0,0.75,Cars,DTD,EuroSAT,SUN397,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
0.25,0.75,Cars,DTD,EuroSAT,SUN397,0.5489366994154956,0.4170212765957446,0.2511111111111111,0.2730799683293745,0.4625396825396825,0.6189924433249371,0.0908497234173325
0.5,0.75,Cars,DTD,EuroSAT,SUN397,0.562119139410521,0.4436170212765957,0.3462962962962962,0.2864608076009501,0.4863492063492063,0.6314861460957178,0.094499078057775
0.75,0.75,Cars,DTD,EuroSAT,SUN397,0.5810222609128218,0.475531914893617,0.4411111111111111,0.2939825811559778,0.5093650793650794,0.64,0.0989551321450522
1.0,0.75,Cars,DTD,EuroSAT,SUN397,0.5915930854371347,0.5106382978723404,0.4833333333333333,0.2885193982581156,0.5193650793650794,0.6337027707808565,0.1023355869698832
0.0,1.0,Cars,DTD,EuroSAT,SUN397,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
0.25,1.0,Cars,DTD,EuroSAT,SUN397,0.546822534510633,0.4132978723404255,0.2459259259259259,0.2707046714172605,0.4598412698412698,0.616977329974811,0.0905808236017209
0.5,1.0,Cars,DTD,EuroSAT,SUN397,0.562119139410521,0.4367021276595744,0.3122222222222222,0.2818685669041963,0.4793650793650794,0.6287657430730479,0.0940381069452981
0.75,1.0,Cars,DTD,EuroSAT,SUN397,0.5764208431787091,0.4632978723404255,0.41,0.2904196357878068,0.4985714285714285,0.6386901763224181,0.0981100184388445
1.0,1.0,Cars,DTD,EuroSAT,SUN397,0.5913443601542097,0.5026595744680851,0.4651851851851852,0.2883610451306413,0.5109523809523809,0.6377329974811083,0.1041410571604179
0.0,0.25,Cars,DTD,EuroSAT,SVHN,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
0.25,0.25,Cars,DTD,EuroSAT,SVHN,0.5401069518716578,0.4095744680851064,0.2266666666666666,0.2703879651623119,0.4531746031746032,0.6127959697732998,0.0924631223110018
0.5,0.25,Cars,DTD,EuroSAT,SVHN,0.544584006964308,0.4276595744680851,0.2414814814814815,0.2851939825811559,0.4650793650793651,0.6160201511335013,0.0999154886293792
0.75,0.25,Cars,DTD,EuroSAT,SVHN,0.5420967541350579,0.4531914893617021,0.2555555555555555,0.3034045922406967,0.4784126984126984,0.6194962216624685,0.1125537799631223
1.0,0.25,Cars,DTD,EuroSAT,SVHN,0.5377440616838701,0.4824468085106383,0.2751851851851852,0.3180522565320665,0.4911111111111111,0.6159697732997481,0.1364090350338045
0.0,0.5,Cars,DTD,EuroSAT,SVHN,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
