scaling_factor,k,dataset:0,dataset:1,dataset:2,dataset:3,dataset:4,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
0.0,0.25,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,0.25,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.5404800397960453,0.4117021276595745,0.23296296296296296,0.2768012668250198,0.46444444444444444,0.6140050377833753,0.09061923786109403
0.5,0.25,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.545330182813083,0.43138297872340425,0.2644444444444444,0.3020585906571655,0.4946031746031746,0.6206045340050378,0.09300092194222495
0.75,0.25,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.5419723914935953,0.4563829787234043,0.3111111111111111,0.332541567695962,0.533015873015873,0.6237783375314861,0.09665027658266749
1.0,0.25,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.5333913692326825,0.47712765957446807,0.42407407407407405,0.3688044338875693,0.5747619047619048,0.616977329974811,0.10102950215119852
0.0,0.5,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,0.5,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.5454545454545454,0.42127659574468085,0.2577777777777778,0.2934283452098179,0.4803174603174603,0.6171788413098237,0.0940381069452981
0.5,0.5,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.5556522820544708,0.449468085106383,0.38814814814814813,0.3397466349960412,0.533968253968254,0.6251889168765743,0.10464044253226798
0.75,0.5,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.5614973262032086,0.4808510638297872,0.49148148148148146,0.3953285827395091,0.589047619047619,0.6262468513853904,0.12357867240319606
1.0,0.5,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.5542842929983833,0.4973404255319149,0.5444444444444444,0.4399841646872526,0.6096825396825397,0.6073047858942066,0.1368700061462815
0.0,0.75,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,0.75,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.5449570948886955,0.41702127659574467,0.26037037037037036,0.2892319873317498,0.4780952380952381,0.6161209068010075,0.09357713583282114
0.5,0.75,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.5560253699788583,0.4425531914893617,0.3774074074074074,0.32913697545526527,0.5287301587301587,0.6260453400503778,0.10229717271051014
0.75,0.75,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.5607511503544336,0.46808510638297873,0.4962962962962963,0.37973079968329376,0.580952380952381,0.6272040302267002,0.11697141979102643
1.0,0.75,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.5612486009202835,0.48936170212765956,0.5685185185185185,0.42604908946951703,0.6180952380952381,0.6145088161209068,0.13087738168408114
0.0,1.0,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,1.0,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.5452058201716204,0.4122340425531915,0.25074074074074076,0.284639746634996,0.47333333333333333,0.6155163727959698,0.09269360786724032
0.5,1.0,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.5531650292252207,0.4329787234042553,0.33444444444444443,0.3175771971496437,0.516984126984127,0.6239294710327455,0.09991548862937923
0.75,1.0,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.5632384031836836,0.45851063829787236,0.46555555555555556,0.355027711797308,0.5682539682539682,0.6284130982367758,0.11113245236631837
1.0,1.0,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.5678398209177963,0.4776595744680851,0.5488888888888889,0.3983372921615202,0.6111111111111112,0.6250377833753149,0.12469268592501537
0.0,0.25,Cars,DTD,EuroSAT,GTSRB,SUN397,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,0.25,Cars,DTD,EuroSAT,GTSRB,SUN397,0.5427185673423703,0.4106382978723404,0.22777777777777777,0.27767220902612827,0.45825396825396825,0.6154156171284635,0.09077289489858635
0.5,0.25,Cars,DTD,EuroSAT,GTSRB,SUN397,0.5479417982837955,0.4276595744680851,0.2374074074074074,0.30435471100554234,0.4734920634920635,0.6251889168765743,0.0938460356484327
0.75,0.25,Cars,DTD,EuroSAT,GTSRB,SUN397,0.5504290511130456,0.45159574468085106,0.2511111111111111,0.3388756927949327,0.49253968253968256,0.6319395465994962,0.09761063306699447
1.0,0.25,Cars,DTD,EuroSAT,GTSRB,SUN397,0.5499316005471956,0.475,0.31592592592592594,0.36603325415676957,0.5074603174603175,0.63455919395466,0.10245082974800246
0.0,0.5,Cars,DTD,EuroSAT,GTSRB,SUN397,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,0.5,Cars,DTD,EuroSAT,GTSRB,SUN397,0.546076358661858,0.41702127659574467,0.24333333333333335,0.29643705463182896,0.46555555555555556,0.6182367758186398,0.0936539643515673
0.5,0.5,Cars,DTD,EuroSAT,GTSRB,SUN397,0.5561497326203209,0.44680851063829785,0.35185185185185186,0.3466349960411718,0.49238095238095236,0.6314357682619647,0.10417947141979103
0.75,0.5,Cars,DTD,EuroSAT,GTSRB,SUN397,0.5654769307300087,0.47925531914893615,0.4325925925925926,0.39936658749010295,0.5165079365079365,0.6370277078085642,0.12115857406269206
1.0,0.5,Cars,DTD,EuroSAT,GTSRB,SUN397,0.5669692824275587,0.5101063829787233,0.4874074074074074,0.44394299287410927,0.5236507936507937,0.6285138539042822,0.12672864167178857
0.0,0.75,Cars,DTD,EuroSAT,GTSRB,SUN397,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,0.75,Cars,DTD,EuroSAT,GTSRB,SUN397,0.545578908096008,0.4154255319148936,0.24555555555555555,0.2931908155186065,0.46460317460317463,0.6171788413098237,0.09342347879532882
0.5,0.75,Cars,DTD,EuroSAT,GTSRB,SUN397,0.5583882601666459,0.4377659574468085,0.3466666666666667,0.3409342834520982,0.49174603174603176,0.6293702770780857,0.10260448678549478
0.75,0.75,Cars,DTD,EuroSAT,GTSRB,SUN397,0.5670936450690213,0.46702127659574466,0.4414814814814815,0.39311163895486934,0.5196825396825396,0.6356675062972292,0.11823909035033804
1.0,0.75,Cars,DTD,EuroSAT,GTSRB,SUN397,0.5703270737470464,0.49840425531914895,0.49925925925925924,0.44228028503562944,0.5346031746031746,0.6318387909319899,0.12749692685925015
0.0,1.0,Cars,DTD,EuroSAT,GTSRB,SUN397,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,1.0,Cars,DTD,EuroSAT,GTSRB,SUN397,0.546076358661858,0.4122340425531915,0.24037037037037037,0.2876484560570071,0.46190476190476193,0.6164735516372796,0.0927320221266134
0.5,1.0,Cars,DTD,EuroSAT,GTSRB,SUN397,0.5572689963934834,0.43457446808510636,0.3025925925925926,0.32604908946951705,0.4831746031746032,0.6267002518891688,0.10029963122311002
0.75,1.0,Cars,DTD,EuroSAT,GTSRB,SUN397,0.5679641835592588,0.4563829787234043,0.4192592592592593,0.37133808392715756,0.5088888888888888,0.6359697732997481,0.11382145052243393
1.0,1.0,Cars,DTD,EuroSAT,GTSRB,SUN397,0.5799029971396592,0.48404255319148937,0.4825925925925926,0.4150435471100554,0.5288888888888889,0.6387405541561713,0.12811155500921942
0.0,0.25,Cars,DTD,EuroSAT,GTSRB,SVHN,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,0.25,Cars,DTD,EuroSAT,GTSRB,SVHN,0.5401069518716578,0.4101063829787234,0.22740740740740742,0.27909738717339666,0.45444444444444443,0.6128967254408061,0.09307775046097111
0.5,0.25,Cars,DTD,EuroSAT,GTSRB,SVHN,0.5459519960203955,0.425531914893617,0.23925925925925925,0.31092636579572447,0.4668253968253968,0.6168261964735516,0.10275814382298709
0.75,0.25,Cars,DTD,EuroSAT,GTSRB,SVHN,0.5447083696057704,0.44840425531914896,0.24333333333333335,0.348535233570863,0.47873015873015873,0.6204534005037783,0.1203518746158574
1.0,0.25,Cars,DTD,EuroSAT,GTSRB,SVHN,0.5371222484765577,0.46861702127659577,0.25925925925925924,0.3859065716547902,0.4893650793650794,0.6163224181360202,0.15296558082360173
0.0,0.5,Cars,DTD,EuroSAT,GTSRB,SVHN,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,0.5,Cars,DTD,EuroSAT,GTSRB,SVHN,0.5435891058326079,0.41648936170212764,0.2437037037037037,0.3004750593824228,0.4606349206349206,0.6148110831234257,0.10072218807621389
0.5,0.5,Cars,DTD,EuroSAT,GTSRB,SVHN,0.5542842929983833,0.4430851063829787,0.3388888888888889,0.35494853523357084,0.4801587301587302,0.6215617128463476,0.13679317762753535
0.75,0.5,Cars,DTD,EuroSAT,GTSRB,SVHN,0.5563984579032458,0.47606382978723405,0.4362962962962963,0.4154394299287411,0.4992063492063492,0.6220151133501259,0.22864167178856792
1.0,0.5,Cars,DTD,EuroSAT,GTSRB,SVHN,0.5481905235667206,0.5037234042553191,0.4625925925925926,0.47252573238321455,0.4996825396825397,0.6062972292191435,0.40888137676705594
0.0,0.75,Cars,DTD,EuroSAT,GTSRB,SVHN,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,0.75,Cars,DTD,EuroSAT,GTSRB,SVHN,0.5447083696057704,0.41436170212765955,0.24814814814814815,0.2978622327790974,0.4607936507936508,0.6142569269521411,0.10141364474492932
0.5,0.75,Cars,DTD,EuroSAT,GTSRB,SVHN,0.5567715458276333,0.4398936170212766,0.3466666666666667,0.3479809976247031,0.483968253968254,0.6205541561712846,0.14055777504609712
0.75,0.75,Cars,DTD,EuroSAT,GTSRB,SVHN,0.5639845790324587,0.4654255319148936,0.45555555555555555,0.40387965162311956,0.5009523809523809,0.6215113350125945,0.24197141979102643
1.0,0.75,Cars,DTD,EuroSAT,GTSRB,SVHN,0.560875512995896,0.4819148936170213,0.4885185185185185,0.4615993665874901,0.5109523809523809,0.6104785894206549,0.4610863552550707
0.0,1.0,Cars,DTD,EuroSAT,GTSRB,SVHN,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,1.0,Cars,DTD,EuroSAT,GTSRB,SVHN,0.5440865563984579,0.4122340425531915,0.2411111111111111,0.29081551860649246,0.4595238095238095,0.6143576826196474,0.0986478180700676
0.5,1.0,Cars,DTD,EuroSAT,GTSRB,SVHN,0.5555279194130084,0.43351063829787234,0.30592592592592593,0.334916864608076,0.47714285714285715,0.619345088161209,0.12599877074370006
0.75,1.0,Cars,DTD,EuroSAT,GTSRB,SVHN,0.5634871284666086,0.4553191489361702,0.42592592592592593,0.379889152810768,0.49936507936507935,0.6219647355163728,0.19080362630608483
1.0,1.0,Cars,DTD,EuroSAT,GTSRB,SVHN,0.5694565352568088,0.4718085106382979,0.4762962962962963,0.4350752177355503,0.5158730158730159,0.617632241813602,0.3499923171481254
0.0,0.25,Cars,DTD,EuroSAT,RESISC45,SUN397,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,0.25,Cars,DTD,EuroSAT,RESISC45,SUN397,0.5413505782862827,0.4117021276595745,0.23074074074074075,0.26848772763262074,0.466031746031746,0.6164231738035264,0.09038875230485556
0.5,0.25,Cars,DTD,EuroSAT,RESISC45,SUN397,0.547319985076483,0.43138297872340425,0.2625925925925926,0.27600950118764844,0.5026984126984126,0.6253904282115869,0.09142593730792871
0.75,0.25,Cars,DTD,EuroSAT,RESISC45,SUN397,0.5434647431911453,0.4574468085106383,0.30592592592592593,0.28519398258115597,0.5471428571428572,0.6327959697732998,0.09353872157344806
1.0,0.25,Cars,DTD,EuroSAT,RESISC45,SUN397,0.5336400945156076,0.47127659574468084,0.3985185185185185,0.28939034045922407,0.5914285714285714,0.630831234256927,0.09442224953902889
