scaling_factor,k,dataset:0,dataset:1,dataset:2,dataset:3,dataset:4,dataset:5,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
0.0,0.25,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,0.25,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.5404800397960453,0.4122340425531915,0.23074074074074075,0.276326207442597,0.4649206349206349,0.6166750629722922,0.0910417947141979
0.5,0.25,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.547319985076483,0.4319148936170213,0.2614814814814815,0.29722882026920033,0.5022222222222222,0.627455919395466,0.09442224953902889
0.75,0.25,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.5439621937569954,0.4553191489361702,0.31222222222222223,0.3254948535233571,0.5442857142857143,0.6336523929471033,0.09830208973570989
1.0,0.25,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.535008083571695,0.46861702127659577,0.412962962962963,0.3527315914489311,0.5842857142857143,0.6306801007556675,0.10241241548862938
0.0,0.5,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,0.5,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.5454545454545454,0.4196808510638298,0.2514814814814815,0.29073634204275534,0.4822222222222222,0.6202518891687657,0.09430700676090965
0.5,0.5,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.5588857107324959,0.4452127659574468,0.37666666666666665,0.3303246239113222,0.5361904761904762,0.6334508816120907,0.10675322679778734
0.75,0.5,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.5641089416739211,0.4787234042553192,0.47,0.38068091844813934,0.5917460317460318,0.6378841309823677,0.12473110018438845
1.0,0.5,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.5603780624300461,0.49042553191489363,0.5166666666666667,0.42003167062549485,0.6106349206349206,0.6252392947103275,0.1309157959434542
0.0,0.75,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,0.75,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.545330182813083,0.41595744680851066,0.25666666666666665,0.2868566904196358,0.47873015873015873,0.6183879093198993,0.09369237861094037
0.5,0.75,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.558636985449571,0.4377659574468085,0.3648148148148148,0.31979414093428343,0.5295238095238095,0.6312342569269521,0.10352642901044867
0.75,0.75,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.5678398209177963,0.46117021276595743,0.4714814814814815,0.3612826603325416,0.5804761904761905,0.639647355163728,0.11873847572218807
1.0,0.75,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.5684616341251089,0.48138297872340424,0.5407407407407407,0.4009501187648456,0.6201587301587301,0.6339546599496222,0.12868776889981562
0.0,1.0,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,1.0,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.545330182813083,0.41117021276595744,0.24555555555555555,0.28210609659540775,0.47365079365079366,0.6172292191435769,0.09300092194222495
0.5,1.0,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.5542842929983833,0.4319148936170213,0.3162962962962963,0.30902612826603326,0.5179365079365079,0.6288664987405541,0.10072218807621389
0.75,1.0,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.5670936450690213,0.4574468085106383,0.4444444444444444,0.3418844022169438,0.5666666666666667,0.6397481108312343,0.11385986478180701
1.0,1.0,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.572689963934834,0.47393617021276596,0.5151851851851852,0.38044338875692796,0.6104761904761905,0.6410075566750629,0.1283420405654579
0.0,0.25,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,0.25,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.5394851386643452,0.4117021276595745,0.2311111111111111,0.2779889152810768,0.4634920634920635,0.6138035264483627,0.09342347879532882
0.5,0.25,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.5435891058326079,0.4329787234042553,0.2607407407407407,0.3038796516231196,0.4946031746031746,0.6214609571788413,0.10337277197295636
0.75,0.25,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.5368735231936327,0.4531914893617021,0.2966666666666667,0.3356294536817102,0.5301587301587302,0.6246347607052897,0.12092808850645359
1.0,0.25,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.5261783360278572,0.4675531914893617,0.3448148148148148,0.36896278701504354,0.5703174603174603,0.6160705289672544,0.1539643515673018
0.0,0.5,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,0.5,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.5450814575301579,0.41702127659574467,0.25333333333333335,0.2947743467933492,0.47714285714285715,0.6173803526448363,0.1003380454824831
0.5,0.5,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.5555279194130084,0.44468085106382976,0.35962962962962963,0.3423594615993666,0.5277777777777778,0.6245340050377833,0.1354102642901045
0.75,0.5,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.5607511503544336,0.474468085106383,0.4666666666666667,0.4,0.5757142857142857,0.6257430730478589,0.23167639827904118
1.0,0.5,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.5551548314886208,0.4888297872340426,0.4962962962962963,0.4486144101346002,0.5907936507936508,0.6059949622166246,0.439920098340504
