scaling_factor,k,dataset:0,dataset:1,dataset:2,dataset:3,dataset:4,dataset:5,dataset:6,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
0.0,0.25,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,0.25,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5398582265887327,0.41117021276595744,0.23185185185185186,0.2770387965162312,0.46476190476190476,0.6164231738035264,0.09380762138905963
0.5,0.25,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5457032707374705,0.4319148936170213,0.25666666666666665,0.3004750593824228,0.4984126984126984,0.6262468513853904,0.10425629993853719
0.75,0.25,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5409774903618952,0.4521276595744681,0.29185185185185186,0.32889944576405383,0.5414285714285715,0.6323425692695214,0.12357867240319606
1.0,0.25,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5311528416863575,0.4643617021276596,0.3337037037037037,0.3593824228028504,0.5773015873015873,0.6307304785894207,0.1545021511985249
0.0,0.5,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,0.5,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5457032707374705,0.41808510638297874,0.24851851851851853,0.2922406967537609,0.4792063492063492,0.6190428211586901,0.10006914566687154
0.5,0.5,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5577664469593334,0.44574468085106383,0.352962962962963,0.3348376880443389,0.5315873015873016,0.6305289672544081,0.1328365089121082
0.75,0.5,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5639845790324587,0.46914893617021275,0.45185185185185184,0.38677751385589865,0.58,0.6347103274559194,0.20847418561770129
1.0,0.5,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5572689963934834,0.47606382978723405,0.4774074074074074,0.4266825019794141,0.594920634920635,0.6236272040302266,0.35729102642901045
0.0,0.75,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,0.75,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5448327322472329,0.4148936170212766,0.25407407407407406,0.288756927949327,0.4776190476190476,0.6182367758186398,0.10099108789182544
0.5,0.75,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5551548314886208,0.43457446808510636,0.35444444444444445,0.32367379255740303,0.5255555555555556,0.6286649874055416,0.13379686539643515
0.75,0.75,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5649794801641587,0.45797872340425533,0.46185185185185185,0.36611243072050675,0.5747619047619048,0.6363727959697733,0.20743700061462814
1.0,0.75,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5654769307300087,0.4765957446808511,0.5151851851851852,0.40292953285827393,0.6085714285714285,0.6288161209068011,0.35709895513214507
0.0,1.0,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,1.0,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5449570948886955,0.41117021276595744,0.24222222222222223,0.2849564528899446,0.4712698412698413,0.6167254408060453,0.09876306084818685
0.5,1.0,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5555279194130084,0.4319148936170213,0.3025925925925926,0.3133016627078385,0.5117460317460317,0.6273047858942066,0.12361708666256914
0.75,1.0,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5656012933714712,0.45159574468085106,0.43444444444444447,0.34679334916864607,0.5573015873015873,0.6360201511335013,0.17520743700061464
1.0,1.0,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5749284914811591,0.4723404255319149,0.49074074074074076,0.38163103721298497,0.6004761904761905,0.6371284634760706,0.2898740012292563
