task,finetune_mode,step,accuracy
Cars,standard,0,0.5365004352692451
Cars,lora,0,0.5365004352692451
Cars,l_lora,0,0.5365004352692451
Cars,standard,2000,0.8604651162790697
Cars,lora,2000,0.6683248352195
Cars,l_lora,2000,0.6254197239149359
DTD,standard,0,0.400531914893617
DTD,lora,0,0.400531914893617
DTD,l_lora,0,0.400531914893617
DTD,standard,2000,0.8101063829787234
DTD,lora,2000,0.5382978723404256
DTD,l_lora,2000,0.4574468085106383
EuroSAT,standard,0,0.21851851851851853
EuroSAT,lora,0,0.21851851851851853
EuroSAT,l_lora,0,0.21851851851851853
EuroSAT,standard,2000,0.9881481481481481
EuroSAT,lora,2000,0.9081481481481481
EuroSAT,l_lora,2000,0.5474074074074075
GTSRB,standard,0,0.26357878068091845
GTSRB,lora,0,0.26357878068091845
GTSRB,l_lora,0,0.26357878068091845
GTSRB,standard,2000,0.9840855106888361
GTSRB,lora,2000,0.6218527315914489
GTSRB,l_lora,2000,0.38463974663499606
RESISC45,standard,0,0.4479365079365079
RESISC45,lora,0,0.4479365079365079
RESISC45,l_lora,0,0.4479365079365079
RESISC45,standard,2000,0.9633333333333334
RESISC45,lora,2000,0.7638095238095238
RESISC45,l_lora,2000,0.6011111111111112
SUN397,standard,0,0.6108816120906801
SUN397,lora,0,0.6108816120906801
SUN397,l_lora,0,0.6108816120906801
SUN397,standard,2000,0.7852896725440806
SUN397,lora,2000,0.6612090680100756
SUN397,l_lora,2000,0.6370780856423174
SVHN,standard,0,0.08908266748617087
SVHN,lora,0,0.08908266748617087
SVHN,l_lora,0,0.08908266748617087
SVHN,standard,2000,0.9741472034419176
SVHN,lora,2000,0.8402350952673633
SVHN,l_lora,2000,0.5291948371235402
