task,finetune_mode,step,accuracy
Cars,standard,0,0.5365004352692451
Cars,lora,0,0.5365004352692451
Cars,l_lora,0,0.5365004352692451
Cars,standard,6000,0.8620818306180823
Cars,lora,6000,0.6953115284168636
Cars,l_lora,6000,0.6587489118268872
DTD,standard,0,0.400531914893617
DTD,lora,0,0.400531914893617
DTD,l_lora,0,0.400531914893617
DTD,standard,6000,0.8111702127659575
DTD,lora,6000,0.6409574468085106
DTD,l_lora,6000,0.5026595744680851
EuroSAT,standard,0,0.21851851851851853
EuroSAT,lora,0,0.21851851851851853
EuroSAT,l_lora,0,0.21851851851851853
EuroSAT,standard,6000,0.99
EuroSAT,lora,6000,0.9548148148148148
EuroSAT,l_lora,6000,0.8451851851851852
GTSRB,standard,0,0.26357878068091845
GTSRB,lora,0,0.26357878068091845
GTSRB,l_lora,0,0.26357878068091845
GTSRB,standard,6000,0.9861441013460016
GTSRB,lora,6000,0.8038004750593825
GTSRB,l_lora,6000,0.5391923990498813
RESISC45,standard,0,0.4479365079365079
RESISC45,lora,0,0.4479365079365079
RESISC45,l_lora,0,0.4479365079365079
RESISC45,standard,6000,0.9634920634920635
RESISC45,lora,6000,0.8584126984126984
RESISC45,l_lora,6000,0.709047619047619
SUN397,standard,0,0.6108816120906801
SUN397,lora,0,0.6108816120906801
SUN397,l_lora,0,0.6108816120906801
SUN397,standard,6000,0.7826196473551638
SUN397,lora,6000,0.6817128463476071
SUN397,l_lora,6000,0.6541561712846348
SVHN,standard,0,0.08908266748617087
SVHN,lora,0,0.08908266748617087
SVHN,l_lora,0,0.08908266748617087
SVHN,standard,6000,0.9768746158574063
SVHN,lora,6000,0.8879456054087277
SVHN,l_lora,6000,0.7753534111862324
