task:0,task:1,cosine_similarity
glue-cola,glue-cola,1.0
glue-cola,glue-mnli,0.1154746264219284
glue-cola,glue-mrpc,0.12461455911397934
glue-cola,glue-qqp,0.08394681662321091
glue-cola,glue-rte,0.08175794780254364
glue-cola,glue-sst2,0.10049475729465485
glue-cola,glue-stsb,0.06390509754419327
glue-mnli,glue-cola,0.1154746264219284
glue-mnli,glue-mnli,0.9999998807907104
glue-mnli,glue-mrpc,0.1136421412229538
glue-mnli,glue-qqp,0.10766637325286865
glue-mnli,glue-rte,0.1774783879518509
glue-mnli,glue-sst2,0.09953479468822479
glue-mnli,glue-stsb,0.14702670276165009
glue-mrpc,glue-cola,0.12461455911397934
glue-mrpc,glue-mnli,0.1136421412229538
glue-mrpc,glue-mrpc,0.9999999403953552
glue-mrpc,glue-qqp,0.2730060815811157
glue-mrpc,glue-rte,0.27228057384490967
glue-mrpc,glue-sst2,0.06347265094518661
glue-mrpc,glue-stsb,0.1149904876947403
glue-qqp,glue-cola,0.08394681662321091
glue-qqp,glue-mnli,0.10766637325286865
glue-qqp,glue-mrpc,0.2730060815811157
glue-qqp,glue-qqp,1.0000001192092896
glue-qqp,glue-rte,0.2254864126443863
glue-qqp,glue-sst2,0.057603273540735245
glue-qqp,glue-stsb,0.07995310425758362
glue-rte,glue-cola,0.08175794780254364
glue-rte,glue-mnli,0.1774783879518509
glue-rte,glue-mrpc,0.27228057384490967
glue-rte,glue-qqp,0.2254864126443863
glue-rte,glue-rte,0.9999998807907104
glue-rte,glue-sst2,0.044814229011535645
glue-rte,glue-stsb,0.11770372837781906
glue-sst2,glue-cola,0.10049475729465485
glue-sst2,glue-mnli,0.09953479468822479
glue-sst2,glue-mrpc,0.06347265094518661
glue-sst2,glue-qqp,0.057603273540735245
glue-sst2,glue-rte,0.044814229011535645
glue-sst2,glue-sst2,1.0
glue-sst2,glue-stsb,0.06331147253513336
glue-stsb,glue-cola,0.06390509754419327
glue-stsb,glue-mnli,0.14702670276165009
glue-stsb,glue-mrpc,0.1149904876947403
glue-stsb,glue-qqp,0.07995310425758362
glue-stsb,glue-rte,0.11770372837781906
glue-stsb,glue-sst2,0.06331147253513336
glue-stsb,glue-stsb,0.9999999403953552
