task:0,task:1,cosine_similarity
glue-cola,glue-cola,1.0
glue-cola,glue-mnli,0.1356833428144455
glue-cola,glue-mrpc,0.20617833733558655
glue-cola,glue-qqp,0.1009472906589508
glue-cola,glue-rte,0.0940985456109047
glue-cola,glue-sst2,0.28913062810897827
glue-cola,glue-stsb,0.08884349465370178
glue-mnli,glue-cola,0.1356833428144455
glue-mnli,glue-mnli,1.0
glue-mnli,glue-mrpc,0.08306039124727249
glue-mnli,glue-qqp,0.08777133375406265
glue-mnli,glue-rte,0.29582780599594116
glue-mnli,glue-sst2,0.17215703427791595
glue-mnli,glue-stsb,0.05969519540667534
glue-mrpc,glue-cola,0.20617833733558655
glue-mrpc,glue-mnli,0.08306039124727249
glue-mrpc,glue-mrpc,1.0000001192092896
glue-mrpc,glue-qqp,0.23333007097244263
glue-mrpc,glue-rte,0.28659674525260925
glue-mrpc,glue-sst2,0.11427874863147736
glue-mrpc,glue-stsb,0.13331884145736694
glue-qqp,glue-cola,0.1009472906589508
glue-qqp,glue-mnli,0.08777133375406265
glue-qqp,glue-mrpc,0.23333007097244263
glue-qqp,glue-qqp,1.0
glue-qqp,glue-rte,0.24866893887519836
glue-qqp,glue-sst2,0.06833218038082123
glue-qqp,glue-stsb,0.03195808082818985
glue-rte,glue-cola,0.0940985456109047
glue-rte,glue-mnli,0.29582780599594116
glue-rte,glue-mrpc,0.28659674525260925
glue-rte,glue-qqp,0.24866893887519836
glue-rte,glue-rte,1.0000001192092896
glue-rte,glue-sst2,0.04258938133716583
glue-rte,glue-stsb,0.09132517129182816
glue-sst2,glue-cola,0.28913062810897827
glue-sst2,glue-mnli,0.17215703427791595
glue-sst2,glue-mrpc,0.11427874863147736
glue-sst2,glue-qqp,0.06833218038082123
glue-sst2,glue-rte,0.04258938133716583
glue-sst2,glue-sst2,1.0000001192092896
glue-sst2,glue-stsb,0.10251101851463318
glue-stsb,glue-cola,0.08884349465370178
glue-stsb,glue-mnli,0.05969519540667534
glue-stsb,glue-mrpc,0.13331884145736694
glue-stsb,glue-qqp,0.03195808082818985
glue-stsb,glue-rte,0.09132517129182816
glue-stsb,glue-sst2,0.10251101851463318
glue-stsb,glue-stsb,1.0000001192092896
