task:0,task:1,cosine_similarity
glue-cola,glue-cola,1.0000001192092896
glue-cola,glue-mnli,0.28120535612106323
glue-cola,glue-mrpc,0.29838094115257263
glue-cola,glue-qqp,0.2086913138628006
glue-cola,glue-rte,0.24890896677970886
glue-cola,glue-sst2,0.4329124987125397
glue-cola,glue-stsb,0.27398350834846497
glue-mnli,glue-cola,0.28120535612106323
glue-mnli,glue-mnli,1.0000001192092896
glue-mnli,glue-mrpc,0.2432328462600708
glue-mnli,glue-qqp,0.23269669711589813
glue-mnli,glue-rte,0.30336013436317444
glue-mnli,glue-sst2,0.26325273513793945
glue-mnli,glue-stsb,0.2513101100921631
glue-mrpc,glue-cola,0.29838094115257263
glue-mrpc,glue-mnli,0.2432328462600708
glue-mrpc,glue-mrpc,1.0000001192092896
glue-mrpc,glue-qqp,0.31366169452667236
glue-mrpc,glue-rte,0.509358823299408
glue-mrpc,glue-sst2,0.2872752249240875
glue-mrpc,glue-stsb,0.3537299633026123
glue-qqp,glue-cola,0.2086913138628006
glue-qqp,glue-mnli,0.23269669711589813
glue-qqp,glue-mrpc,0.31366169452667236
glue-qqp,glue-qqp,1.0
glue-qqp,glue-rte,0.3153949975967407
glue-qqp,glue-sst2,0.19408710300922394
glue-qqp,glue-stsb,0.21832002699375153
glue-rte,glue-cola,0.24890896677970886
glue-rte,glue-mnli,0.30336013436317444
glue-rte,glue-mrpc,0.509358823299408
glue-rte,glue-qqp,0.3153949975967407
glue-rte,glue-rte,1.000000238418579
glue-rte,glue-sst2,0.24623766541481018
glue-rte,glue-stsb,0.3885468542575836
glue-sst2,glue-cola,0.4329124987125397
glue-sst2,glue-mnli,0.26325273513793945
glue-sst2,glue-mrpc,0.2872752249240875
glue-sst2,glue-qqp,0.19408710300922394
glue-sst2,glue-rte,0.24623766541481018
glue-sst2,glue-sst2,1.0
glue-sst2,glue-stsb,0.28264012932777405
glue-stsb,glue-cola,0.27398350834846497
glue-stsb,glue-mnli,0.2513101100921631
glue-stsb,glue-mrpc,0.3537299633026123
glue-stsb,glue-qqp,0.21832002699375153
glue-stsb,glue-rte,0.3885468542575836
glue-stsb,glue-sst2,0.28264012932777405
glue-stsb,glue-stsb,1.0
