dataset:0,dataset:1,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
glue-cola,glue-mnli,0.7046979865771812,0.6575,0.0,0.0,0.2851985559566787,0.0022935779816513763,
glue-cola,glue-mrpc,0.713326941514861,0.0,0.6666666666666666,0.0,0.0,0.0,
glue-cola,glue-qqp,0.6989453499520614,0.0,0.0,0.789375,0.0,0.0011467889908256881,
glue-cola,glue-rte,0.7018216682646213,0.0,0.0,0.0,0.776173285198556,0.0,
glue-cola,glue-sst2,0.6960690316395014,0.0,0.0,0.0,0.0,0.911697247706422,
glue-cola,glue-stsb,0.7171620325982742,0.0,0.0,0.0,0.0,0.0,0.8688129103675708
glue-mnli,glue-mrpc,0.0,0.655625,0.8333333333333334,0.0,0.10469314079422383,0.02981651376146789,
glue-mnli,glue-qqp,0.0,0.676875,0.0,0.7825,0.34296028880866425,0.0,
glue-mnli,glue-rte,0.0,0.6075,0.0,0.0,0.5884476534296029,0.0,
glue-mnli,glue-sst2,0.0,0.653125,0.0,0.0,0.22021660649819494,0.9243119266055045,
glue-mnli,glue-stsb,0.0,0.403125,0.0,0.0,0.0,0.0,0.8593399681262164
glue-mrpc,glue-qqp,0.0,0.0,0.5612745098039216,0.501875,0.0,0.0,
glue-mrpc,glue-rte,0.0,0.0,0.5171568627450981,0.0,0.1588447653429603,0.0,
glue-mrpc,glue-sst2,0.0,0.0,0.8308823529411765,0.0,0.0,0.9197247706422018,
glue-mrpc,glue-stsb,0.0,0.0,0.7205882352941176,0.0,0.0,0.0,0.8564401011727876
glue-qqp,glue-rte,0.0,0.0,0.0,0.660625,0.49458483754512633,0.0,
glue-qqp,glue-sst2,0.0,0.0,0.0,0.8175,0.0,0.9220183486238532,
glue-qqp,glue-stsb,0.0,0.0,0.0,0.575,0.0,0.0,0.8756188305757303
glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.6859205776173285,0.926605504587156,
glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,0.86454845325453
glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.893348623853211,0.862975780099908
