dataset:0,dataset:1,dataset:2,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
glue-cola,glue-mnli,glue-mrpc,0.697986577181208,0.143125,0.19852941176470587,0.0,0.01444043321299639,0.01834862385321101,
glue-cola,glue-mnli,glue-qqp,0.6903163950143816,0.08,0.0,0.135,0.0036101083032490976,0.058486238532110095,
glue-cola,glue-mnli,glue-rte,0.6740172579098753,0.365625,0.0,0.0,0.5379061371841155,0.0,
glue-cola,glue-mnli,glue-sst2,0.6778523489932886,0.17,0.0,0.0,0.0,0.9162844036697247,
glue-cola,glue-mnli,glue-stsb,0.673058485139022,0.059375,0.0,0.0,0.007220216606498195,0.0,0.7360503915613922
glue-cola,glue-mrpc,glue-qqp,0.6155321188878236,0.0,0.4632352941176471,0.17,0.0,0.0,
glue-cola,glue-mrpc,glue-rte,0.5982742090124641,0.0,0.30392156862745096,0.0,0.26714801444043323,0.0,
glue-cola,glue-mrpc,glue-sst2,0.6931927133269415,0.0,0.03431372549019608,0.0,0.0,0.7981651376146789,
glue-cola,glue-mrpc,glue-stsb,0.6529242569511026,0.0,0.15196078431372548,0.0,0.0,0.0,0.7570268484483957
glue-cola,glue-qqp,glue-rte,0.6327900287631831,0.0,0.0,0.63625,0.2996389891696751,0.0,
glue-cola,glue-qqp,glue-sst2,0.6912751677852349,0.0,0.0,0.15,0.0,0.9036697247706422,
glue-cola,glue-qqp,glue-stsb,0.6471716203259827,0.0,0.0,0.001875,0.0,0.0,0.6955907302089026
glue-cola,glue-rte,glue-sst2,0.6893576222435283,0.0,0.0,0.0,0.02888086642599278,0.8864678899082569,
glue-cola,glue-rte,glue-stsb,0.6577181208053692,0.0,0.0,0.0,0.021660649819494584,0.0,0.7215999686228335
glue-cola,glue-sst2,glue-stsb,0.6826462128475551,0.0,0.0,0.0,0.0,0.8922018348623854,0.6709522371703166
glue-mnli,glue-mrpc,glue-qqp,0.0,0.07625,0.44607843137254904,0.171875,0.01444043321299639,0.0022935779816513763,
glue-mnli,glue-mrpc,glue-rte,0.0,0.32,0.16911764705882354,0.0,0.7942238267148014,0.0,
glue-mnli,glue-mrpc,glue-sst2,0.0,0.203125,0.09558823529411764,0.0,0.04693140794223827,0.9128440366972477,
glue-mnli,glue-mrpc,glue-stsb,0.0,0.09875,0.01715686274509804,0.0,0.032490974729241874,0.0,0.7760189340972309
glue-mnli,glue-qqp,glue-rte,0.0,0.34375,0.0,0.546875,0.8050541516245487,0.0,
glue-mnli,glue-qqp,glue-sst2,0.0,0.14375,0.0,0.083125,0.0,0.9025229357798165,
glue-mnli,glue-qqp,glue-stsb,0.0,0.054375,0.0,0.0,0.018050541516245487,0.0,0.701678136596665
glue-mnli,glue-rte,glue-sst2,0.0,0.419375,0.0,0.0,0.5270758122743683,0.8738532110091743,
glue-mnli,glue-rte,glue-stsb,0.0,0.343125,0.0,0.0,0.5234657039711191,0.0,0.05651225548841784
glue-mnli,glue-sst2,glue-stsb,0.0,0.108125,0.0,0.0,0.007220216606498195,0.5653669724770642,0.6785663853038723
glue-mrpc,glue-qqp,glue-rte,0.0,0.0,0.3137254901960784,0.555,0.05776173285198556,0.0,
glue-mrpc,glue-qqp,glue-sst2,0.0,0.0,0.3946078431372549,0.170625,0.0,0.8899082568807339,
glue-mrpc,glue-qqp,glue-stsb,0.0,0.0,0.37254901960784315,0.071875,0.0,0.0,0.6817888734080011
glue-mrpc,glue-rte,glue-sst2,0.0,0.0,0.3112745098039216,0.0,0.1588447653429603,0.875,
glue-mrpc,glue-rte,glue-stsb,0.0,0.0,0.23284313725490197,0.0,0.2563176895306859,0.0,0.721360166698546
glue-mrpc,glue-sst2,glue-stsb,0.0,0.0,0.02696078431372549,0.0,0.0,0.8704128440366973,0.7484024954467872
glue-qqp,glue-rte,glue-sst2,0.0,0.0,0.0,0.61,0.2924187725631769,0.8772935779816514,
glue-qqp,glue-rte,glue-stsb,0.0,0.0,0.0,0.3475,0.1624548736462094,0.0,0.6678239170193252
glue-qqp,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0025,0.0,0.7236238532110092,0.6210900654638173
glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.010830324909747292,0.35894495412844035,0.681314518291331
