dataset:0,dataset:1,dataset:2,dataset:3,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.5781399808245445,0.00375,0.09558823529411764,0.009375,0.0,0.0779816513761468,
glue-cola,glue-mnli,glue-mrpc,glue-rte,0.5771812080536913,0.10625,0.09068627450980392,0.0,0.5776173285198556,0.009174311926605505,
glue-cola,glue-mnli,glue-mrpc,glue-sst2,0.6375838926174496,0.02375,0.0,0.0,0.0,0.8899082568807339,
glue-cola,glue-mnli,glue-mrpc,glue-stsb,0.5695110258868649,0.0025,0.0,0.0,0.0036101083032490976,0.0,0.5815488070239674
glue-cola,glue-mnli,glue-qqp,glue-rte,0.5637583892617449,0.0775,0.0,0.005,0.4981949458483754,0.0011467889908256881,
glue-cola,glue-mnli,glue-qqp,glue-sst2,0.6126558005752637,0.01125,0.0,0.0,0.0,0.9013761467889908,
glue-cola,glue-mnli,glue-qqp,glue-stsb,0.47459252157238735,0.001875,0.0,0.0,0.0,0.0,0.3083878372053731
glue-cola,glue-mnli,glue-rte,glue-sst2,0.6452540747842761,0.07375,0.0,0.0,0.51985559566787,0.8830275229357798,
glue-cola,glue-mnli,glue-rte,glue-stsb,0.4621284755512943,0.10125,0.0,0.0,0.5018050541516246,0.0,0.08073392818718181
glue-cola,glue-mnli,glue-sst2,glue-stsb,0.5378715244487057,0.01375,0.0,0.0,0.0,0.7442660550458715,0.2994438432147434
glue-cola,glue-mrpc,glue-qqp,glue-rte,0.12943432406519656,0.0,0.17401960784313725,0.2425,0.01444043321299639,0.0,
glue-cola,glue-mrpc,glue-qqp,glue-sst2,0.6347075743048898,0.0,0.07352941176470588,0.005625,0.0,0.8325688073394495,
glue-cola,glue-mrpc,glue-qqp,glue-stsb,0.2981783317353787,0.0,0.03431372549019608,0.000625,0.0,0.0022935779816513763,0.3155622564020909
glue-cola,glue-mrpc,glue-rte,glue-sst2,0.6347075743048898,0.0,0.09558823529411764,0.0,0.007220216606498195,0.7534403669724771,
glue-cola,glue-mrpc,glue-rte,glue-stsb,0.28187919463087246,0.0,0.02696078431372549,0.0,0.0,0.0,0.42515067230960846
glue-cola,glue-mrpc,glue-sst2,glue-stsb,0.62320230105465,0.0,0.0,0.0,0.0,0.8405963302752294,0.3436969923342449
glue-cola,glue-qqp,glue-rte,glue-sst2,0.6423777564717162,0.0,0.0,0.0075,0.0,0.8772935779816514,
glue-cola,glue-qqp,glue-rte,glue-stsb,0.3326941514860978,0.0,0.0,0.0,0.0,0.0,0.1784028179087569
glue-cola,glue-qqp,glue-sst2,glue-stsb,0.5915627996164909,0.0,0.0,0.0,0.0,0.8486238532110092,0.13969080136403686
glue-cola,glue-rte,glue-sst2,glue-stsb,0.6327900287631831,0.0,0.0,0.0,0.0,0.5596330275229358,0.1929552996944812
glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.0,0.095,0.19607843137254902,0.17875,0.44404332129963897,0.0,
glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.0,0.014375,0.09313725490196079,0.0075,0.0,0.8853211009174312,
glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.0,0.000625,0.022058823529411766,0.00125,0.0,0.0,0.4875179861395493
glue-mnli,glue-mrpc,glue-rte,glue-sst2,0.0,0.100625,0.11274509803921569,0.0,0.5415162454873647,0.8451834862385321,
glue-mnli,glue-mrpc,glue-rte,glue-stsb,0.0,0.151875,0.014705882352941176,0.0,0.5090252707581228,0.0,0.16635300971742695
glue-mnli,glue-mrpc,glue-sst2,glue-stsb,0.0,0.013125,0.0,0.0,0.0,0.6811926605504587,0.5007487565423354
glue-mnli,glue-qqp,glue-rte,glue-sst2,0.0,0.0725,0.0,0.00125,0.5306859205776173,0.6811926605504587,
glue-mnli,glue-qqp,glue-rte,glue-stsb,0.0,0.10625,0.0,0.0,0.5054151624548736,0.0,0.05906612372359296
glue-mnli,glue-qqp,glue-sst2,glue-stsb,0.0,0.00875,0.0,0.0,0.0,0.4013761467889908,0.22594839437283157
glue-mnli,glue-rte,glue-sst2,glue-stsb,0.0,0.093125,0.0,0.0,0.48736462093862815,0.14220183486238533,0.0859784912771245
glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.0,0.0,0.18872549019607843,0.186875,0.021660649819494584,0.5355504587155964,
glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.0,0.0,0.1568627450980392,0.075625,0.010830324909747292,0.0,0.3280056423029401
glue-mrpc,glue-qqp,glue-sst2,glue-stsb,0.0,0.0,0.031862745098039214,0.000625,0.0,0.7293577981651376,0.29482627660395666
glue-mrpc,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.029411764705882353,0.0,0.0,0.48623853211009177,0.40367729977132116
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.22018348623853212,0.15283512497200394
