dataset:0,dataset:1,dataset:2,dataset:3,dataset:4,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.13518696069031638,0.001875,0.007352941176470588,0.003125,0.2888086642599278,0.005733944954128441,
glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.5445829338446788,0.0,0.0,0.0,0.0,0.8784403669724771,
glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.2464046021093001,0.0,0.0,0.0,0.0,0.0022935779816513763,0.08081348206838271
glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,0.5752636625119847,0.000625,0.0,0.0,0.33935018050541516,0.8486238532110092,
glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-stsb,0.2569511025886865,0.005,0.0,0.0,0.3862815884476534,0.0,0.11896136806169179
glue-cola,glue-mnli,glue-mrpc,glue-sst2,glue-stsb,0.4563758389261745,0.0,0.0,0.0,0.0,0.7740825688073395,0.10533373036984871
glue-cola,glue-mnli,glue-qqp,glue-rte,glue-sst2,0.5148609779482263,0.0,0.0,0.0,0.2924187725631769,0.8142201834862385,
glue-cola,glue-mnli,glue-qqp,glue-rte,glue-stsb,0.15627996164908917,0.00125,0.0,0.0,0.37545126353790614,0.0,
glue-cola,glue-mnli,glue-qqp,glue-sst2,glue-stsb,0.36337488015340363,0.000625,0.0,0.0,0.0,0.6410550458715596,0.0267500194504762
glue-cola,glue-mnli,glue-rte,glue-sst2,glue-stsb,0.4419942473633749,0.000625,0.0,0.0,0.26353790613718414,0.29128440366972475,
glue-cola,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.3231064237775647,0.0,0.007352941176470588,0.001875,0.0,0.7339449541284404,
glue-cola,glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.03355704697986577,0.0,0.0024509803921568627,0.000625,0.0,0.0,0.04222242119351705
glue-cola,glue-mrpc,glue-qqp,glue-sst2,glue-stsb,0.40268456375838924,0.0,0.0,0.0,0.0,0.7993119266055045,0.0267500194504762
glue-cola,glue-mrpc,glue-rte,glue-sst2,glue-stsb,0.436241610738255,0.0,0.0,0.0,0.0,0.625,0.05101267135643622
glue-cola,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.38638542665388304,0.0,0.0,0.0,0.0,0.4988532110091743,
glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.0,0.0025,0.00980392156862745,0.0,0.2924187725631769,0.643348623853211,
glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.0,0.00625,0.0024509803921568627,0.0,0.3898916967509025,0.0,0.05906612372359296
glue-mnli,glue-mrpc,glue-qqp,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.5114678899082569,0.06369783756625957
glue-mnli,glue-mrpc,glue-rte,glue-sst2,glue-stsb,0.0,0.003125,0.0,0.0,0.35379061371841153,0.23623853211009174,0.07539948207153792
glue-mnli,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0,0.00125,0.0,0.0,0.2996389891696751,0.09059633027522936,
glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.0024509803921568627,0.000625,0.0,0.2763761467889908,0.0267500194504762
