,task:0,task:1,cosine_similarity
0,glue-cola,glue-cola,1.0
1,glue-cola,glue-mnli,0.1154746264219284
2,glue-cola,glue-mrpc,0.12461455911397934
3,glue-cola,glue-qqp,0.08394681662321091
4,glue-cola,glue-rte,0.08175794780254364
5,glue-cola,glue-sst2,0.10049475729465485
6,glue-cola,glue-stsb,0.06390509754419327
7,glue-mnli,glue-cola,0.1154746264219284
8,glue-mnli,glue-mnli,0.9999998807907104
9,glue-mnli,glue-mrpc,0.1136421412229538
10,glue-mnli,glue-qqp,0.10766637325286865
11,glue-mnli,glue-rte,0.1774783879518509
12,glue-mnli,glue-sst2,0.09953479468822479
13,glue-mnli,glue-stsb,0.14702670276165009
14,glue-mrpc,glue-cola,0.12461455911397934
15,glue-mrpc,glue-mnli,0.1136421412229538
16,glue-mrpc,glue-mrpc,0.9999999403953552
17,glue-mrpc,glue-qqp,0.2730060815811157
18,glue-mrpc,glue-rte,0.27228057384490967
19,glue-mrpc,glue-sst2,0.06347265094518661
20,glue-mrpc,glue-stsb,0.1149904876947403
21,glue-qqp,glue-cola,0.08394681662321091
22,glue-qqp,glue-mnli,0.10766637325286865
23,glue-qqp,glue-mrpc,0.2730060815811157
24,glue-qqp,glue-qqp,1.0000001192092896
25,glue-qqp,glue-rte,0.2254864126443863
26,glue-qqp,glue-sst2,0.057603273540735245
27,glue-qqp,glue-stsb,0.07995310425758362
28,glue-rte,glue-cola,0.08175794780254364
29,glue-rte,glue-mnli,0.1774783879518509
30,glue-rte,glue-mrpc,0.27228057384490967
31,glue-rte,glue-qqp,0.2254864126443863
32,glue-rte,glue-rte,0.9999998807907104
33,glue-rte,glue-sst2,0.044814229011535645
34,glue-rte,glue-stsb,0.11770372837781906
35,glue-sst2,glue-cola,0.10049475729465485
36,glue-sst2,glue-mnli,0.09953479468822479
37,glue-sst2,glue-mrpc,0.06347265094518661
38,glue-sst2,glue-qqp,0.057603273540735245
39,glue-sst2,glue-rte,0.044814229011535645
40,glue-sst2,glue-sst2,1.0
41,glue-sst2,glue-stsb,0.06331147253513336
42,glue-stsb,glue-cola,0.06390509754419327
43,glue-stsb,glue-mnli,0.14702670276165009
44,glue-stsb,glue-mrpc,0.1149904876947403
45,glue-stsb,glue-qqp,0.07995310425758362
46,glue-stsb,glue-rte,0.11770372837781906
47,glue-stsb,glue-sst2,0.06331147253513336
48,glue-stsb,glue-stsb,0.9999999403953552
