dataset:0,dataset:1,scaling_factor:2,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
glue-sst2,glue-stsb,1.0,0.7459252157238735,0.79375,0.0,0.0,0.10469314079422383,0.0,
glue-sst2,glue-stsb,1.0,0.7583892617449665,0.0,0.7941176470588235,0.0,0.0,0.0,
glue-sst2,glue-stsb,1.0,0.763183125599233,0.0,0.0,0.8525,0.0,0.0,
glue-sst2,glue-stsb,1.0,0.7353787152444871,0.000625,0.0,0.0,0.8194945848375451,0.0,
glue-sst2,glue-stsb,1.0,0.6960690316395014,0.0,0.0,0.0,0.0,0.911697247706422,
glue-sst2,glue-stsb,1.0,0.7411313518696069,0.0,0.0,0.0,0.0,0.0,0.8903310046627706
glue-sst2,glue-stsb,1.0,0.0,0.765625,0.8284313725490197,0.0,0.0,0.0,
glue-sst2,glue-stsb,1.0,0.0,0.82125,0.0,0.8575,0.2888086642599278,0.0011467889908256881,
glue-sst2,glue-stsb,1.0,0.0,0.82625,0.0,0.0,0.631768953068592,0.0,
glue-sst2,glue-stsb,1.0,0.0,0.8025,0.0,0.0,0.22382671480144403,0.9059633027522935,
glue-sst2,glue-stsb,1.0,0.0,0.435625,0.0,0.0,0.0,0.0,0.8649167771323063
glue-sst2,glue-stsb,1.0,0.0,0.0,0.7156862745098039,0.68125,0.0,0.0,
glue-sst2,glue-stsb,1.0,0.0,0.0,0.7598039215686274,0.0,0.0,0.0,
glue-sst2,glue-stsb,1.0,0.0,0.0,0.8676470588235294,0.0,0.0,0.9243119266055045,
glue-sst2,glue-stsb,1.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.7892311192352435
glue-sst2,glue-stsb,1.0,0.0,0.0,0.0,0.660625,0.49458483754512633,0.0,
glue-sst2,glue-stsb,1.0,0.0,0.0,0.0,0.85625,0.0,0.930045871559633,
glue-sst2,glue-stsb,1.0,0.0,0.0,0.0,0.76875,0.0,0.0,0.8549628997182489
glue-sst2,glue-stsb,1.0,0.0,0.1025,0.0,0.0,0.8339350180505415,0.930045871559633,
glue-sst2,glue-stsb,1.0,0.0,0.0,0.0,0.0,0.23465703971119134,0.0,0.8380829888773617
glue-sst2,glue-stsb,1.0,0.0,0.0,0.0,0.0,0.0,0.9323394495412844,0.8874607046759436
