dataset:0,dataset:1,dataset:2,scaling_factor:2,scaling_factor:3,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
glue-rte,glue-sst2,glue-stsb,1.0,0.75,0.6740172579098753,0.650625,0.6397058823529411,0.0,0.0,0.0,
glue-rte,glue-sst2,glue-stsb,1.0,0.75,0.6970278044103547,0.761875,0.0,0.809375,0.07942238267148015,0.0,
glue-rte,glue-sst2,glue-stsb,1.0,0.75,0.6912751677852349,0.79,0.0,0.0,0.6534296028880866,0.0,
glue-rte,glue-sst2,glue-stsb,1.0,0.75,0.6970278044103547,0.61375,0.0,0.0,0.19494584837545126,0.9151376146788991,
glue-rte,glue-sst2,glue-stsb,1.0,0.75,0.62320230105465,0.368125,0.0,0.0,0.0,0.0,0.8609699530267874
glue-rte,glue-sst2,glue-stsb,1.0,0.75,0.6673058485139022,0.0,0.6421568627450981,0.540625,0.0,0.0,
glue-rte,glue-sst2,glue-stsb,1.0,0.75,0.5589645254074784,0.0,0.5490196078431373,0.0,0.17689530685920576,0.0,
glue-rte,glue-sst2,glue-stsb,1.0,0.75,0.6567593480345159,0.0,0.0,0.0,0.0,0.8681192660550459,
glue-rte,glue-sst2,glue-stsb,1.0,0.75,0.6701821668264621,0.0,0.7107843137254902,0.0,0.0,0.0,0.7466640105057023
glue-rte,glue-sst2,glue-stsb,1.0,0.75,0.6768935762224353,0.0,0.0,0.660625,0.6101083032490975,0.0,
glue-rte,glue-sst2,glue-stsb,1.0,0.75,0.6960690316395014,0.0,0.0,0.73625,0.0,0.8784403669724771,
glue-rte,glue-sst2,glue-stsb,1.0,0.75,0.7018216682646213,0.0,0.0,0.550625,0.0,0.0,0.8631442266751914
glue-rte,glue-sst2,glue-stsb,1.0,0.75,0.7027804410354745,0.0,0.0,0.0,0.4657039711191336,0.9220183486238532,
glue-rte,glue-sst2,glue-stsb,1.0,0.75,0.6711409395973155,0.0,0.0,0.0,0.0,0.0,0.8710171594631649
glue-rte,glue-sst2,glue-stsb,1.0,0.75,0.6500479386385427,0.0,0.0,0.0,0.0,0.0,0.8915669083271283
glue-rte,glue-sst2,glue-stsb,1.0,0.75,0.0,0.145625,0.3946078431372549,0.663125,0.01444043321299639,0.0,
glue-rte,glue-sst2,glue-stsb,1.0,0.75,0.0,0.284375,0.0,0.0,0.7978339350180506,0.0,
glue-rte,glue-sst2,glue-stsb,1.0,0.75,0.0,0.66875,0.4852941176470588,0.0,0.04332129963898917,0.8967889908256881,
glue-rte,glue-sst2,glue-stsb,1.0,0.75,0.0,0.181875,0.04656862745098039,0.0,0.0,0.0,0.8506070344643543
glue-rte,glue-sst2,glue-stsb,1.0,0.75,0.0,0.31375,0.0,0.121875,0.8447653429602888,0.0,
glue-rte,glue-sst2,glue-stsb,1.0,0.75,0.0,0.719375,0.0,0.793125,0.1299638989169675,0.9277522935779816,
glue-rte,glue-sst2,glue-stsb,1.0,0.75,0.0,0.228125,0.0,0.361875,0.0,0.0,0.8793121823991817
glue-rte,glue-sst2,glue-stsb,1.0,0.75,0.0,0.641875,0.0,0.0,0.5379061371841155,0.9036697247706422,
glue-rte,glue-sst2,glue-stsb,1.0,0.75,0.0,0.61875,0.0,0.0,0.5306859205776173,0.0,-0.0013014531220018897
glue-rte,glue-sst2,glue-stsb,1.0,0.75,0.0,0.495,0.0,0.0,0.0,0.8130733944954128,0.8251285110633433
glue-rte,glue-sst2,glue-stsb,1.0,0.75,0.0,0.0,0.4068627450980392,0.659375,0.0,0.0,
glue-rte,glue-sst2,glue-stsb,1.0,0.75,0.0,0.0,0.5833333333333334,0.57625,0.0,0.8211009174311926,
glue-rte,glue-sst2,glue-stsb,1.0,0.75,0.0,0.0,0.7598039215686274,0.303125,0.0,0.0,0.6025531695333155
glue-rte,glue-sst2,glue-stsb,1.0,0.75,0.0,0.0,0.47549019607843135,0.0,0.15162454873646208,0.5802752293577982,
glue-rte,glue-sst2,glue-stsb,1.0,0.75,0.0,0.0,0.27205882352941174,0.0,0.10108303249097472,0.0,0.6956711816819885
glue-rte,glue-sst2,glue-stsb,1.0,0.75,0.0,0.0,0.15441176470588236,0.0,0.0,0.6399082568807339,0.8783527979269534
glue-rte,glue-sst2,glue-stsb,1.0,0.75,0.0,0.0,0.0,0.66,0.5956678700361011,0.9346330275229358,
glue-rte,glue-sst2,glue-stsb,1.0,0.75,0.0,0.0,0.0,0.206875,0.21299638989169675,0.0,0.8676288832682274
glue-rte,glue-sst2,glue-stsb,1.0,0.75,0.0,0.0,0.0,0.478125,0.0,0.7247706422018348,0.8854857652338814
glue-rte,glue-sst2,glue-stsb,1.0,0.75,0.0,0.0,0.0,0.0,0.07220216606498195,0.3967889908256881,0.8495394793986653
