dataset:0,dataset:1,dataset:2,dataset:3,dataset:4,scaling_factor:2,scaling_factor:3,scaling_factor:4,scaling_factor:5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,1.0,1.0,1.0,0.75,0.0,0.131875,0.0,0.0,0.7978339350180506,0.0,
glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,1.0,1.0,1.0,0.75,0.006711409395973154,0.05125,0.07598039215686274,0.650625,0.0,0.926605504587156,
glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,1.0,1.0,1.0,0.75,0.0,0.0,0.11764705882352941,0.283125,0.0,0.0,0.843019008007084
glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,1.0,1.0,1.0,0.75,0.02588686481303931,0.214375,0.007352941176470588,0.0,0.8122743682310469,0.9277522935779816,
glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,1.0,1.0,1.0,0.75,0.0,0.0,0.0,0.0,0.18772563176895307,0.0,0.8510607981273308
glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,1.0,1.0,1.0,0.75,0.2233940556088207,0.133125,0.0,0.0,0.0,0.6227064220183486,0.8659363441914812
glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,1.0,1.0,1.0,0.75,0.0,0.17625,0.0,0.0,0.7725631768953068,0.9334862385321101,
glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,1.0,1.0,1.0,0.75,0.0,0.0,0.0,0.0,0.08664259927797834,0.0,0.8724404074821449
glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,1.0,1.0,1.0,0.75,0.14189837008628955,0.128125,0.0,0.0,0.0,0.7798165137614679,0.8704826797524717
glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,1.0,1.0,1.0,0.75,0.20709491850431447,0.0325,0.0,0.0,0.0,0.12155963302752294,0.8141431845396031
glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,1.0,1.0,1.0,0.75,0.0009587727708533077,0.0,0.0,0.0,0.4981949458483754,0.9357798165137615,
glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,1.0,1.0,1.0,0.75,0.0,0.0,0.0,0.0,0.2888086642599278,0.0,0.8464320594321729
glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,1.0,1.0,1.0,0.75,0.04218600191754554,0.0,0.0,0.0,0.0,0.8130733944954128,0.8608606525177985
glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,1.0,1.0,1.0,0.75,0.06903163950143816,0.0,0.0,0.0,0.0,0.5,0.8484142942040624
glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,1.0,1.0,1.0,0.75,0.04218600191754554,0.0,0.0,0.000625,0.2527075812274368,0.875,0.8183228280530375
glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,1.0,1.0,1.0,0.75,0.0,0.0125,0.0,0.0,0.776173285198556,0.9311926605504587,
glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,1.0,1.0,1.0,0.75,0.0,0.0,0.0,0.0,0.18411552346570398,0.0,0.8701159385806868
glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,1.0,1.0,1.0,0.75,0.0,0.006875,0.07598039215686274,0.1875,0.0,0.8887614678899083,0.8532697497870407
glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,1.0,1.0,1.0,0.75,0.0,0.0,0.0,0.0,0.0,0.2947247706422018,0.8511649409013318
glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,1.0,1.0,1.0,0.75,0.0,0.008125,0.0,0.0,0.0,0.8944954128440367,0.8583811062184739
glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,1.0,1.0,1.0,0.75,0.0,0.0,0.4730392156862745,0.610625,0.0,0.0,0.5311840288494389
