dataset:0,dataset:1,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
glue-cola,glue-mnli,0.6999041227229147,0.703125,0.0,0.0,0.4007220216606498,0.011467889908256881,
glue-cola,glue-mrpc,0.6883988494726749,0.0,0.8578431372549019,0.0,0.0,0.0,
glue-cola,glue-qqp,0.6989453499520614,0.0,0.0,0.824375,0.0,0.0011467889908256881,
glue-cola,glue-rte,0.6874400767018217,0.0,0.0,0.0,0.7653429602888087,0.0,
glue-cola,glue-sst2,0.6922339405560882,0.0,0.0,0.0,0.0,0.9094036697247706,
glue-cola,glue-stsb,0.7123681687440077,0.0,0.0,0.0,0.0,0.0,0.8795787663413023
glue-mnli,glue-mrpc,0.0,0.65125,0.8333333333333334,0.0,0.09025270758122744,0.034403669724770644,
glue-mnli,glue-qqp,0.0,0.70125,0.0,0.803125,0.33574007220216606,0.0,
glue-mnli,glue-rte,0.0,0.669375,0.0,0.0,0.5379061371841155,0.0,
glue-mnli,glue-sst2,0.0,0.68375,0.0,0.0,0.3574007220216607,0.9174311926605505,
glue-mnli,glue-stsb,0.0,0.555625,0.0,0.0,0.16606498194945848,0.0,0.834541642141009
glue-mrpc,glue-qqp,0.0,0.0,0.5661764705882353,0.634375,0.0,0.0,
glue-mrpc,glue-rte,0.0,0.0,0.5588235294117647,0.0,0.3104693140794224,0.0,
glue-mrpc,glue-sst2,0.0,0.0,0.8357843137254902,0.0,0.0,0.9151376146788991,
glue-mrpc,glue-stsb,0.0,0.0,0.7818627450980392,0.0,0.0,0.0,0.853376077055878
glue-qqp,glue-rte,0.0,0.0,0.0,0.65875,0.7292418772563177,0.0,
glue-qqp,glue-sst2,0.0,0.0,0.0,0.82625,0.0,0.9128440366972477,
glue-qqp,glue-stsb,0.0,0.0,0.0,0.6025,0.0,0.0,0.872319284933919
glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.7075812274368231,0.9162844036697247,
glue-rte,glue-stsb,0.0,0.000625,0.0,0.0,0.4296028880866426,0.0,0.8161220994596076
glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.9071100917431193,0.8617727166000976
