dataset:0,dataset:1,dataset:2,dataset:3,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.7018216682646213,0.135,0.0,0.0,0.0,0.0,
glue-cola,glue-mnli,glue-mrpc,glue-rte,0.6989453499520614,0.545,0.0,0.0,0.3212996389891697,0.0011467889908256881,
glue-cola,glue-mnli,glue-mrpc,glue-sst2,0.6471716203259827,0.369375,0.03676470588235294,0.0,0.1552346570397112,0.31995412844036697,
glue-cola,glue-mnli,glue-mrpc,glue-stsb,0.6970278044103547,0.256875,0.0,0.0,0.02888086642599278,0.0011467889908256881,
glue-cola,glue-mnli,glue-qqp,glue-rte,0.6989453499520614,0.585625,0.0,0.0,0.4332129963898917,0.0045871559633027525,
glue-cola,glue-mnli,glue-qqp,glue-sst2,0.6327900287631831,0.165,0.0,0.165,0.01444043321299639,0.14908256880733944,
glue-cola,glue-mnli,glue-qqp,glue-stsb,0.697986577181208,0.42875,0.0,0.0,0.039711191335740074,0.0011467889908256881,
glue-cola,glue-mnli,glue-rte,glue-sst2,0.6740172579098753,0.628125,0.0,0.0,0.49097472924187724,0.14908256880733944,
glue-cola,glue-mnli,glue-rte,glue-stsb,0.6960690316395014,0.4825,0.0,0.0,0.18050541516245489,0.0,
glue-cola,glue-mnli,glue-sst2,glue-stsb,0.6922339405560882,0.50375,0.0,0.0,0.40794223826714804,0.005733944954128441,
glue-cola,glue-mrpc,glue-qqp,glue-rte,0.6807286673058485,0.0,0.3872549019607843,0.0,0.0,0.0,
glue-cola,glue-mrpc,glue-qqp,glue-sst2,0.6318312559923298,0.0,0.6102941176470589,0.00125,0.0,0.0011467889908256881,
glue-cola,glue-mrpc,glue-qqp,glue-stsb,0.5906040268456376,0.0,0.7279411764705882,0.0,0.0,0.0022935779816513763,0.021137292155063783
glue-cola,glue-mrpc,glue-rte,glue-sst2,0.663470757430489,0.0,0.5514705882352942,0.0,0.0,0.0,
glue-cola,glue-mrpc,glue-rte,glue-stsb,0.6941514860977949,0.0,0.571078431372549,0.0,0.0,0.0,
glue-cola,glue-mrpc,glue-sst2,glue-stsb,0.6596356663470757,0.0,0.6176470588235294,0.0,0.0,0.0011467889908256881,0.5339984445829921
glue-cola,glue-qqp,glue-rte,glue-sst2,0.6423777564717162,0.0,0.0,0.6325,0.007220216606498195,0.29128440366972475,
glue-cola,glue-qqp,glue-rte,glue-stsb,0.6951102588686481,0.0,0.0,0.531875,0.0,0.0,
glue-cola,glue-qqp,glue-sst2,glue-stsb,0.6308724832214765,0.0,0.0,0.175625,0.0,0.10550458715596331,0.16029096065063358
glue-cola,glue-rte,glue-sst2,glue-stsb,0.6788111217641419,0.0,0.0,0.0,0.33574007220216606,0.0,
glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.0,0.61875,0.23039215686274508,0.0,0.3574007220216607,0.005733944954128441,
glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.0,0.61875,0.821078431372549,0.0,0.1552346570397112,0.08256880733944955,
glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.0,0.473125,0.4166666666666667,0.0,0.30324909747292417,0.005733944954128441,
glue-mnli,glue-mrpc,glue-rte,glue-sst2,0.0,0.61625,0.7303921568627451,0.0,0.2490974729241877,0.21330275229357798,
glue-mnli,glue-mrpc,glue-rte,glue-stsb,0.0,0.509375,0.14950980392156862,0.0,0.3898916967509025,0.0,
glue-mnli,glue-mrpc,glue-sst2,glue-stsb,0.0,0.174375,0.19117647058823528,0.0,0.16606498194945848,0.014908256880733946,0.21902953792936367
glue-mnli,glue-qqp,glue-rte,glue-sst2,0.0,0.528125,0.0,0.479375,0.35379061371841153,0.13876146788990826,
glue-mnli,glue-qqp,glue-rte,glue-stsb,0.0,0.23625,0.0,0.43375,0.36101083032490977,0.0,
glue-mnli,glue-qqp,glue-sst2,glue-stsb,0.0,0.565625,0.0,0.4275,0.3898916967509025,0.0,
glue-mnli,glue-rte,glue-sst2,glue-stsb,0.0,0.368125,0.0,0.0,0.5270758122743683,0.0,
glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.0,0.0,0.6029411764705882,0.351875,0.0,0.0,
glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.0,0.0,0.5367647058823529,0.379375,0.0,0.0,
glue-mrpc,glue-qqp,glue-sst2,glue-stsb,0.0,0.0,0.6519607843137255,0.456875,0.0,0.0,
glue-mrpc,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.2965686274509804,0.0,0.010830324909747292,0.0034403669724770644,
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.0,0.648125,0.4981949458483754,0.0,
