dataset:0,dataset:1,dataset:2,dataset:3,dataset:4,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.44870565675934804,0.460625,0.17647058823529413,0.0,0.296028880866426,0.08256880733944955,
glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.6692233940556088,0.473125,0.0,0.0,0.27075812274368233,0.01261467889908257,
glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.6931927133269415,0.003125,0.0,0.0,0.0,0.0,
glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,0.6442953020134228,0.534375,0.0784313725490196,0.0,0.41155234657039713,0.013761467889908258,
glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-stsb,0.6922339405560882,0.4975,0.0,0.0,0.10830324909747292,0.0,
glue-cola,glue-mnli,glue-mrpc,glue-sst2,glue-stsb,0.6912751677852349,0.35375,0.0,0.0,0.2996389891696751,0.009174311926605505,
glue-cola,glue-mnli,glue-qqp,glue-rte,glue-sst2,0.6720997123681688,0.27375,0.0,0.134375,0.4332129963898917,0.0,
glue-cola,glue-mnli,glue-qqp,glue-rte,glue-stsb,0.6951102588686481,0.544375,0.0,0.0,0.4404332129963899,0.0022935779816513763,
glue-cola,glue-mnli,glue-qqp,glue-sst2,glue-stsb,0.6960690316395014,0.508125,0.0,0.0,0.1624548736462094,0.0022935779816513763,
glue-cola,glue-mnli,glue-rte,glue-sst2,glue-stsb,0.6960690316395014,0.5575,0.0,0.0,0.16967509025270758,0.0022935779816513763,
glue-cola,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.6663470757430489,0.0,0.7794117647058824,0.0,0.0,0.0,
glue-cola,glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.675934803451582,0.0,0.35784313725490197,0.0,0.0,0.0,
glue-cola,glue-mrpc,glue-qqp,glue-sst2,glue-stsb,0.6826462128475551,0.0,0.5343137254901961,0.0,0.0,0.0,
glue-cola,glue-mrpc,glue-rte,glue-sst2,glue-stsb,0.7037392138063279,0.0,0.08333333333333333,0.0,0.0,0.0,
glue-cola,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.6788111217641419,0.0,0.0,0.6475,0.0,0.0,
glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.0,0.646875,0.7671568627450981,0.0,0.2563176895306859,0.05389908256880734,
glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.0,0.561875,0.23529411764705882,0.0,0.36823104693140796,0.0045871559633027525,
glue-mnli,glue-mrpc,glue-qqp,glue-sst2,glue-stsb,0.0,0.555625,0.38235294117647056,0.0,0.36823104693140796,0.033256880733944956,
glue-mnli,glue-mrpc,glue-rte,glue-sst2,glue-stsb,0.0,0.560625,0.6421568627450981,0.0,0.2924187725631769,0.06422018348623854,
glue-mnli,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0,0.47375,0.0,0.37125,0.4187725631768953,0.0,
glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.5759803921568627,0.589375,0.0,0.0,
