dataset:0,dataset:1,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
glue-cola,glue-mnli,0.7171620325982742,0.000625,0.0,0.0,0.0,0.0,
glue-cola,glue-mrpc,0.716203259827421,0.0,0.029411764705882353,0.0,0.0,0.0,
glue-cola,glue-qqp,0.7046979865771812,0.0,0.0,0.643125,0.0,0.0,
glue-cola,glue-rte,0.5532118887823586,0.00125,0.0,0.0,0.8086642599277978,0.0,
glue-cola,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.9311926605504587,
glue-cola,glue-stsb,0.7238734419942474,0.0,0.0,0.0,0.0,0.0,0.40489108526548745
glue-mnli,glue-mrpc,0.0,0.286875,0.8480392156862745,0.0,0.0,0.011467889908256881,
glue-mnli,glue-qqp,0.0,0.18,0.0,0.856875,0.0,0.0,
glue-mnli,glue-rte,0.0,0.294375,0.0,0.0,0.7906137184115524,0.0,
glue-mnli,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.9311926605504587,
glue-mnli,glue-stsb,0.0,0.40125,0.0,0.0,0.0,0.0,0.8608828838426522
glue-mrpc,glue-qqp,0.0,0.0,0.5098039215686274,0.63125,0.0,0.0,
glue-mrpc,glue-rte,0.0,0.010625,0.0,0.0,0.8158844765342961,0.0,
glue-mrpc,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.9311926605504587,
glue-mrpc,glue-stsb,0.0,0.0,0.8504901960784313,0.0,0.0,0.0,0.3149083092770911
glue-qqp,glue-rte,0.0,0.00375,0.0,0.0,0.8339350180505415,0.0,
glue-qqp,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.9311926605504587,
glue-qqp,glue-stsb,0.0,0.0,0.0,0.845,0.0,0.0,0.6979945897925482
glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.061371841155234655,0.930045871559633,
glue-rte,glue-stsb,0.0,0.118125,0.0,0.0,0.8050541516245487,0.0,
glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.9311926605504587,
