dataset:0,dataset:1,dataset:2,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
glue-cola,glue-mnli,glue-mrpc,0.7123681687440077,0.0,0.0392156862745098,0.0,0.0,0.0,
glue-cola,glue-mnli,glue-qqp,0.6970278044103547,0.0,0.0,0.411875,0.0,0.011467889908256881,
glue-cola,glue-mnli,glue-rte,0.6586768935762224,0.071875,0.0,0.0,0.7292418772563177,0.0,
glue-cola,glue-mnli,glue-sst2,0.12272291466922339,0.0,0.0,0.0,0.0,0.930045871559633,
glue-cola,glue-mnli,glue-stsb,0.7066155321188878,0.00125,0.0,0.0,0.0,0.0,0.4001641125106201
glue-cola,glue-mrpc,glue-qqp,0.6711409395973155,0.0,0.34068627450980393,0.2675,0.0,0.0,
glue-cola,glue-mrpc,glue-rte,0.27804410354745923,0.0,0.0,0.0,0.8375451263537906,0.0,
glue-cola,glue-mrpc,glue-sst2,0.05752636625119847,0.0,0.0,0.0,0.0,0.930045871559633,
glue-cola,glue-mrpc,glue-stsb,0.7142857142857143,0.0,0.16911764705882354,0.0,0.0,0.0,0.05452582461720309
glue-cola,glue-qqp,glue-rte,0.29050814956855225,0.0,0.0,0.0,0.8483754512635379,0.0,
glue-cola,glue-qqp,glue-sst2,0.013422818791946308,0.0,0.0,0.0,0.0,0.930045871559633,
glue-cola,glue-qqp,glue-stsb,0.700862895493768,0.0,0.0,0.25375,0.0,0.0022935779816513763,
glue-cola,glue-rte,glue-sst2,0.003835091083413231,0.0,0.0,0.0,0.07220216606498195,0.930045871559633,
glue-cola,glue-rte,glue-stsb,0.6452540747842761,0.0,0.0,0.0,0.7075812274368231,0.0,
glue-cola,glue-sst2,glue-stsb,0.17833173537871524,0.0,0.0,0.0,0.0,0.930045871559633,
glue-mnli,glue-mrpc,glue-qqp,0.0,0.0,0.49754901960784315,0.45375,0.0,0.0,
glue-mnli,glue-mrpc,glue-rte,0.0,0.1275,0.0,0.0,0.8303249097472925,0.0,
glue-mnli,glue-mrpc,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.9288990825688074,
glue-mnli,glue-mrpc,glue-stsb,0.0,0.01625,0.42892156862745096,0.0,0.01444043321299639,0.0,0.7086427989076255
glue-mnli,glue-qqp,glue-rte,0.0,0.1,0.0,0.0,0.851985559566787,0.0,
glue-mnli,glue-qqp,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.9323394495412844,
glue-mnli,glue-qqp,glue-stsb,0.0,0.0025,0.0,0.55375,0.0,0.0,0.3903739482504921
glue-mnli,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.5776173285198556,0.9277522935779816,
glue-mnli,glue-rte,glue-stsb,0.0,0.334375,0.0,0.0,0.6606498194945848,0.0,
glue-mnli,glue-sst2,glue-stsb,0.0,0.001875,0.0,0.0,0.0,0.9311926605504587,
glue-mrpc,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.7328519855595668,0.0,
glue-mrpc,glue-qqp,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.9254587155963303,
glue-mrpc,glue-qqp,glue-stsb,0.0,0.0,0.6004901960784313,0.380625,0.0,0.0,
glue-mrpc,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.4007220216606498,0.9277522935779816,
glue-mrpc,glue-rte,glue-stsb,0.0,0.00125,0.0,0.0,0.8411552346570397,0.0,
glue-mrpc,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.9288990825688074,
glue-qqp,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.36462093862815886,0.9277522935779816,
glue-qqp,glue-rte,glue-stsb,0.0,0.000625,0.0,0.000625,0.851985559566787,0.0,
glue-qqp,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.9311926605504587,
glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.3249097472924188,0.9288990825688074,
