dataset:0,dataset:1,dataset:2,dataset:3,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.6548418024928092,0.0,0.19117647058823528,0.098125,0.0,0.017201834862385322,
glue-cola,glue-mnli,glue-mrpc,glue-rte,0.4074784276126558,0.0025,0.0,0.0,0.8483754512635379,0.0,
glue-cola,glue-mnli,glue-mrpc,glue-sst2,0.29050814956855225,0.0,0.0,0.0,0.0,0.9243119266055045,
glue-cola,glue-mnli,glue-mrpc,glue-stsb,0.6931927133269415,0.0,0.014705882352941176,0.0,0.0,0.0034403669724770644,
glue-cola,glue-mnli,glue-qqp,glue-rte,0.42953020134228187,0.00125,0.0,0.0,0.8483754512635379,0.0,
glue-cola,glue-mnli,glue-qqp,glue-sst2,0.13902205177372962,0.0,0.0,0.0,0.0,0.9220183486238532,
glue-cola,glue-mnli,glue-qqp,glue-stsb,0.6893576222435283,0.0,0.0,0.00125,0.0,0.011467889908256881,
glue-cola,glue-mnli,glue-rte,glue-sst2,0.16203259827420902,0.0,0.0,0.0,0.20938628158844766,0.9243119266055045,
glue-cola,glue-mnli,glue-rte,glue-stsb,0.6423777564717162,0.023125,0.0,0.0,0.5812274368231047,0.0,
glue-cola,glue-mnli,glue-sst2,glue-stsb,0.24928092042186,0.0,0.0,0.0,0.0,0.926605504587156,
glue-cola,glue-mrpc,glue-qqp,glue-rte,0.04122722914669223,0.0,0.0,0.0,0.7292418772563177,0.0,
glue-cola,glue-mrpc,glue-qqp,glue-sst2,0.14093959731543623,0.0,0.0,0.0,0.0,0.9208715596330275,
glue-cola,glue-mrpc,glue-qqp,glue-stsb,0.6116970278044104,0.0,0.18137254901960784,0.05125,0.0,0.0022935779816513763,
glue-cola,glue-mrpc,glue-rte,glue-sst2,0.07670182166826463,0.0,0.0,0.0,0.05054151624548736,0.9254587155963303,
glue-cola,glue-mrpc,glue-rte,glue-stsb,0.2809204218600192,0.0,0.0,0.0,0.7978339350180506,0.0,
glue-cola,glue-mrpc,glue-sst2,glue-stsb,0.3374880153403643,0.0,0.0,0.0,0.0,0.9254587155963303,
glue-cola,glue-qqp,glue-rte,glue-sst2,0.038350910834132314,0.0,0.0,0.0,0.05054151624548736,0.9220183486238532,
glue-cola,glue-qqp,glue-rte,glue-stsb,0.31639501438159157,0.0,0.0,0.0,0.7725631768953068,0.0,
glue-cola,glue-qqp,glue-sst2,glue-stsb,0.18216682646212848,0.0,0.0,0.0,0.0,0.9243119266055045,
glue-cola,glue-rte,glue-sst2,glue-stsb,0.19271332694151486,0.0,0.0,0.0,0.036101083032490974,0.9243119266055045,
glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.0,0.001875,0.0,0.0,0.7689530685920578,0.0,
glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.9185779816513762,
glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.0,0.0,0.3161764705882353,0.158125,0.0,0.0,
glue-mnli,glue-mrpc,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.592057761732852,0.9231651376146789,
glue-mnli,glue-mrpc,glue-rte,glue-stsb,0.0,0.10125,0.0,0.0,0.8375451263537906,0.0,
glue-mnli,glue-mrpc,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.9208715596330275,
glue-mnli,glue-qqp,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.5090252707581228,0.9243119266055045,
glue-mnli,glue-qqp,glue-rte,glue-stsb,0.0,0.061875,0.0,0.0,0.8158844765342961,0.0,
glue-mnli,glue-qqp,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.9231651376146789,
glue-mnli,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.4657039711191336,0.9231651376146789,
glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.21299638989169675,0.9197247706422018,
glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.7581227436823105,0.0,
glue-mrpc,glue-qqp,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.9174311926605505,
glue-mrpc,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.2851985559566787,0.9220183486238532,
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.22743682310469315,0.9231651376146789,
