dataset:0,dataset:1,dataset:2,dataset:3,dataset:4,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.061361457334611694,0.0,0.0,0.0,0.7472924187725631,0.0,
glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.26174496644295303,0.0,0.0,0.0,0.0,0.9151376146788991,
glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.5790987535953979,0.0,0.00980392156862745,0.00375,0.0,0.02981651376146789,
glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,0.2751677852348993,0.0,0.0,0.0,0.10108303249097472,0.9208715596330275,
glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-stsb,0.3068072866730585,0.0,0.0,0.0,0.7833935018050542,0.0,
glue-cola,glue-mnli,glue-mrpc,glue-sst2,glue-stsb,0.3307766059443912,0.0,0.0,0.0,0.0,0.9174311926605505,
glue-cola,glue-mnli,glue-qqp,glue-rte,glue-sst2,0.17641418983700863,0.0,0.0,0.0,0.07581227436823104,0.9162844036697247,
glue-cola,glue-mnli,glue-qqp,glue-rte,glue-stsb,0.3326941514860978,0.0,0.0,0.0,0.7364620938628159,0.0,
glue-cola,glue-mnli,glue-qqp,glue-sst2,glue-stsb,0.1975071907957814,0.0,0.0,0.0,0.0,0.9197247706422018,
glue-cola,glue-mnli,glue-rte,glue-sst2,glue-stsb,0.2914669223394056,0.0,0.0,0.0,0.1588447653429603,0.9185779816513762,
glue-cola,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.11984659635666348,0.0,0.0,0.0,0.02888086642599278,0.9139908256880734,
glue-cola,glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.031639501438159155,0.0,0.0,0.0,0.5054151624548736,0.0,
glue-cola,glue-mrpc,glue-qqp,glue-sst2,glue-stsb,0.2962607861936721,0.0,0.0,0.0,0.0,0.9162844036697247,
glue-cola,glue-mrpc,glue-rte,glue-sst2,glue-stsb,0.2943432406519655,0.0,0.0,0.0,0.018050541516245487,0.9185779816513762,
glue-cola,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.18887823585810162,0.0,0.0,0.0,0.018050541516245487,0.9174311926605505,
glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.22743682310469315,0.911697247706422,
glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.0,0.0025,0.0,0.0,0.8050541516245487,0.0,
glue-mnli,glue-mrpc,glue-qqp,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.911697247706422,
glue-mnli,glue-mrpc,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.36462093862815886,0.9162844036697247,
glue-mnli,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.2815884476534296,0.9105504587155964,
glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.08303249097472924,0.9094036697247706,
