scaling_factor,dataset:0,dataset:1,dataset:2,dataset:3,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
0.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.05,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.1,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.15000000000000002,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.012464046021093002,0.0,0.0,0.0,0.0,0.0,
0.2,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.26462128475551294,0.0,0.0024509803921568627,0.0,0.0,0.006880733944954129,
0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.5781399808245445,0.00375,0.09558823529411764,0.009375,0.0,0.0779816513761468,
0.30000000000000004,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.6203259827420902,0.023125,0.4534313725490196,0.164375,0.0,0.02408256880733945,
0.35000000000000003,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.6241610738255033,0.09875,0.5808823529411765,0.34375,0.007220216606498195,0.0011467889908256881,
0.4,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.5934803451581975,0.18875,0.625,0.435625,0.007220216606498195,0.0,
0.45,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.5647171620325983,0.19375,0.6544117647058824,0.47125,0.0,0.0,
0.5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.5263662511984659,0.174375,0.6617647058823529,0.471875,0.0,0.0,
0.55,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.47171620325982744,0.155625,0.6691176470588235,0.46625,0.0,0.0,
0.6000000000000001,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.39213806327900286,0.135625,0.6813725490196079,0.45125,0.0,0.0,
0.65,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.311601150527325,0.11,0.6911764705882353,0.441875,0.0,0.0,
0.7000000000000001,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.24256951102588686,0.073125,0.7058823529411765,0.440625,0.0,0.0,
0.75,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.2080536912751678,0.0275,0.7205882352941176,0.45875,0.0,0.0,
0.8,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.17353787152444872,0.003125,0.7132352941176471,0.478125,0.0,0.0,
0.8500000000000001,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.15436241610738255,0.000625,0.7205882352941176,0.5075,0.0,0.0,
0.9,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.13998082454458294,0.000625,0.7230392156862745,0.52625,0.0,0.0,
0.9500000000000001,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.12559923298178333,0.000625,0.7279411764705882,0.54,0.0,0.0,
1.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.11888782358581017,0.000625,0.7328431372549019,0.541875,0.0,0.0,
