scaling_factor,dataset:0,dataset:1,dataset:2,dataset:3,dataset:4,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
0.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.05,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.1,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.15000000000000002,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.023969319271332695,0.0,0.0,0.0,0.01444043321299639,0.0,
0.2,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.13518696069031638,0.001875,0.007352941176470588,0.003125,0.2888086642599278,0.005733944954128441,
0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.12464046021093,0.099375,0.1323529411764706,0.28,0.4729241877256318,0.0034403669724770644,
0.30000000000000004,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.04218600191754554,0.166875,0.16666666666666666,0.573125,0.5884476534296029,0.0,
0.35000000000000003,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.012464046021093002,0.1525,0.10049019607843138,0.636875,0.5270758122743683,0.0,
0.4,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.0019175455417066154,0.1375,0.06862745098039216,0.648125,0.51985559566787,0.0,
0.45,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.0,0.12,0.05392156862745098,0.65375,0.5018050541516246,0.0,
0.5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.0,0.10625,0.05392156862745098,0.651875,0.48736462093862815,0.0,
0.55,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.0,0.1025,0.0661764705882353,0.64875,0.4693140794223827,0.0,
0.6000000000000001,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.0,0.1,0.09558823529411764,0.646875,0.4657039711191336,0.0,
0.65,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.0,0.1,0.1568627450980392,0.64125,0.4620938628158845,0.0,
0.7000000000000001,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.0,0.09875,0.22058823529411764,0.63875,0.4584837545126354,0.0,
0.75,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.0,0.10125,0.24019607843137256,0.63625,0.44404332129963897,0.0,
0.8,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.0,0.098125,0.25980392156862747,0.63,0.4368231046931408,0.0,
0.8500000000000001,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.0,0.093125,0.27450980392156865,0.615625,0.4332129963898917,0.0,
0.9,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.0,0.075,0.3014705882352941,0.589375,0.4368231046931408,0.0,
0.9500000000000001,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.0,0.045,0.3161764705882353,0.549375,0.4259927797833935,0.0,
1.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.0,0.01375,0.3431372549019608,0.4925,0.41155234657039713,0.0,
0.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.05,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.1,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.01261467889908257,
0.15000000000000002,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.10258868648130393,0.0,0.0,0.0,0.0,0.5045871559633027,
0.2,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.5445829338446788,0.0,0.0,0.0,0.0,0.8784403669724771,
